States,Year,value
RS,2014/15,6272.688463884151
SC,2014/15,7077.246429215587
PR,2014/15,13106.850631794481
SP,2014/15,7612.800533557718
RJ,2014/15,71.6944211025903
MG,2014/15,5588.684049494281
MG_Triângulo,2014/15,2450.3606712438436
MG_Noroeste,2014/15,39.647502409900326
MG_Sul,2014/15,1596.5081188906029
MG_Outros,2014/15,1502.1677569499343
ES,2014/15,441.1584767559191
MS,2014/15,2388.1018035722304
MS_Sul,2014/15,1420.6577419165217
MS_Norte,2014/15,967.4440616557088
MT,2014/15,3451.9730238172315
MT_Médio Norte,2014/15,1380.2383020329023
MT_Oeste,2014/15,938.5376818361202
MT_Sudeste,2014/15,551.0281065571419
MT_Nordeste,2014/15,125.23155597622576
MT_Nordeste_Sul,2014/15,157.56362164776306
MT_Norte,2014/15,299.37375576707836
GO,2014/15,4778.574564010019
GO_Sudoeste,2014/15,2683.5154929346754
GO_Leste,2014/15,828.7043903857424
GO_Noroeste,2014/15,1266.3546806896009
DF,2014/15,539.2149068890067
BA,2014/15,1225.4583016865452
BA_Oeste Norte,2014/15,137.98734875231617
BA_Oeste Sul,2014/15,64.20934146937334
BA_Outros,2014/15,1023.2616114648556
SE,2014/15,129.53898415692572
PB,2014/15,264.70939778055924
AL,2014/15,59.92488378520747
PE,2014/15,1233.341321810654
RN,2014/15,130.83283330673862
CE,2014/15,895.2472514574058
PI,2014/15,331.5915544659655
PI_Sul,2014/15,151.67587264345022
PI_Outros,2014/15,179.91568182251527
MA,2014/15,431.19046788122296
MA_Sul,2014/15,206.4408865125373
MA_Outros,2014/15,224.74958136868565
TO,2014/15,524.8836429666989
TO_Centro,2014/15,156.90907172074293
TO_Leste,2014/15,9.881790527012516
TO_Norte,2014/15,278.44535762644176
TO_Sul,2014/15,79.64742309250165
PA,2014/15,634.6684849027531
PA_Nordeste,2014/15,13.67997499931738
PA_Noroeste,2014/15,39.19699104344625
PA_Sudeste,2014/15,95.38628654165964
PA_Outros,2014/15,486.40523231832987
AP,2014/15,53.81610835756221
RO,2014/15,451.37887086978236
AC,2014/15,101.4509241257061
AM,2014/15,123.08469661075726
RR,2014/15,79.38495963003191
RS,2015/16,6405.920997529844
SC,2015/16,7221.755278845395
PR,2015/16,13640.578970778806
SP,2015/16,7606.656526825313
RJ,2015/16,65.58209502427945
MG,2015/16,5573.356297817494
MG_Triângulo,2015/16,2468.290840306356
MG_Noroeste,2015/16,39.1715824161514
MG_Sul,2015/16,1620.8244689633973
MG_Outros,2015/16,1445.0694061315894
ES,2015/16,415.3774320067643
MS,2015/16,2247.6217705905556
MS_Sul,2015/16,1339.7500656907273
MS_Norte,2015/16,907.8717048998282
MT,2015/16,3288.964439747829
MT_Médio Norte,2015/16,1452.8697969436769
MT_Oeste,2015/16,857.1477843937852
MT_Sudeste,2015/16,489.84635250533137
MT_Nordeste,2015/16,114.405277636273
MT_Nordeste_Sul,2015/16,125.91704486842227
MT_Norte,2015/16,248.77818340034065
GO,2015/16,4452.466925316589
GO_Sudoeste,2015/16,2476.951865256876
GO_Leste,2015/16,791.6947050066505
GO_Noroeste,2015/16,1183.8203550530627
DF,2015/16,504.0410221532143
BA,2015/16,1217.6361561615927
BA_Oeste Norte,2015/16,140.68195058762547
BA_Oeste Sul,2015/16,66.9409386254296
BA_Outros,2015/16,1010.0132669485375
SE,2015/16,124.70415504170347
PB,2015/16,266.8598240748687
AL,2015/16,58.29834138949948
PE,2015/16,1208.935601220989
RN,2015/16,131.10024987783524
CE,2015/16,952.4342751714141
PI,2015/16,344.1611954415996
PI_Sul,2015/16,159.320348177397
PI_Outros,2015/16,184.8408472642026
MA,2015/16,428.31785253543603
MA_Sul,2015/16,208.24591746139183
MA_Outros,2015/16,220.0719350740442
TO,2015/16,502.6348224461679
TO_Centro,2015/16,149.67976879059898
TO_Leste,2015/16,9.322071142549445
TO_Norte,2015/16,286.1452146370919
TO_Sul,2015/16,57.487767875927545
PA,2015/16,589.1668385666617
PA_Nordeste,2015/16,13.907710945592385
PA_Noroeste,2015/16,42.598126650842275
PA_Sudeste,2015/16,93.30020590109305
PA_Outros,2015/16,439.36079506913404
AP,2015/16,46.8846069696868
RO,2015/16,401.50495224337317
AC,2015/16,98.49857777249682
AM,2015/16,115.59912511252722
RR,2015/16,80.16716752476188
RS,2016/17,6297.04386180331
SC,2016/17,7210.996872577193
PR,2016/17,14031.014282943212
SP,2016/17,7784.9334219394605
RJ,2016/17,68.71380327120147
MG,2016/17,5505.8579422129815
MG_Triângulo,2016/17,2185.2216364980486
MG_Noroeste,2016/17,39.06348617286853
MG_Sul,2016/17,1675.230906362514
MG_Outros,2016/17,1606.3419131795506
ES,2016/17,436.24583986739196
MS,2016/17,2393.1325066829572
MS_Sul,2016/17,1483.6480851405572
MS_Norte,2016/17,909.4844215424001
MT,2016/17,3344.976082010851
MT_Médio Norte,2016/17,1480.2584550162758
MT_Oeste,2016/17,857.1515378832181
MT_Sudeste,2016/17,518.9061314976842
MT_Nordeste,2016/17,107.32550837131043
