States,Year,value
RS,2014/15,7086.27861949087
SC,2014/15,971.753482931002
PR,2014/15,9583.06330392707
SP,2014/15,3136.652783640857
RJ,2014/15,0.0
MG,2014/15,2371.9871935563615
MG_Triângulo,2014/15,2406.509420577181
MG_Noroeste,2014/15,0.0
MG_Sul,2014/15,0.0
MG_Outros,2014/15,0.0
ES,2014/15,0.0
MS,2014/15,1797.4221879326149
MS_Sul,2014/15,1347.3510256729614
MS_Norte,2014/15,450.0711622596535
MT,2014/15,8598.37770434527
MT_Médio Norte,2014/15,2326.2812884803584
MT_Oeste,2014/15,103.05361872212266
MT_Sudeste,2014/15,6244.805609736917
MT_Nordeste,2014/15,7.30910324193686
MT_Nordeste_Sul,2014/15,0.0
MT_Norte,2014/15,0.0
GO,2014/15,5303.536517418907
GO_Sudoeste,2014/15,3191.0321379212337
GO_Leste,2014/15,2124.142748364096
GO_Noroeste,2014/15,0.0
DF,2014/15,0.0
BA,2014/15,1830.9735634992815
BA_Oeste Norte,2014/15,1844.7228695914753
BA_Oeste Sul,2014/15,0.0
BA_Outros,2014/15,0.0
SE,2014/15,0.0
PB,2014/15,0.0
AL,2014/15,0.0
PE,2014/15,121.42903405383728
RN,2014/15,0.0
CE,2014/15,0.0
PI,2014/15,573.8641025180026
PI_Sul,2014/15,574.209748609732
PI_Outros,2014/15,0.0
MA,2014/15,306.4489581880677
MA_Sul,2014/15,311.4113343934562
MA_Outros,2014/15,0.0
TO,2014/15,318.5598620426097
TO_Centro,2014/15,338.55573820642155
TO_Leste,2014/15,0.0
TO_Norte,2014/15,0.0
TO_Sul,2014/15,0.0
PA,2014/15,0.0
PA_Nordeste,2014/15,0.0
PA_Noroeste,2014/15,0.0
PA_Sudeste,2014/15,0.0
PA_Outros,2014/15,10.011215699102905
AP,2014/15,0.1295177813643077
RO,2014/15,89.19239460233445
AC,2014/15,0.0
AM,2014/15,340.00129535074444
RR,2014/15,1.2330092785882092
RS,2015/16,7313.013211705389
SC,2015/16,968.9614259627937
PR,2015/16,8253.540455250348
SP,2015/16,3127.96909060031
RJ,2015/16,0.0
MG,2015/16,2372.6258136711494
MG_Triângulo,2015/16,2408.0084324912996
MG_Noroeste,2015/16,0.0
MG_Sul,2015/16,0.0
MG_Outros,2015/16,0.0
ES,2015/16,0.0
MS,2015/16,2050.5131124284876
MS_Sul,2015/16,1535.5642828751647
MS_Norte,2015/16,514.948829553323
MT,2015/16,8654.008439180008
MT_Médio Norte,2015/16,2335.2907335419522
MT_Oeste,2015/16,99.08697833785453
MT_Sudeste,2015/16,6293.398559470722
MT_Nordeste,2015/16,5.34790299364181
MT_Nordeste_Sul,2015/16,0.0
MT_Norte,2015/16,0.0
GO,2015/16,5435.654408501277
GO_Sudoeste,2015/16,3265.3867999391077
GO_Leste,2015/16,2180.5298342649994
GO_Noroeste,2015/16,0.0
DF,2015/16,0.20894378097501276
BA,2015/16,1883.4388416319553
BA_Oeste Norte,2015/16,1899.4379784992827
BA_Oeste Sul,2015/16,0.0
BA_Outros,2015/16,0.0
SE,2015/16,0.0
PB,2015/16,0.0
AL,2015/16,0.0
PE,2015/16,120.97076860228019
RN,2015/16,0.0
CE,2015/16,0.0
PI,2015/16,563.779815848794
PI_Sul,2015/16,564.7816216057561
PI_Outros,2015/16,0.0
MA,2015/16,305.0004567388771
MA_Sul,2015/16,317.02136363560686
MA_Outros,2015/16,0.0
TO,2015/16,201.87862349618655
TO_Centro,2015/16,223.67094418218875
TO_Leste,2015/16,0.0
TO_Norte,2015/16,0.0
TO_Sul,2015/16,0.0
PA,2015/16,0.0
PA_Nordeste,2015/16,0.0
PA_Noroeste,2015/16,0.0
PA_Sudeste,2015/16,0.0
PA_Outros,2015/16,10.597155078056225
AP,2015/16,0.17837103147158057
RO,2015/16,88.26309412285511
AC,2015/16,0.0
AM,2015/16,350.81522894661265
RR,2015/16,1.2231156443765523
RS,2016/17,7373.055783281145
SC,2016/17,995.6229357074432
PR,2016/17,8517.438494484515
SP,2016/17,3203.8646151723374
RJ,2016/17,0.0
MG,2016/17,2461.0113117982055
MG_Triângulo,2016/17,2492.919388918071
MG_Noroeste,2016/17,0.0
MG_Sul,2016/17,0.0
MG_Outros,2016/17,0.0
ES,2016/17,0.0
MS,2016/17,2187.4459810227977
