Year,Month,Estado,UF,Tonnes
2010,1,BAHIA,BA,65699.945
2010,1,GOIÁS,GO,45284.076
2010,1,MATO GROSSO,MT,234040.403
2010,1,MATO GROSSO DO SUL,MS,15511.349999999999
2010,1,MINAS GERAIS,MG,7074.626
2010,1,PARANÁ,PR,96193.483
2010,1,RIO GRANDE DO SUL,RS,134132.722
2010,1,SANTA CATARINA,SC,23809.985
2010,1,SÃO PAULO,SP,12248.98
2010,2,BAHIA,BA,30058.968
2010,2,GOIÁS,GO,80168.009
2010,2,MATO GROSSO,MT,236069.37300000002
2010,2,MATO GROSSO DO SUL,MS,33817.64
2010,2,MINAS GERAIS,MG,30485.934
2010,2,PARANÁ,PR,104233.725
2010,2,RIO GRANDE DO SUL,RS,123816.017
2010,2,SÃO PAULO,SP,59082.619999999995
2010,3,GOIÁS,GO,136339.316
2010,3,MATO GROSSO,MT,560182.809
2010,3,MATO GROSSO DO SUL,MS,51814.884999999995
2010,3,MINAS GERAIS,MG,10380.401
2010,3,PARANÁ,PR,203249.59199999998
2010,3,RIO GRANDE DO SUL,RS,135052.443
2010,3,SANTA CATARINA,SC,4026.59
2010,3,SÃO PAULO,SP,47000.0
2010,4,BAHIA,BA,77943.497
2010,4,GOIÁS,GO,187063.49099999998
2010,4,MATO GROSSO,MT,394757.896
2010,4,MATO GROSSO DO SUL,MS,41664.112
2010,4,MINAS GERAIS,MG,2962.93
2010,4,PARANÁ,PR,216545.62099999998
2010,4,RIO GRANDE DO SUL,RS,160278.981
2010,4,SANTA CATARINA,SC,2782.193
2010,4,SÃO PAULO,SP,37862.81
2010,5,BAHIA,BA,86492.571
2010,5,GOIÁS,GO,211583.12799999997
2010,5,MATO GROSSO,MT,374822.56000000006
2010,5,MATO GROSSO DO SUL,MS,91240.51
2010,5,MINAS GERAIS,MG,26301.885000000002
2010,5,PARANÁ,PR,297540.158
2010,5,RIO GRANDE DO SUL,RS,271938.02400000003
2010,5,SANTA CATARINA,SC,1965.746
2010,5,SÃO PAULO,SP,134459.12
2010,6,BAHIA,BA,55749.069
2010,6,GOIÁS,GO,188680.436
2010,6,MATO GROSSO,MT,510184.665
2010,6,MATO GROSSO DO SUL,MS,54912.547
2010,6,MINAS GERAIS,MG,4821.16
2010,6,PARANÁ,PR,292551.834
2010,6,RIO GRANDE DO SUL,RS,235060.79100000003
2010,6,SANTA CATARINA,SC,881.403
2010,6,SÃO PAULO,SP,75296.0
2010,7,BAHIA,BA,94349.929
2010,7,GOIÁS,GO,148925.015
2010,7,MATO GROSSO,MT,574547.286
2010,7,MATO GROSSO DO SUL,MS,49541.629
2010,7,MINAS GERAIS,MG,5120.0
2010,7,PARANÁ,PR,244003.99599999998
2010,7,PIAUÍ,PI,9317.0
2010,7,RIO GRANDE DO SUL,RS,303023.975
2010,7,SÃO PAULO,SP,53734.94
2010,8,BAHIA,BA,147585.862
2010,8,GOIÁS,GO,78544.62
2010,8,MATO GROSSO,MT,299279.56
2010,8,MATO GROSSO DO SUL,MS,53166.473999999995
2010,8,MINAS GERAIS,MG,7886.112
2010,8,PARANÁ,PR,210557.09100000001
2010,8,RIO GRANDE DO SUL,RS,195013.461
2010,8,SÃO PAULO,SP,44576.566
2010,9,BAHIA,BA,128630.86600000001
2010,9,GOIÁS,GO,158854.30299999999
2010,9,MATO GROSSO,MT,363465.99199999997
2010,9,MATO GROSSO DO SUL,MS,46608.986
2010,9,MINAS GERAIS,MG,89.79
2010,9,PARANÁ,PR,412006.226
2010,9,RIO GRANDE DO SUL,RS,314835.35000000003
2010,9,SANTA CATARINA,SC,781.405
2010,9,SÃO PAULO,SP,41806.449
2010,10,BAHIA,BA,39074.824
2010,10,GOIÁS,GO,130253.26299999999
2010,10,MATO GROSSO,MT,313066.902
2010,10,MATO GROSSO DO SUL,MS,28987.722
2010,10,MINAS GERAIS,MG,32372.601
2010,10,PARANÁ,PR,319858.90599999996
2010,10,RIO GRANDE DO SUL,RS,301634.766
2010,10,SÃO PAULO,SP,60005.62
2010,11,BAHIA,BA,70273.712
2010,11,GOIÁS,GO,107611.891
2010,11,MATO GROSSO,MT,330066.806
2010,11,MATO GROSSO DO SUL,MS,35789.046
2010,11,MINAS GERAIS,MG,21223.219999999998
2010,11,PARANÁ,PR,289402.935
2010,11,RIO GRANDE DO SUL,RS,171225.018
2010,11,SÃO PAULO,SP,31123.354
2010,12,BAHIA,BA,61367.834
2010,12,GOIÁS,GO,137819.423
2010,12,MATO GROSSO,MT,244063.02699999997
2010,12,MATO GROSSO DO SUL,MS,16191.782
2010,12,MINAS GERAIS,MG,20161.021
2010,12,PARANÁ,PR,220117.024
2010,12,RIO GRANDE DO SUL,RS,159012.874
2010,12,SANTA CATARINA,SC,9905.644
2010,12,SÃO PAULO,SP,13120.046
2011,1,BAHIA,BA,91421.826
2011,1,GOIÁS,GO,89285.262
2011,1,MATO GROSSO,MT,219655.206
2011,1,MATO GROSSO DO SUL,MS,9747.955
2011,1,MINAS GERAIS,MG,9715.346
2011,1,PARANÁ,PR,281800.085
2011,1,RIO GRANDE DO SUL,RS,238709.66
2011,1,SANTA CATARINA,SC,5100.186
2011,1,SÃO PAULO,SP,9473.0
2011,2,BAHIA,BA,43802.186
2011,2,GOIÁS,GO,49699.511
2011,2,MATO GROSSO,MT,185803.157
2011,2,MATO GROSSO DO SUL,MS,27406.389000000003
2011,2,MINAS GERAIS,MG,383.198
2011,2,PARANÁ,PR,118360.86
2011,2,RIO GRANDE DO SUL,RS,123350.185
2011,2,SANTA CATARINA,SC,18683.554
2011,2,SÃO PAULO,SP,6644.0
2011,3,BAHIA,BA,24992.14
2011,3,GOIÁS,GO,102733.80799999999
2011,3,MATO GROSSO,MT,370387.865
2011,3,MATO GROSSO DO SUL,MS,42015.293
2011,3,MINAS GERAIS,MG,25672.274999999998
2011,3,PARANÁ,PR,249711.34000000003
2011,3,RIO GRANDE DO SUL,RS,272813.69399999996
2011,3,SANTA CATARINA,SC,26984.583
2011,3,SÃO PAULO,SP,23984.994
2011,4,BAHIA,BA,69547.27
2011,4,GOIÁS,GO,177719.801
2011,4,MATO GROSSO,MT,259057.99199999997
2011,4,MATO GROSSO DO SUL,MS,65830.857
2011,4,MINAS GERAIS,MG,57829.113
2011,4,PARANÁ,PR,423531.878
2011,4,RIO GRANDE DO SUL,RS,121488.924
2011,4,SANTA CATARINA,SC,15129.221
2011,4,SÃO PAULO,SP,41512.613
2011,5,BAHIA,BA,66218.856
2011,5,GOIÁS,GO,148485.401
2011,5,MATO GROSSO,MT,442371.81899999996
2011,5,MATO GROSSO DO SUL,MS,45779.353
2011,5,MINAS GERAIS,MG,37187.684
2011,5,PARANÁ,PR,356498.775
2011,5,RIO GRANDE DO SUL,RS,370965.205
2011,5,SANTA CATARINA,SC,33640.022
2011,5,SÃO PAULO,SP,41041.371999999996
2011,6,BAHIA,BA,91771.896
2011,6,GOIÁS,GO,133334.80800000002
2011,6,MATO GROSSO,MT,429667.18100000004
2011,6,MATO GROSSO DO SUL,MS,69482.728
2011,6,MINAS GERAIS,MG,52726.175
2011,6,PARANÁ,PR,519696.833
2011,6,RIO GRANDE DO SUL,RS,270020.485
2011,6,SANTA CATARINA,SC,18997.155
2011,6,SÃO PAULO,SP,98632.0
2011,7,BAHIA,BA,92374.358
2011,7,GOIÁS,GO,128743.742
2011,7,MATO GROSSO,MT,281080.94700000004
2011,7,MATO GROSSO DO SUL,MS,24414.04
2011,7,MINAS GERAIS,MG,41746.648
2011,7,PARANÁ,PR,240381.918
2011,7,RIO GRANDE DO SUL,RS,294608.079
2011,7,SANTA CATARINA,SC,50008.825
2011,7,SÃO PAULO,SP,26090.865
2011,8,BAHIA,BA,52312.816
2011,8,GOIÁS,GO,140597.307
2011,8,MATO GROSSO,MT,314056.314
2011,8,MATO GROSSO DO SUL,MS,32682.997
2011,8,MINAS GERAIS,MG,29608.797
2011,8,PARANÁ,PR,310017.323
2011,8,RIO GRANDE DO SUL,RS,312315.81
2011,8,SÃO PAULO,SP,12769.285
2011,9,BAHIA,BA,88689.84
2011,9,GOIÁS,GO,121622.41500000001
2011,9,MATO GROSSO,MT,461110.13399999996
2011,9,MATO GROSSO DO SUL,MS,28280.706
2011,9,MINAS GERAIS,MG,31909.254999999997
2011,9,PARANÁ,PR,178737.53100000002
2011,9,RIO GRANDE DO SUL,RS,263247.697
2011,9,SANTA CATARINA,SC,53540.937
2011,9,SÃO PAULO,SP,38069.295
2011,10,BAHIA,BA,48707.344
2011,10,GOIÁS,GO,161817.70099999997
2011,10,MATO GROSSO,MT,487189.705
2011,10,MATO GROSSO DO SUL,MS,24461.123
2011,10,MINAS GERAIS,MG,6273.287
2011,10,PARANÁ,PR,249381.75199999998
2011,10,RIO GRANDE DO SUL,RS,315271.44999999995
2011,10,SANTA CATARINA,SC,51303.852
2011,10,SÃO PAULO,SP,36000.0
2011,11,BAHIA,BA,76914.718
2011,11,GOIÁS,GO,68175.228
2011,11,MATO GROSSO,MT,383353.37599999993
2011,11,MATO GROSSO DO SUL,MS,16359.509
2011,11,MINAS GERAIS,MG,13763.02
2011,11,PARANÁ,PR,207019.199
2011,11,RIO GRANDE DO SUL,RS,322739.783
2011,11,SANTA CATARINA,SC,81804.462
2011,11,SÃO PAULO,SP,30000.0
2011,12,BAHIA,BA,96948.018
2011,12,GOIÁS,GO,97619.20199999999
2011,12,MATO GROSSO,MT,318766.745
2011,12,MATO GROSSO DO SUL,MS,6310.943
2011,12,MINAS GERAIS,MG,16427.22
2011,12,PARANÁ,PR,177912.719
2011,12,RIO GRANDE DO SUL,RS,210322.578
2011,12,SANTA CATARINA,SC,53982.065
2011,12,SÃO PAULO,SP,524.0
2012,1,BAHIA,BA,88676.824
2012,1,GOIÁS,GO,91457.907
2012,1,MATO GROSSO,MT,312030.75399999996
2012,1,MATO GROSSO DO SUL,MS,9189.99
2012,1,MINAS GERAIS,MG,30459.420000000002
2012,1,PARANÁ,PR,304291.099
2012,1,RIO GRANDE DO SUL,RS,215009.568
2012,1,SÃO PAULO,SP,606.53
2012,1,ZONA NÃO DECLARADA,ND,0.025
2012,2,BAHIA,BA,42589.866
2012,2,GOIÁS,GO,40996.469999999994
2012,2,MATO GROSSO,MT,412687.611
2012,2,MATO GROSSO DO SUL,MS,29159.617
2012,2,MINAS GERAIS,MG,708.4
2012,2,PARANÁ,PR,170117.003
2012,2,RIO GRANDE DO SUL,RS,239035.181
2012,2,SANTA CATARINA,SC,51741.18
2012,2,SÃO PAULO,SP,9781.431
2012,3,BAHIA,BA,53212.62
2012,3,GOIÁS,GO,85460.273
2012,3,MATO GROSSO,MT,349615.88100000005
2012,3,MATO GROSSO DO SUL,MS,27615.268
2012,3,MINAS GERAIS,MG,21555.59
2012,3,PARANÁ,PR,324805.961
2012,3,RIO GRANDE DO SUL,RS,103233.7
2012,3,SANTA CATARINA,SC,37127.861
2012,3,SÃO PAULO,SP,49500.0
