"Date","Predicted Export"
"1/1/2015",64934.0881001405
"2/1/2015",41172.8546824139
"3/1/2015",129537.063692122
"4/1/2015",82129.9552221648
"5/1/2015",112829.850012284
"6/1/2015",218510.514161845
"7/1/2015",139776.063609533
"8/1/2015",50218.7400810082
"9/1/2015",109552.163090365
"10/1/2015",109707.827830627
"11/1/2015",138807.288591026
"12/1/2015",107794.424013331
"1/1/2016",88933.038841963
"2/1/2016",93159.8907710065
"3/1/2016",121675.040657062
"4/1/2016",122837.302720274
"5/1/2016",234712.719963077
"6/1/2016",298535.538539305
"7/1/2016",126916.67199359
"8/1/2016",80079.6170640938
"9/1/2016",159368.354345354
"10/1/2016",87643.2605845389
"11/1/2016",88182.372681842
"12/1/2016",74654.8706220304
"1/1/2017",182406.367170674
"2/1/2017",182712.344202983
"3/1/2017",214896.668513997
"4/1/2017",165084.885361187
"5/1/2017",206894.05280561
"6/1/2017",243277.42097374
"7/1/2017",152283.209922346
"8/1/2017",183163.841287504
"9/1/2017",213004.918564449
"10/1/2017",196047.244855085
"11/1/2017",166271.031976344
"12/1/2017",130891.953330796
"1/1/2018",38167.1578377886
"2/1/2018",146466.898184955
"3/1/2018",200562.88850367
"4/1/2018",248502.466395138
"5/1/2018",274367.285080019
"6/1/2018",191518.05262221
"7/1/2018",198202.259563975
"8/1/2018",266317.722051105
"9/1/2018",201750.218552811
"10/1/2018",171047.352141399
"11/1/2018",100308.546118652
"12/1/2018",74482.2162307859
"1/1/2019",173610.616813934
"2/1/2019",113853.836490168
"3/1/2019",136707.493519266
"4/1/2019",212283.287251612
"5/1/2019",276925.804395959
"6/1/2019",252367.502700077
"7/1/2019",168977.786613309
"8/1/2019",148854.997454585
"9/1/2019",167559.654887981
"10/1/2019",157619.441519943
"11/1/2019",179040.725552623
"12/1/2019",121473.370605935
