"Date","Predicted Export"
"1/1/2015",297934.256182875
"2/1/2015",261305.453014411
"3/1/2015",510617.794754447
"4/1/2015",329524.645488533
"5/1/2015",627458.204951089
"6/1/2015",446843.198705208
"7/1/2015",657407.146577852
"8/1/2015",231121.13099034
"9/1/2015",273022.9827128
"10/1/2015",440977.080979292
"11/1/2015",504858.036023042
"12/1/2015",374376.794706855
"1/1/2016",443156.691106216
"2/1/2016",436381.217014641
"3/1/2016",671981.388744133
"4/1/2016",439654.302274028
"5/1/2016",657631.304795845
"6/1/2016",466699.946084435
"7/1/2016",666398.23854884
"8/1/2016",313769.512648888
"9/1/2016",268384.86263919
"10/1/2016",407857.466411817
"11/1/2016",434786.217264033
"12/1/2016",269452.946254957
"1/1/2017",371402.328449771
"2/1/2017",287293.811908106
"3/1/2017",588499.056397603
"4/1/2017",411093.253647183
"5/1/2017",569811.349933455
"6/1/2017",510782.029779516
"7/1/2017",440229.793993248
"8/1/2017",383609.178080597
"9/1/2017",256957.727125638
"10/1/2017",281812.706073834
"11/1/2017",383612.24393846
"12/1/2017",302994.652228047
"1/1/2018",583509.370240758
"2/1/2018",312301.493785888
"3/1/2018",499518.569941944
"4/1/2018",510227.13178897
"5/1/2018",633088.812083891
"6/1/2018",524791.327159584
"7/1/2018",485928.842286131
"8/1/2018",386659.40421188
"9/1/2018",423489.077027495
"10/1/2018",486342.191149414
"11/1/2018",535852.985773331
"12/1/2018",412013.997635976
"1/1/2019",493631.888677465
"2/1/2019",524582.179958618
"3/1/2019",634794.203102178
"4/1/2019",531197.440433745
"5/1/2019",702309.937969019
"6/1/2019",569012.131863954
"7/1/2019",687282.750951306
"8/1/2019",419155.689834757
"9/1/2019",587715.466922125
"10/1/2019",483608.408252221
"11/1/2019",488893.490960626
"12/1/2019",552267.273243048
