"Date","Predicted Export"
"1/1/2015",320286.4582516
"2/1/2015",124948.209851442
"3/1/2015",136034.214498627
"4/1/2015",254383.126297094
"5/1/2015",263735.389668142
"6/1/2015",245007.694620321
"7/1/2015",266669.928646458
"8/1/2015",202200.323586027
"9/1/2015",265054.523064253
"10/1/2015",237922.197102335
"11/1/2015",187304.572811224
"12/1/2015",188833.75767526
"1/1/2016",144420.772683965
"2/1/2016",25605.6416846754
"3/1/2016",186888.608589176
"4/1/2016",179136.981269224
"5/1/2016",322981.454058657
"6/1/2016",304303.475934865
"7/1/2016",237014.934560101
"8/1/2016",262248.34134027
"9/1/2016",267114.865426213
"10/1/2016",173100.153446197
"11/1/2016",157816.282080423
"12/1/2016",241431.360412018
"1/1/2017",242340.061960551
"2/1/2017",72601.8342156843
"3/1/2017",130182.561619574
"4/1/2017",226445.671410076
"5/1/2017",344424.537863057
"6/1/2017",272994.286793818
"7/1/2017",82968.1247646523
"8/1/2017",139061.650695717
"9/1/2017",170730.585297813
"10/1/2017",218462.893484117
"11/1/2017",97064.5528514892
"12/1/2017",148779.849948004
"1/1/2018",279991.26885442
"2/1/2018",156958.541071202
"3/1/2018",167044.365639546
"4/1/2018",233590.043422514
"5/1/2018",201327.629036923
"6/1/2018",244559.696391597
"7/1/2018",238377.298022507
"8/1/2018",179329.170931338
"9/1/2018",182857.699319905
"10/1/2018",269779.595272921
"11/1/2018",213911.966997177
"12/1/2018",303435.769188563
"1/1/2019",180769.216266682
"2/1/2019",128061.58712752
"3/1/2019",156430.102746022
"4/1/2019",158992.618102305
"5/1/2019",259526.362445289
"6/1/2019",302233.623597985
"7/1/2019",174680.18633109
"8/1/2019",252711.486086721
"9/1/2019",254664.749600655
"10/1/2019",233495.869904718
"11/1/2019",180257.169632862
"12/1/2019",208283.375458567
