"Date","Predicted Export"
"1/1/2015",25945.893795066
"2/1/2015",27147.8998859165
"3/1/2015",63628.4966741455
"4/1/2015",104356.044225987
"5/1/2015",76654.2190432458
"6/1/2015",100599.419673127
"7/1/2015",71762.9779392847
"8/1/2015",97732.2106901157
"9/1/2015",68229.080271116
"10/1/2015",43363.8271000333
"11/1/2015",7304.96974193117
"12/1/2015",31270.6536511161
"1/1/2016",16569.17999265
"2/1/2016",4869.1111805062
"3/1/2016",32471.6759530548
"4/1/2016",40350.5829817536
"5/1/2016",106081.017267531
"6/1/2016",94710.1022459186
"7/1/2016",49028.747884801
"8/1/2016",59318.5908201857
"9/1/2016",2024.05089224811
"10/1/2016",0
"11/1/2016",0
"12/1/2016",2272.08701621335
"1/1/2017",5897.610585134
"2/1/2017",3442.49436221099
"3/1/2017",9071.7562742937
"4/1/2017",47071.3025429667
"5/1/2017",65450.9935398923
"6/1/2017",0
"7/1/2017",23517.7891683308
"8/1/2017",0
"9/1/2017",0
"10/1/2017",562.759499914511
"11/1/2017",0
"12/1/2017",0
"1/1/2018",0
"2/1/2018",18909.0271537953
"3/1/2018",3911.87613357283
"4/1/2018",13621.5110264111
"5/1/2018",18999.4568158558
"6/1/2018",5961.80564076445
"7/1/2018",27902.4126625717
"8/1/2018",24411.3564511567
"9/1/2018",27148.6161086265
"10/1/2018",17579.0965417816
"11/1/2018",0
"12/1/2018",22927.2664515821
"1/1/2019",30228.6630402826
"2/1/2019",10402.6701422338
"3/1/2019",38443.9947728472
"4/1/2019",69082.8226002171
"5/1/2019",97321.6236318197
"6/1/2019",22823.6517690101
"7/1/2019",25726.7818989161
"8/1/2019",30638.3896402931
"9/1/2019",30282.5809546902
"10/1/2019",14095.167816087
"11/1/2019",0
"12/1/2019",15048.3071012047
