Ano,Mes,CBOT_Soyameal
1963,3,60.2
1963,4,60.35714285714287
1963,5,62.37727272727275
1963,6,64.64499999999998
1963,7,67.19999999999999
1963,8,67.46136363636364
1963,9,70.44249999999998
1963,10,73.33260869565217
1963,11,73.58421052631579
1963,12,74.34428571428572
1964,1,74.35000000000001
1964,2,69.8915789473684
1964,3,68.36428571428571
1964,4,65.46272727272726
1964,5,61.495000000000005
1964,6,62.29227272727273
1964,7,60.94863636363636
1964,8,61.913809523809526
1964,9,66.22142857142856
1964,10,66.01363636363637
1964,11,63.817894736842106
1964,12,65.25227272727274
1965,1,66.75250000000001
1965,2,67.57842105263158
1965,3,66.89565217391306
1965,4,66.52476190476189
1965,5,66.86499999999998
1965,6,71.55863636363635
1965,7,69.63285714285715
1965,8,63.386363636363626
1965,9,62.230476190476196
1965,10,61.04761904761906
1965,11,63.43190476190476
1965,12,64.48142857142857
1966,1,68.06190476190476
1966,2,69.53578947368422
1966,3,67.45
1966,4,71.69049999999999
1966,5,76.05714285714286
1966,6,87.16454545454545
1966,7,88.2415
1966,8,90.68130434782609
1966,9,79.20142857142858
1966,10,75.73809523809526
1966,11,75.15249999999999
1966,12,77.47666666666667
1967,1,74.80250000000001
1967,2,74.5963157894737
1967,3,73.20227272727271
1967,4,71.30550000000001
1967,5,71.33636363636366
1967,6,74.86545454545454
1967,7,74.38450000000002
1967,8,74.80391304347826
1967,9,73.131
1967,10,71.49318181818184
1967,11,71.98238095238096
1967,12,72.5955
1968,1,74.50227272727271
1968,2,74.11473684210527
1968,3,74.83809523809525
1968,4,74.47799999999998
1968,5,75.36818181818181
1968,6,78.8575
1968,7,80.39272727272727
1968,8,79.20363636363636
1968,9,76.188
1968,10,74.49782608695652
1968,11,73.10315789473684
1968,12,71.25666666666666
1969,1,72.36136363636363
1969,2,71.69684210526316
1969,3,73.0075
1969,4,74.86619047619048
1969,5,78.17380952380952
1969,6,78.12809523809524
1969,7,76.35428571428572
1969,8,72.82428571428572
1969,9,68.91619047619048
1969,10,71.48478260869565
1969,11,68.9421052631579
1969,12,73.98380952380951
1970,1,76.5875
1970,2,79.79947368421053
1970,3,72.12619047619049
1970,4,73.93818181818182
1970,5,73.46250000000002
1970,6,76.94818181818182
1970,7,82.29090909090908
1970,8,82.00619047619048
1970,9,80.72809523809525
1970,10,78.91136363636365
1970,11,80.43105263157895
1970,12,81.39318181818182
1971,1,79.88250000000002
1971,2,78.28736842105262
1971,3,78.37608695652172
1971,4,77.25142857142858
1971,5,80.5525
1971,6,83.72863636363635
1971,7,87.0004761904762
1971,8,81.81772727272727
1971,9,79.42571428571429
1971,10,82.0952380952381
1971,11,81.26619047619049
1971,12,84.07857142857145
1972,1,85.4452380952381
1972,2,86.7025
1972,3,93.82272727272725
1972,4,98.1345
1972,5,99.82045454545454
1972,6,101.50863636363637
1972,7,105.1315
1972,8,103.30608695652174
1972,9,105.55649999999999
1972,10,105.95227272727274
1972,11,120.82199999999997
1972,12,152.76421052631582
1973,1,163.30476190476188
1973,2,203.8842105263158
1973,3,193.71363636363637
1973,4,200.99800000000005
1973,5,290.80909090909086
1973,6,377.5
1973,7,299.4142857142857
1973,8,276.3478260869565
1973,9,196.03052631578947
1973,10,166.35
1973,11,171.4057142857143
1973,12,185.0842105263158
1974,1,171.28636363636363
1974,2,160.52333333333334
1974,3,156.46190476190475
1974,4,125.08190476190478
1974,5,117.69090909090906
1974,6,106.85
1974,7,146.14363636363635
1974,8,157.85636363636365
1974,9,154.93099999999998
1974,10,180.1
1974,11,155.12526315789475
1974,12,155.06952380952382
1975,1,131.77727272727273
1975,2,119.12421052631578
1975,3,122.62500000000003
1975,4,125.50454545454546
1975,5,121.21904761904764
1975,6,123.42476190476191
1975,7,129.69545454545454
1975,8,143.16571428571427
1975,9,140.85238095238094
1975,10,135.72173913043477
1975,11,130.11368421052632
1975,12,130.8647619047619
1976,1,135.39047619047616
1976,2,137.45473684210526
1976,3,133.40869565217392
1976,4,133.5514285714286
1976,5,158.10499999999996
1976,6,193.0609090909091
1976,7,199.64666666666662
1976,8,183.36090909090908
1976,9,187.85523809523812
1976,10,182.65714285714287
1976,11,186.84599999999998
1976,12,200.22857142857148
1977,1,212.41428571428574
1977,2,213.22736842105266
1977,3,238.15217391304347
1977,4,282.67100000000005
1977,5,264.07
1977,6,224.7118181818182
1977,7,166.796
1977,8,141.93391304347824
1977,9,138.72857142857143
1977,10,143.95714285714286
1977,11,164.30095238095242
1977,12,159.3980952380952
1978,1,157.60952380952378
1978,2,150.94421052631583
1978,3,176.3409090909091
1978,4,177.958
1978,5,180.0772727272727
1978,6,174.01545454545456
1978,7,168.52200000000002
1978,8,165.48695652173913
1978,9,170.57700000000003
1978,10,185.1181818181818
1978,11,186.25099999999998
1978,12,191.78400000000002
1979,1,189.82272727272724
1979,2,197.48105263157893
1979,3,200.41363636363639
1979,4,195.21400000000003
1979,5,194.94090909090903
1979,6,211.3342857142857
1979,7,203.89142857142858
1979,8,191.52086956521737
1979,9,190.44842105263157
1979,10,187.504347826087
1979,11,190.7352380952381
1979,12,190.09473684210525
1980,1,185.14000000000001
1980,2,180.568
1980,3,173.35238095238097
1980,4,165.1647619047619
1980,5,173.69523809523812
1980,6,172.73619047619047
