Year,Month,Estado,UF,Tonnes
2012,1,ACRE,AC,0.0
2012,2,ACRE,AC,0.0
2012,3,ACRE,AC,0.0
2012,4,ACRE,AC,0.0
2012,5,ACRE,AC,0.0
2012,6,ACRE,AC,0.0
2012,7,ACRE,AC,0.0
2012,8,ACRE,AC,0.0
2012,9,ACRE,AC,0.0
2012,10,ACRE,AC,0.0
2012,11,ACRE,AC,0.0
2012,12,ACRE,AC,0.0
2013,1,ACRE,AC,0.0
2013,2,ACRE,AC,0.0
2013,3,ACRE,AC,0.0
2013,4,ACRE,AC,0.0
2013,5,ACRE,AC,0.0
2013,6,ACRE,AC,0.0
2013,7,ACRE,AC,0.0
2013,8,ACRE,AC,0.0
2013,9,ACRE,AC,0.0
2013,10,ACRE,AC,0.0
2013,11,ACRE,AC,0.0
2013,12,ACRE,AC,0.0
2014,1,ACRE,AC,0.0
2014,2,ACRE,AC,0.0
2014,3,ACRE,AC,0.0
2014,4,ACRE,AC,0.0
2014,5,ACRE,AC,0.0
2014,6,ACRE,AC,0.0
2014,7,ACRE,AC,0.0
2014,8,ACRE,AC,0.0
2014,9,ACRE,AC,0.0
2014,10,ACRE,AC,0.0
2014,11,ACRE,AC,0.0
2014,12,ACRE,AC,0.0
2015,1,ACRE,AC,0.0
2015,2,ACRE,AC,0.0
2015,3,ACRE,AC,0.0
2015,4,ACRE,AC,0.0
2015,5,ACRE,AC,0.0
2015,6,ACRE,AC,0.0
2015,7,ACRE,AC,0.0
2015,8,ACRE,AC,0.0
2015,9,ACRE,AC,0.0
2015,10,ACRE,AC,0.0
2015,11,ACRE,AC,0.0
2015,12,ACRE,AC,0.0
2016,1,ACRE,AC,0.0
2016,2,ACRE,AC,0.0
2016,3,ACRE,AC,0.0
2016,4,ACRE,AC,0.0
2016,5,ACRE,AC,0.0
2016,6,ACRE,AC,0.0
2016,7,ACRE,AC,0.0
2016,8,ACRE,AC,0.0
2016,9,ACRE,AC,0.0
2016,10,ACRE,AC,0.0
2016,11,ACRE,AC,0.0
2016,12,ACRE,AC,0.0
2017,1,ACRE,AC,0.0
2017,2,ACRE,AC,0.0
2017,3,ACRE,AC,0.0
2017,4,ACRE,AC,0.0
2017,5,ACRE,AC,0.0
2017,6,ACRE,AC,0.0
2017,7,ACRE,AC,0.0
2017,8,ACRE,AC,0.0
2017,9,ACRE,AC,0.0
2017,10,ACRE,AC,0.0
2017,11,ACRE,AC,0.0
2017,12,ACRE,AC,0.0
2018,1,ACRE,AC,0.0
2018,2,ACRE,AC,0.0
2018,3,ACRE,AC,0.0
2018,4,ACRE,AC,0.0
2018,5,ACRE,AC,0.0
2018,6,ACRE,AC,0.0
2018,7,ACRE,AC,0.0
2018,8,ACRE,AC,0.0
2018,9,ACRE,AC,0.0
2018,10,ACRE,AC,0.0
2018,11,ACRE,AC,0.0
2018,12,ACRE,AC,0.0
2019,1,ACRE,AC,0.0
2019,2,ACRE,AC,0.0
2019,3,ACRE,AC,0.0
2019,4,ACRE,AC,0.0
2019,5,ACRE,AC,0.0
2019,6,ACRE,AC,0.0
2019,7,ACRE,AC,0.0
2019,8,ACRE,AC,0.0
2019,9,ACRE,AC,0.0
2019,10,ACRE,AC,0.0
2019,11,ACRE,AC,0.0
2019,12,ACRE,AC,0.0
2012,1,ALAGOAS,AL,0.0
2012,2,ALAGOAS,AL,0.0
2012,3,ALAGOAS,AL,0.0
2012,4,ALAGOAS,AL,0.0
2012,5,ALAGOAS,AL,0.0
2012,6,ALAGOAS,AL,0.0
2012,7,ALAGOAS,AL,0.0
2012,8,ALAGOAS,AL,0.0
2012,9,ALAGOAS,AL,0.0
2012,10,ALAGOAS,AL,0.0
2012,11,ALAGOAS,AL,0.0
2012,12,ALAGOAS,AL,0.0
2013,1,ALAGOAS,AL,0.0
2013,2,ALAGOAS,AL,0.0
2013,3,ALAGOAS,AL,0.0
2013,4,ALAGOAS,AL,0.0
2013,5,ALAGOAS,AL,0.0
2013,6,ALAGOAS,AL,0.0
2013,7,ALAGOAS,AL,0.0
2013,8,ALAGOAS,AL,0.0
2013,9,ALAGOAS,AL,0.0
2013,10,ALAGOAS,AL,0.0
2013,11,ALAGOAS,AL,0.0
2013,12,ALAGOAS,AL,0.0
2014,1,ALAGOAS,AL,0.0
2014,2,ALAGOAS,AL,0.0
2014,3,ALAGOAS,AL,0.0
2014,4,ALAGOAS,AL,0.0
2014,5,ALAGOAS,AL,0.0
2014,6,ALAGOAS,AL,0.0
2014,7,ALAGOAS,AL,0.0
2014,8,ALAGOAS,AL,0.0
2014,9,ALAGOAS,AL,0.0
