"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",196.456930527228,81.3412944039476,311.572566650509,68.6887574556491,324.225103598807,54.116259927541,338.797601126915,36.5695873787227,356.344273675733,0,414.148200555923,"GO"
"Mar 2019",30.1552065777967,0,175.170645980916,0,191.109516380387,0,209.467032382613,0,231.571227046529,0,304.388979161275,"GO"
"Apr 2019",0,0,109.822608388471,0,128.736479306505,0,150.5204376009,0,176.750394564116,0,263.159627434559,"GO"
"May 2019",0,0,106.779390544619,0,126.808358660362,0,149.876624696643,0,177.653010290595,0,269.156636257382,"GO"
"Jun 2019",0,0,67.1722113820917,0,87.8512391877832,0,111.668208291568,0,140.346103564039,0,234.819568934503,"GO"
"Jul 2019",6.54696325103197,0,194.398164063878,0,215.045179005631,0,238.825277449997,0,267.458776942936,0,361.785989490437,"GO"
"Aug 2019",312.788565441588,125.438804298516,500.13832658466,104.846903363537,520.730227519638,81.1302822068311,544.446848676345,52.573215403532,573.003915479644,0,667.079336150884,"GO"
"Sep 2019",511.916922209919,324.602278306608,699.23156611323,304.014237161563,719.819607258274,280.30206149903,743.531782920807,251.750347493385,772.083496926453,157.692560520117,866.14128389972,"GO"
"Oct 2019",450.804049082072,263.544822564831,638.063275599312,242.962872430083,658.64522573406,219.257712058858,682.350386105285,190.714445130947,710.893653033196,96.6844853290374,804.923612835106,"GO"
"Nov 2019",365.154771535494,177.60875409263,552.700788978357,156.995282325329,573.314260745658,133.253817068031,597.055726002956,104.666835605489,625.642707465498,10.4928672027245,719.816675868263,"GO"
"Dec 2019",341.188850602845,153.598829302136,528.778871903554,132.980521003015,549.397180202676,109.233485293854,573.144215911837,80.6397964776416,601.737904728049,0,695.933969136769,"GO"
