"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",2007.09647932623,1503.69519730733,2510.49776134513,1448.36558670827,2565.82737194419,1384.63997839898,2629.55298025348,1307.90828708659,2706.28467156587,1055.13141091964,2959.06154773282,"MT"
"Mar 2019",901.822432072262,330.854306049699,1472.79055809482,268.09831951226,1535.54654463226,195.819419049236,1607.82544509529,108.788750753218,1694.8561133913,0,1981.56086453547,"MT"
"Apr 2019",451.843483579271,0,1110.47341484313,0,1182.86444547295,0,1266.24046083026,0,1366.63311055128,0,1697.35617885027,"MT"
"May 2019",269.884329322256,0,975.526697276376,0,1053.08493726441,0,1142.41226071965,0,1249.97085122949,0,1604.30064702805,"MT"
"Jun 2019",425.206992474107,0,1162.80489465521,0,1243.8754166505,0,1337.24799372387,0,1449.67745420487,0,1820.05333571411,"MT"
"Jul 2019",1279.93194245346,528.852875853871,2031.01100905306,446.300618304186,2113.56326660274,351.22145955537,2208.64242535156,236.737112478649,2323.12677242828,0,2700.27205789123,"MT"
"Aug 2019",2748.33979364244,1977.02603736756,3519.65354991732,1892.24975389597,3604.4298333889,1794.60908417258,3702.07050311229,1677.04043433894,3819.63915294593,1289.73454375037,4206.9450435345,"MT"
"Sep 2019",2787.21720803183,1964.68798318321,3609.74643288045,1874.28252864264,3700.15188742102,1770.15848868106,3804.2759273826,1644.7832446543,3929.65117140936,1231.76012484936,4342.6742912143,"MT"
"Oct 2019",2859.70838122526,2006.74540980145,3712.67135264907,1912.99493527935,3806.42182717117,1805.01828491945,3914.39847753107,1675.00413167434,4044.41263077618,1246.6990734554,4472.71768899512,"MT"
"Nov 2019",2959.709561946,2061.24283968727,3858.17628420473,1962.49097779406,3956.92814609794,1848.75400399859,4070.66511989341,1711.8038736566,4207.6152502354,1260.64965632588,4658.76946756612,"MT"
"Dec 2019",3258.16329132083,2325.46614472003,4190.86043792163,2222.95196414163,4293.37461850003,2104.88175820751,4411.44482443415,1962.71400437522,4553.61257826644,1494.37139272743,5021.95518991423,"MT"
