"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",117.897465418382,2.5909998073234,233.20393102944,0,245.87744234079,0,260.474096988926,0,278.049857007071,0,335.94960661065,"MS"
"Mar 2019",110.858184130383,0,251.239122851668,0,266.668608139885,0,284.439442332372,0,305.837216316787,0,376.327809866801,"MS"
"Apr 2019",35.5831018976397,0,187.175847644202,0,203.83763991887,0,223.027777653983,0,246.134528048365,0,322.254995135193,"MS"
"May 2019",16.2200421512549,0,173.22058162553,0,190.476752841694,0,210.351463614698,0,234.282505034585,0,313.118430453112,"MS"
"Jun 2019",0,0,150.755154897608,0,168.306600053777,0,188.521391142563,0,212.861921596834,0,293.046824956099,"MS"
"Jul 2019",58.0519063568155,0,219.09124845389,0,236.791330689729,0,257.177313807822,0,281.723975741987,0,362.587937136807,"MS"
"Aug 2019",315.883032214228,154.158613007869,477.607451420587,136.383232891312,495.382831537144,115.910525807493,515.855538620963,91.2594399730479,540.506624455408,10.0514753787847,621.714589049672,"MS"
"Sep 2019",344.274170612156,182.20160882602,506.346732398293,164.387963822066,524.160377402247,143.871185341397,544.677155882916,119.16703335492,569.381307869393,37.7842531673711,650.764088056942,"MS"
"Oct 2019",183.291388799251,21.0416290145797,345.541148583923,3.2085079055617,363.374269692941,0,383.913479682331,0,408.644641338053,0,490.116399361242,"MS"
"Nov 2019",45.9929771586723,0,208.332999269636,0,226.176041250023,0,246.726677554473,0,271.47159757992,0,352.988679740514,"MS"
"Dec 2019",0,0,130.439088704222,0,148.287186291052,0,168.843645365489,0,193.595576559618,0,275.135755582634,"MS"
