"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",287.044146162662,150.79349147514,423.294800850183,135.81797206944,438.270320255883,118.56999086113,455.518301464194,97.8017815815172,476.286510743806,29.3851602938498,544.703132031474,"PR"
"Mar 2019",180.109943830702,15.8521705050816,344.367717156322,0,362.421542127779,0,383.214946710947,0,408.252182825909,0,490.732240605798,"PR"
"Apr 2019",70.6248626257461,0,247.029612466836,0,266.418530344416,0,288.749621650317,0,315.638378779739,0,404.217894165575,"PR"
"May 2019",78.2799966420154,0,255.433945334281,0,274.905208812037,0,297.331141260066,0,324.334096141924,0,413.289812685748,"PR"
"Jun 2019",132.60477818172,0,309.926257128826,0,329.415934115039,0,351.863074231347,0,378.891565162196,0,467.931405000883,"PR"
"Jul 2019",84.5493814308759,0,263.838674981389,0,283.544637502873,0,306.24088342626,0,333.569321433332,0,423.597275617557,"PR"
"Aug 2019",140.712753298016,0,321.730863057439,0,341.626842432382,0,364.541939337089,0,392.133894733601,0,483.029953105011,"PR"
"Sep 2019",190.206021678764,4.22488347631992,376.187159881207,0,396.628633359866,0,420.172000429718,0,448.52045283978,0,541.908636024864,"PR"
"Oct 2019",50.8079924265839,0,240.656215084344,0,261.522725774287,0,285.555627372756,0,314.493525899272,0,409.823518856013,"PR"
"Nov 2019",34.7919357984805,0,228.126982861968,0,249.376735795202,0,273.851034772382,0,303.320417710077,0,400.40127744548,"PR"
"Dec 2019",64.7273242066447,0,261.410671067776,0,283.028440791174,0,307.926601305914,0,337.906353834771,0,436.668521889303,"PR"
