"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",67.7314228356047,2.87501768287798,132.587827988331,0,139.716295416074,0,147.926472900199,0,157.812307198936,0,190.379168030467,"RS"
"Mar 2019",188.06034788059,96.3395421542169,279.781153606964,86.2583670639986,289.862328697182,74.6474229756363,301.473272785544,60.6667423470647,315.453953414116,14.6102471032606,361.51044865792,"RS"
"Apr 2019",85.5817518107049,0,197.916335048139,0,210.263202188423,0,224.483646010628,0,241.606412424952,0,298.01386717436,"RS"
"May 2019",0,0,123.785189916046,0,138.042123562325,0,154.462477137877,0,174.234144058409,0,239.367860197135,"RS"
"Jun 2019",0,0,138.25021941521,0,154.189955166743,0,172.548467833972,0,194.653862577312,0,267.475568108476,"RS"
"Jul 2019",11.2716317627501,0,170.136703754128,0,187.597808612311,0,207.708550704878,0,231.923796274922,0,311.695974186281,"RS"
"Aug 2019",14.4179296707678,0,186.011810336512,0,204.871958169949,0,226.594041164497,0,252.749494383713,0,338.913289895109,"RS"
"Sep 2019",35.5007617113629,0,218.942325671919,0,239.104670632416,0,262.3265527971,0,290.287906815176,0,382.400873455154,"RS"
"Oct 2019",51.8828212097089,0,246.451969503401,0,267.837364404477,0,292.467888354494,0,322.125381013056,0,419.825929781815,"RS"
"Nov 2019",23.5476103017963,0,228.641486295206,0,251.183670235338,0,277.146520301539,0,308.408260278985,0,411.393673996385,"RS"
"Dec 2019",12.9747705659843,0,228.079026090858,0,251.721466270314,0,278.951531077191,0,311.739118086746,0,419.751123029859,"RS"
