"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",25.3870701042808,0,76.1568281946279,0,81.7370105375927,0,88.1639582502555,0,95.9026143581018,0,121.396035436334,"SP"
"Mar 2019",39.6458817894207,0,108.857819367612,0,116.465010075689,0,125.226554755802,0,135.776287581438,0,170.53022643577,"SP"
"Apr 2019",19.9609415831987,0,99.795275895221,0,108.569990596393,0,118.676225323482,0,130.845092816216,0,170.932939945503,"SP"
"May 2019",20.0093634127235,0,104.330516699411,0,113.598384587839,0,124.272606085617,0,137.125383653347,0,179.466232761083,"SP"
"Jun 2019",29.8011773472744,0,118.527213470302,0,128.279228818768,0,139.51106478497,0,153.035263189591,0,197.587971033137,"SP"
"Jul 2019",37.29008419712,0,127.846016134863,0,137.799158152016,0,149.262640774872,0,163.065763778623,0,208.537331713069,"SP"
"Aug 2019",91.9000604784074,1.13207794871047,182.668043008104,0,192.644491832568,0,204.134817956717,0,217.970263088253,0,263.548309667346,"SP"
"Sep 2019",174.060795279722,83.119310732726,265.002279826717,73.1237920341912,274.997798525252,61.6115022758795,286.510088283564,47.7496108405523,300.371979718891,2.0844423181739,346.037148241269,"SP"
"Oct 2019",142.77416304,51.663088249703,233.885237830297,41.6489296262049,243.899396453795,30.1151714255119,255.433154654488,16.2274299443795,269.32089613562,0,315.071222351198,"SP"
"Nov 2019",82.6315169363504,0,173.974576770292,0,184.014233227403,0,195.577358433213,0,209.500460580664,0,255.367275285136,"SP"
"Dec 2019",98.1791230378846,6.57733987290223,189.780906202867,0,199.84899933996,0,211.444876352814,0,225.407414789925,0,271.404144291495,"SP"
