"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",141.24496147954,24.0797314723341,258.410191486747,11.2019205020287,271.288002457052,0,286.119958237862,0,303.979043191723,0,362.812148895835,"BA"
"Mar 2019",282.536623299311,149.995203713438,415.078042885184,135.42737205333,429.645874545292,118.648943211408,446.424303387214,98.4461196250604,466.627126973562,31.8920459618313,533.181200636791,"BA"
"Apr 2019",371.265021678222,233.883962584861,508.646080771583,218.784198689072,523.745844667372,201.393119497163,541.13692385928,180.452606639818,562.077436716626,111.468366427209,631.061676929234,"BA"
"May 2019",512.581083575342,373.108550950208,652.053616200476,357.778909975785,667.383257174899,340.123070983225,685.039096167459,318.863762153044,706.29840499764,248.829313756962,776.332853393722,"BA"
"Jun 2019",386.243878129754,245.561491238255,526.926265021253,230.098873317147,542.388882942361,212.289878776829,560.197877482679,190.846156105413,581.641600154095,120.204193996131,652.283562263377,"BA"
"Jul 2019",583.155299034922,441.592297383641,724.718300686203,426.032889737344,740.2777083325,408.11241810458,758.198179965264,386.534466414831,779.776131655013,315.450314235648,850.860283834196,"BA"
"Aug 2019",760.532943120705,618.226425770651,902.839460470759,602.585297168216,918.480589073193,584.570703824038,936.495182417372,562.879420644835,958.186465596574,491.42192103403,1029.64396520738,"BA"
"Sep 2019",485.567173154764,342.578621715887,628.55572459364,326.862529695803,644.271816613725,308.761597602101,662.372748707427,286.96635435955,684.167991949977,215.166379565288,755.967966744239,"BA"
"Oct 2019",607.171641227645,463.530285700277,750.812996755014,447.742442976919,766.600839478372,429.558872361759,784.784410093532,407.664124482262,806.679157973028,335.536351996313,878.806930458977,"BA"
"Nov 2019",616.458947894733,472.179591293164,760.738304496302,456.321624888643,776.596270900824,438.057289666781,794.860606122685,416.065293521873,816.852602267594,343.617156499145,889.300739290321,"BA"
"Dec 2019",541.633800405744,396.724566816533,686.543033994955,380.797369661721,702.470231149768,362.453298261921,720.814302549567,340.365292177612,742.902308633876,267.600870030089,815.666730781399,"BA"
