"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",202.846758487322,120.35510093197,285.338416042675,111.288315738447,294.405201236198,100.845690250737,304.847826723908,88.2717762988312,317.421740675814,46.8495863849546,358.84393058969,"MG"
"Mar 2019",325.117755138929,242.556001366773,407.679508911085,233.48151179005,416.753998487808,223.030012816683,427.205497461176,210.445414344371,439.790095933487,168.988026461503,481.247483816355,"MG"
"Apr 2019",733.876601522497,646.79794310639,820.955259938603,637.226993580141,830.526209464853,626.203699288818,841.549503756175,612.930604888493,854.822598156501,569.205107871571,898.548095173423,"MG"
"May 2019",721.551764673286,631.8765833217,811.226946024871,622.020245958623,821.083283387948,610.668257622484,832.435271724087,596.999384340604,846.104145005967,551.970074679634,891.133454666937,"MG"
"Jun 2019",547.180273728993,454.551653045688,639.808894412299,444.370698614699,649.989848843288,432.644834158771,661.715713299216,418.525778481243,675.834768976744,372.013434916929,722.347112541058,"MG"
"Jul 2019",541.32488515617,445.954893747679,636.694876564662,435.472631036099,647.177139276242,423.399736242141,659.2500340702,408.862823042649,673.786947269692,360.973933265443,721.675837046898,"MG"
"Aug 2019",384.059229713814,285.992418080181,482.126041347447,275.213743702118,492.90471572551,262.799458221472,505.319001206156,247.85147817644,520.266981251188,198.608412682078,569.51004674555,"MG"
"Sep 2019",234.569313414506,133.883485225097,335.255141603915,122.816950701739,346.321676127272,110.071123707096,359.067503121916,94.7239361568819,374.414690672129,44.1657631186071,424.972863710404,"MG"
"Oct 2019",185.551106191271,82.3225366899232,288.779675692619,70.9765255508538,300.125686831688,57.9088127313934,313.193399651149,42.1740440438166,328.928168338726,0,380.763148228097,"MG"
"Nov 2019",150.409417494209,44.6591867410594,256.159648247359,33.03601592817,267.782819060249,19.6490858103813,281.169749178037,3.52994914505192,297.288885843367,0,350.390087486138,"MG"
"Dec 2019",161.800113326294,53.7511602333892,269.849066419198,41.87533330603,281.724893346557,28.197407744512,295.402818908075,11.7278848976466,311.872341754941,0,366.127819067984,"MG"
