"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",1780.3833797891,1395.04856126345,2165.71819831474,1352.69581759586,2208.07094198234,1303.91625228602,2256.85050729218,1245.18101778593,2315.58574179227,1051.68979083746,2509.07696874074,"MT"
"Mar 2019",3752.07101870323,3354.09027749397,4150.0517599125,3310.34760097808,4193.79443642839,3259.96718731042,4244.17485009605,3199.30437918193,4304.83765822454,2999.46315483298,4504.67888257348,"MT"
"Apr 2019",3631.19424274902,3231.89409434078,4030.49439115727,3188.00639974657,4074.38208575148,3137.45896221671,4124.92952328134,3076.59504147782,4185.79344402023,2876.0912927332,4386.29719276485,"MT"
"May 2019",4193.58181295621,3794.06000061447,4593.10362529795,3750.14794259577,4637.01568331665,3699.57244461095,4687.59118130148,3638.67473641635,4748.48888949607,3438.05968180369,4949.10394410873,"MT"
"Jun 2019",2980.50507631417,2580.93732197527,3380.07283065306,2537.02021440088,3423.98993822746,2486.43890061497,3474.57125201336,2425.53418964293,3535.4759629854,2224.89606581107,3736.11408681727,"MT"
"Jul 2019",2120.01358268214,1720.43548100094,2519.59168436335,1676.5172361342,2563.50992923009,1625.93461247742,2614.09255288687,1565.02832429629,2674.998841068,1364.3850046714,2875.64216069288,"MT"
"Aug 2019",1155.91861334137,756.337020505209,1555.50020617754,712.418391920251,1599.4188347625,661.835326317881,1650.00190036487,600.92850599225,1710.9087206905,400.283433326052,1911.5537933567,"MT"
"Sep 2019",717.78239157165,318.194710667147,1117.37007247615,274.275412933217,1161.28937021008,223.691576641791,1211.87320650151,162.783828333262,1272.78095481004,0,1473.42908452625,"MT"
"Oct 2019",523.081032189896,123.468478301564,922.693586078228,79.5464467396541,966.615617640137,28.9594617752282,1017.20260260456,0,1078.11414221475,0,1278.7747615995,"MT"
"Nov 2019",462.009043931744,62.2907073742808,861.727380489207,18.3570490762061,905.661038787282,0,956.261414788202,0,1017.18907847953,0,1217.90281535446,"MT"
"Dec 2019",422.98903475661,22.8990700917668,823.078999421453,0,867.053503937453,0,917.700924370029,0,978.685234029962,0,1179.58557947232,"MT"
