"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",859.042743948652,589.61660265178,1128.46888524552,560.003560302386,1158.08192759492,525.896883657246,1192.18860424006,484.829202179423,1233.25628571788,349.540118127823,1368.54536976948,"PR"
"Mar 2019",1754.28926958886,1440.91296744549,2067.66557173224,1406.46929519454,2102.10924398319,1366.79896419396,2141.77957498377,1319.03211389067,2189.54642528706,1161.67398718336,2346.90455199437,"PR"
"Apr 2019",2169.35639514605,1838.43826314643,2500.27452714567,1802.06654134573,2536.64624894638,1760.17558870914,2578.53720158296,1709.73489882366,2628.97789146844,1543.56835403778,2795.14443625433,"PR"
"May 2019",1694.07726425863,1353.64703528999,2034.50749322728,1316.2298242542,2071.92470426307,1273.13473450613,2115.01979401114,1221.24414905139,2166.91037946588,1050.30121961271,2337.85330890455,"PR"
"Jun 2019",2034.39895845232,1687.449538232,2381.34837867264,1649.3157928403,2419.48212406434,1605.39543815343,2463.40247875121,1552.51115524777,2516.28676165687,1378.29469262872,2690.50322427592,"PR"
"Jul 2019",1661.44891392869,1309.25213423859,2013.6456936188,1270.5416434819,2052.35618437549,1225.9570251426,2096.94080271479,1172.27290564252,2150.62492221487,995.421544817451,2327.47628303994,"PR"
"Aug 2019",1557.23844463165,1200.38834498892,1914.08854427438,1161.16640066593,1953.31048859737,1115.99271818391,1998.48417107939,1061.5993094489,2052.8775798144,882.411340189483,2232.06554907381,"PR"
"Sep 2019",1253.28813872126,892.085292605504,1614.49098483702,852.384931210499,1654.19134623202,806.660234206432,1699.91604323609,751.603351597479,1754.97292584504,570.229703247644,1936.34657419488,"PR"
"Oct 2019",1170.71668959921,805.326679818055,1536.10669938037,765.166100812573,1576.26727838585,718.911350427239,1622.52202877119,663.216233150787,1678.21714604764,479.74005111829,1861.69332808013,"PR"
"Nov 2019",1318.86003542756,949.383571677845,1688.33649917728,908.773844219851,1728.94622663527,862.001789301779,1775.71828155334,805.683788183593,1832.03628267153,620.155642626829,2017.56442822829,"PR"
"Dec 2019",1046.76878474563,673.273888672111,1420.26368081916,632.222489125395,1461.31508036587,584.941740540002,1508.59582895127,528.011223880748,1565.52634561052,340.465271047398,1753.07229844387,"PR"
