"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",181.934905360745,111.657698141287,252.212112580203,103.933422005461,259.936388716028,95.0370247567753,268.832785964714,84.324916617055,279.544894104435,49.0360654734359,314.833745248054,"SC"
"Mar 2019",217.751546119714,136.090738051915,299.412354187513,127.115272805828,308.3878194336,116.777824620797,318.725267618631,104.330554141372,331.172538098056,63.3255652667664,372.177526972662,"SC"
"Apr 2019",397.016103978216,299.510004948857,494.522203007575,288.792959357134,505.239248599298,276.449654529637,517.582553426794,261.587141939701,532.445066016731,212.625631510053,581.406576446379,"SC"
"May 2019",453.201924558355,344.274386786861,562.129462329849,332.301993263664,574.101855853045,318.51284759784,587.89100151887,301.909405170796,604.494443945914,247.212757168612,659.191091948098,"SC"
"Jun 2019",391.194052246988,271.140886342392,511.247218151584,257.945657887576,524.4424466064,242.748118071936,539.63998642204,224.448835181113,557.939269312863,164.165587332378,618.222517161598,"SC"
"Jul 2019",397.913862823291,267.980062142812,527.84766350377,253.698837894683,542.128887751899,237.250507737291,558.577217909292,217.445154352263,578.382571294319,152.200465040413,643.62726060617,"SC"
"Aug 2019",401.472273066945,262.247795170382,540.696750963508,246.945418273404,555.999127860486,229.320980548653,573.623565585237,208.099481830486,594.845064303404,138.189591121574,664.754955012316,"SC"
"Sep 2019",364.082939539559,216.18673991416,511.979139164957,199.931240719687,528.23463835943,181.209049051914,546.956830027204,158.665750214018,569.500128865099,84.4014591332736,643.764419945843,"SC"
"Oct 2019",310.610574577905,154.522467097084,466.698682058726,137.366582687288,483.854566468522,117.607376752871,503.613772402939,93.8154141406189,527.405735015191,15.4376554317492,605.783493724061,"SC"
"Nov 2019",311.126692538404,147.226655776151,475.026729300658,129.21215018161,493.041234895198,108.464031498438,513.789353578371,83.4813239127656,538.772061164042,1.18089922919268,621.072485847616,"SC"
"Dec 2019",246.111457313477,74.8399077435665,417.383006883387,56.0151878175531,436.207726809401,34.3339087420511,457.889005884903,8.22758732092373,483.99532730603,0,569.997268149179,"SC"
