"","Point Forecast","Lo 70","Hi 70","Lo 75","Hi 75","Lo 80","Hi 80","Lo 85","Hi 85","Lo 95","Hi 95","State"
"Feb 2019",46.5964045074258,0,113.530302380057,0,120.887110233859,0,129.360277686549,0,139.562776912018,0,173.172825631135,"TO"
"Mar 2019",200.158972268676,105.500146116363,294.817798420989,95.0960486739262,305.221895863426,83.1131803462826,317.204764191069,68.6846675717765,331.633276965575,21.1528808420128,379.165063695339,"TO"
"Apr 2019",418.186401434871,302.25348957545,534.119313294292,289.51112459165,546.861678278092,274.835168063133,561.537634806608,257.163921041141,579.208881828601,198.949609017076,637.423193852666,"TO"
"May 2019",549.752516209784,415.884720473432,683.620311946135,401.171104766809,698.333927652759,384.224769862555,715.280262557012,363.819771412976,735.685261006591,296.599673979216,802.905358440351,"TO"
"Jun 2019",385.093996140123,235.425250512573,534.762741767672,218.974928055683,551.213064224563,200.028349648586,570.159642631659,177.214867842287,592.973124437958,102.060514186634,668.127478093611,"TO"
"Jul 2019",362.953623541351,198.999727279864,526.907519802838,180.979301904771,544.927945177931,160.224365143309,565.682881939393,135.233447943126,590.673799139576,52.9059783622628,673.001268720439,"TO"
"Aug 2019",324.885728377013,147.795280356859,501.976176397166,128.330996335824,521.440460418202,105.913102442925,543.858354311101,78.9198267457346,570.851630008291,0,659.775460456262,"TO"
"Sep 2019",153.949302688459,0,343.266954954611,0,364.075149835256,0,388.040886485672,0,416.89791202882,0,511.961485469028,"TO"
"Oct 2019",166.882652839593,0,367.684346403077,0,389.754769958501,0,415.174272309685,0,445.781769977798,0,546.611916107828,"TO"
"Nov 2019",108.169329621939,0,319.832899503581,0,343.097168622228,0,369.891676760006,0,402.154812128077,0,508.439118315079,"TO"
"Dec 2019",89.2400382481399,0,311.234663162063,0,335.634434458458,0,363.736751674053,0,397.574613515783,0,509.046534259696,"TO"
