Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.998,46.998,46.998,2012,3,1.7953,6.3125,280.69
2012,4,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2063.59,2063.59,2063.59,2012,4,1.8522,6.3043,274.0
2012,5,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4378.401,4378.401,4378.401,2012,5,1.9809999999999999,6.3242,269.28
2012,6,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4378.401,4378.401,4378.401,2012,6,2.0482,6.3633,267.31
2012,7,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5301.844,5301.844,5301.844,2012,7,2.0296,6.3717,333.05
2012,8,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7316.629,7316.629,7316.629,2012,8,2.0279,6.3593,331.99
2012,9,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,0.0,8528.872,8575.87,8575.87,2012,9,2.0269,6.32,320.85
2012,10,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,0.0,6512.28,8575.87,8575.87,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,0.0,4197.469,8575.87,8575.87,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,0.0,4197.469,8528.872,8575.87,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,0.0,3274.026,6512.28,8575.87,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,0.0,1259.241,4197.469,8575.87,2013,2,1.9729,6.2323,302.74
2013,3,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,46.998000000000005,832.201,5029.67,9361.073,2013,3,1.9842,6.2154,309.04
2013,4,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2016.592,1996.17,5270.196,8508.45,2013,4,2.0011,6.1861,279.91
2013,5,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2314.811,2879.167,4138.408,7076.636,2013,5,2.0365,6.1416,295.54
2013,6,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,0.0,2879.167,2879.167,7076.636,2013,6,2.1734,6.1342,298.41
2013,7,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,923.443,3698.044,3698.044,6972.07,2013,7,2.2518,6.1343,279.51
2013,8,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,2014.785,6251.011,6251.011,7510.252,2013,8,2.3408,6.1213,238.74
2013,9,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,1259.241,6863.885,7696.086,7696.086,2013,9,2.2641,6.1198,207.41
2013,10,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,0.0,5699.916,7696.086,7696.086,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,0.0,4816.919,7696.086,7696.086,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,0.0,4816.919,6863.885,7696.086,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,0.0,3998.042,5699.916,7696.086,2014,1,2.3858,6.0509,198.06
2014,2,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,0.0,1445.075,4816.919,7696.086,2014,2,2.3792,6.0816,209.32
2014,3,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,832.201,624.767,5441.686,7488.652,2014,3,2.3251,6.1729,222.33
2014,4,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,1163.969,1746.48,5744.522,7446.396,2014,4,2.2325,6.2246,222.36
2014,5,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,882.997,2161.5,3606.575,6978.419,2014,5,2.2195,6.2379999999999995,217.3
2014,6,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,0.0,2453.38,2453.38,7270.299,2014,6,2.2359999999999998,6.2306,202.39
2014,7,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,818.877,3912.78,3912.78,7910.822,2014,7,2.2242,6.1984,182.73
2014,8,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,2552.967,7123.459,7123.459,8568.534,2014,8,2.2685,6.1541,176.42
2014,9,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,1445.075,7374.332,7999.099,7999.099,2014,9,2.3379,6.1382,163.06
2014,10,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,0.0,6252.619,7999.099,7999.099,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,0.0,5837.599,7999.099,7999.099,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,0.0,5545.719,7374.332,7999.099,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,0.0,4086.319,6252.619,7999.099,2015,1,2.6346,6.2181,174.71
2015,2,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,0.0,875.64,5837.599,7999.099,2015,2,2.8169999999999997,6.2518,173.7
2015,3,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,624.7669999999999,149.264,5694.983,7523.596,2015,3,3.1414,6.2386,174.23
2015,4,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1121.713,934.639,5020.958,7187.258,2015,4,3.0421,6.2010000000000005,172.05
2015,5,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,415.02,1625.745,2501.385,7463.344,2015,5,3.0562,6.2035,166.29
2015,6,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,291.88,1676.576,1676.576,7222.295,2015,6,3.1117,6.2052,166.72
2015,7,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,1459.4,2701.521,2701.521,6787.84,2015,7,3.2288,6.2085,179.6
2015,8,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,3210.679,5701.372,5701.372,6577.012,2015,8,3.5154,6.3383,162.59
2015,9,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,875.64,8656.484,8805.748,8805.748,2015,9,3.9032,6.3676,165.62
2015,10,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,0.0,8059.253,8993.892,8993.892,2015,10,3.8752,6.3505,171.39
2015,11,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,0.0,7368.147,8993.892,8993.892,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,0.0,7317.316,8844.628,8993.892,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,0.0,6292.371,8059.253,8993.892,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,0.0,3292.52,7368.147,8993.892,2016,2,3.9644,6.5501,159.68
2016,3,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,149.264,270.852,7400.024,8927.336,2016,3,3.698,6.5027,159.14
2016,4,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,785.375,1017.063,7309.434,9076.316,2016,4,3.5634,6.4754,164.41
2016,5,778.95,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,691.1060000000001,1796.013,5088.533,9164.16,2016,5,3.5403,6.5259,168.96
2016,6,191.43,778.95,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,50.831,1987.443,2175.587,9304.759,2016,6,3.4234,6.5892,179.87
2016,7,1287.0610000000001,191.43,778.95,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,1024.945,3274.504,3274.504,9566.875,2016,7,3.2781,6.6771,161.76
2016,8,1665.683,1287.0610000000001,191.43,778.95,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,2999.8509999999997,4940.187,4940.187,8232.707,2016,8,3.2086,6.6466,150.15
2016,9,1441.0339999999999,1665.683,1287.0610000000001,191.43,778.95,934.355,82.708,0.0,0.0,0.0,0.0,188.144,3104.3759999999997,6298.513,6381.221,6569.365,2016,9,3.2532,6.6702,148.43
