Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.636,456.636,456.636,2012,3,1.7953,6.3125,280.69
2012,4,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4973.589,4973.589,4973.589,2012,4,1.8522,6.3043,274.0
2012,5,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7284.192,7284.192,7284.192,2012,5,1.9809999999999999,6.3242,269.28
2012,6,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414.986,7414.986,7414.986,2012,6,2.0482,6.3633,267.31
2012,7,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7545.78,7545.78,7545.78,2012,7,2.0296,6.3717,333.05
2012,8,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7676.574,7676.574,7676.574,2012,8,2.0279,6.3593,331.99
2012,9,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,0.0,7350.732,7807.368,7807.368,2012,9,2.0269,6.32,320.85
2012,10,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,0.0,2833.779,7807.368,7807.368,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,0.0,523.176,7807.368,7807.368,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,0.0,392.382,7350.732,7807.368,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,0.0,261.588,2833.779,7807.368,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,0.0,130.794,523.176,7807.368,2013,2,1.9729,6.2323,302.74
2013,3,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,456.63599999999997,823.76,1216.142,8174.492,2013,3,1.9842,6.2154,309.04
2013,4,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,4516.9529999999995,6834.411,7095.999,9668.19,2013,4,2.0011,6.1861,279.91
2013,5,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,2310.603,6834.411,6965.205,7357.587,2013,5,2.0365,6.1416,295.54
2013,6,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,130.79399999999998,6988.851,6988.851,7381.233,2013,6,2.1734,6.1342,298.41
2013,7,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,130.79399999999998,7143.291,7143.291,7404.879,2013,7,2.2518,6.1343,279.51
2013,8,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,130.79399999999998,7297.731,7297.731,7428.525,2013,8,2.3408,6.1213,238.74
2013,9,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,130.79399999999998,6628.411,7452.171,7452.171,2013,9,2.2641,6.1198,207.41
2013,10,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,0.0,617.76,7452.171,7452.171,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,0.0,617.76,7452.171,7452.171,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,0.0,463.32,6628.411,7452.171,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,0.0,308.88,617.76,7452.171,2014,1,2.3858,6.0509,198.06
2014,2,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,0.0,353.903,817.223,7651.634,2014,2,2.3792,6.0816,209.32
2014,3,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,823.76,1695.574,2158.894,8323.985,2014,3,2.3251,6.1729,222.33
2014,4,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,6010.651,4881.158,5190.038,5498.918,2014,4,2.2325,6.2246,222.36
2014,5,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,0.0,5742.539,5896.979,6360.299,2014,5,2.2195,6.2379999999999995,217.3
2014,6,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,154.44,6042.644,6042.644,6505.964,2014,6,2.2359999999999998,6.2306,202.39
2014,7,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,154.44,6342.749,6342.749,6651.629,2014,7,2.2242,6.1984,182.73
2014,8,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,154.44,6443.391,6642.854,6797.294,2014,8,2.2685,6.1541,176.42
2014,9,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,154.44,5247.385,6942.959,6942.959,2014,9,2.3379,6.1382,163.06
2014,10,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,0.0,2061.801,6942.959,6942.959,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,0.0,1200.42,6743.496,6942.959,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,0.0,900.315,5247.385,6942.959,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,0.0,600.21,2061.801,6942.959,2015,1,2.6346,6.2181,174.71
2015,2,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,199.463,319.948,1220.263,6763.339,2015,2,2.8169999999999997,6.2518,173.7
2015,3,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,1496.111,1020.01,1920.325,6267.395,2015,3,3.1414,6.2386,174.23
2015,4,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3185.5840000000003,2482.058,3082.268,4543.859,2015,4,3.0421,6.2010000000000005,172.05
2015,5,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,861.3810000000001,3742.607,4042.712,4943.027,2015,5,3.0562,6.2035,166.29
2015,6,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,300.105,5758.007,5758.007,6658.322,2015,6,3.1117,6.2052,166.72
2015,7,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,300.105,6162.054,6162.054,6762.264,2015,7,3.2288,6.2085,179.6
2015,8,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,300.105,6493.43,6513.273,6813.378,2015,8,3.5154,6.3383,162.59
2015,9,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,300.105,5844.482,6864.492,6864.492,2015,9,3.9032,6.3676,165.62
2015,10,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,0.0,4382.434,6864.492,6864.492,2015,10,3.8752,6.3505,171.39
2015,11,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,0.0,3121.885,6844.649,6864.492,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,0.0,1106.485,5844.482,6864.492,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,0.0,702.438,4382.434,6864.492,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,19.843,351.219,3121.885,6844.649,2016,2,3.9644,6.5501,159.68
2016,3,264.77099999999996,0.0,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,1000.1669999999999,264.771,1371.256,6109.253,2016,3,3.698,6.5027,159.14
2016,4,2488.748,264.77099999999996,0.0,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,1462.0479999999998,2753.519,3455.957,7135.953,2016,4,3.5634,6.4754,164.41
2016,5,2239.9,2488.748,264.77099999999996,0.0,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,1260.549,4993.419,5344.638,8115.304,2016,5,3.5403,6.5259,168.96
2016,6,316.33299999999997,2239.9,2488.748,264.77099999999996,0.0,0.0,0.0,0.0,0.0,351.219,351.219,404.04699999999997,2015.4,5309.752,5309.752,6416.237,2016,6,3.4234,6.5892,179.87
