Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.12,146.12,146.12,2012,3,1.7953,6.3125,280.69
2012,4,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.24,292.24,292.24,2012,4,1.8522,6.3043,274.0
2012,5,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.36,438.36,438.36,2012,5,1.9809999999999999,6.3242,269.28
2012,6,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.48,584.48,584.48,2012,6,2.0482,6.3633,267.31
2012,7,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3836.079,3836.079,3836.079,2012,7,2.0296,6.3717,333.05
2012,8,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10952.332,10952.332,10952.332,2012,8,2.0279,6.3593,331.99
2012,9,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,0.0,15464.231,15610.351,15610.351,2012,9,2.0269,6.32,320.85
2012,10,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,0.0,15318.111,15610.351,15610.351,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,0.0,15171.991,15610.351,15610.351,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,0.0,15025.871,15464.231,15610.351,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,0.0,11774.272,15318.111,15610.351,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,0.0,4658.019,15171.991,15610.351,2013,2,1.9729,6.2323,302.74
2013,3,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,146.12,133.794,15159.665,15598.025,2013,3,1.9842,6.2154,309.04
2013,4,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,146.12,267.588,12041.86,15585.699,2013,4,2.0011,6.1861,279.91
2013,5,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,146.12,401.382,5059.401,15573.373,2013,5,2.0365,6.1416,295.54
2013,6,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,146.12,535.176,535.176,15561.047,2013,6,2.1734,6.1342,298.41
2013,7,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,3251.599,4702.91,4702.91,16477.182,2013,7,2.2518,6.1343,279.51
2013,8,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,7116.253000000001,17842.984,17842.984,22501.003,2013,8,2.3408,6.1213,238.74
2013,9,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,4658.019,19759.182,19892.976,19892.976,2013,9,2.2641,6.1198,207.41
2013,10,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,0.0,19625.388,19892.976,19892.976,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,0.0,19491.594,19892.976,19892.976,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,0.0,19357.8,19759.182,19892.976,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,0.0,15190.066,19625.388,19892.976,2014,1,2.3858,6.0509,198.06
2014,2,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,0.0,2049.992,19491.594,19892.976,2014,2,2.3792,6.0816,209.32
2014,3,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,133.79399999999998,105.554,19463.354,19864.736,2014,3,2.3251,6.1729,222.33
2014,4,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,133.79399999999998,211.108,15401.174,19836.496,2014,4,2.2325,6.2246,222.36
2014,5,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,133.79399999999998,316.662,2366.654,19808.256,2014,5,2.2195,6.2379999999999995,217.3
2014,6,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,133.79399999999998,422.216,422.216,19780.016,2014,6,2.2359999999999998,6.2306,202.39
2014,7,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,4167.734,3662.071,3662.071,18852.137,2014,7,2.2242,6.1984,182.73
2014,8,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,13140.073999999999,15561.659,15561.659,17611.651,2014,8,2.2685,6.1541,176.42
2014,9,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,2049.992,17943.864,18049.418,18049.418,2014,9,2.3379,6.1382,163.06
2014,10,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,0.0,17838.31,18049.418,18049.418,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,0.0,17732.756,18049.418,18049.418,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,0.0,17627.202,17943.864,18049.418,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,0.0,14387.347,17838.31,18049.418,2015,1,2.6346,6.2181,174.71
2015,2,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,0.0,2487.759,17732.756,18049.418,2015,2,2.8169999999999997,6.2518,173.7
2015,3,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,105.554,114.559,17741.761,18058.423,2015,3,3.1414,6.2386,174.23
2015,4,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,105.554,229.118,14616.465,18067.428,2015,4,3.0421,6.2010000000000005,172.05
2015,5,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,105.554,343.677,2831.436,18076.433,2015,5,3.0562,6.2035,166.29
2015,6,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,105.554,513.669,513.669,18140.871,2015,6,3.1117,6.2052,166.72
2015,7,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,3239.855,4685.771,4685.771,19073.118,2015,7,3.2288,6.2085,179.6
2015,8,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,11899.588,16345.403,16345.403,18833.162,2015,8,3.5154,6.3383,162.59
2015,9,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,2487.759,20619.964,20734.523,20734.523,2015,9,3.9032,6.3676,165.62
2015,10,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,0.0,20534.283,20763.401,20763.401,2015,10,3.8752,6.3505,171.39
2015,11,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,0.0,20419.724,20763.401,20763.401,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,0.0,20249.732,20648.842,20763.401,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,0.0,16077.63,20534.283,20763.401,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,0.0,4417.998,20419.724,20763.401,2016,2,3.9644,6.5501,159.68
2016,3,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,114.559,78.732,20299.586,20698.696,2016,3,3.698,6.5027,159.14
2016,4,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,114.559,99.708,16177.338,20633.991,2016,4,3.5634,6.4754,164.41
2016,5,49.854,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,114.559,149.562,4567.56,20569.286,2016,5,3.5403,6.5259,168.96
2016,6,307.284,49.854,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,169.99200000000002,456.846,485.724,20706.578,2016,6,3.4234,6.5892,179.87
2016,7,5439.738,307.284,49.854,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,4172.102,5896.584,5896.584,21974.214,2016,7,3.2781,6.6771,161.76
2016,8,10142.666,5439.738,307.284,49.854,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,11659.632,16039.25,16039.25,20457.248,2016,8,3.2086,6.6466,150.15
2016,9,1505.5520000000001,10142.666,5439.738,307.284,49.854,49.854,49.854,0.0,0.0,0.0,0.0,28.878,4389.12,17494.948,17544.802,17573.68,2016,9,3.2532,6.6702,148.43
