Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831.137,1831.137,1831.137,2012,3,1.7953,6.3125,280.69
2012,4,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4796.326,4796.326,4796.326,2012,4,1.8522,6.3043,274.0
2012,5,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6578.944,6578.944,6578.944,2012,5,1.9809999999999999,6.3242,269.28
2012,6,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6578.944,6578.944,6578.944,2012,6,2.0482,6.3633,267.31
2012,7,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7387.089,7387.089,7387.089,2012,7,2.0296,6.3717,333.05
2012,8,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12299.065,12299.065,12299.065,2012,8,2.0279,6.3593,331.99
2012,9,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,0.0,14925.959,16757.096,16757.096,2012,9,2.0269,6.32,320.85
2012,10,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,0.0,11960.77,16757.096,16757.096,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,0.0,10178.152,16757.096,16757.096,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,0.0,10178.152,14925.959,16757.096,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,0.0,9370.007,11960.77,16757.096,2013,1,2.0281,6.2215,303.13
2013,2,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,0.0,4894.1,10614.221,17193.165,2013,2,1.9729,6.2323,302.74
2013,3,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,1831.1370000000002,3053.149,13231.301,17979.108,2013,3,1.9842,6.2154,309.04
2013,4,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,2965.1890000000003,6871.909,16241.916,18832.679,2013,4,2.0011,6.1861,279.91
2013,5,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,1782.618,7156.515,11614.546,17334.667,2013,5,2.0365,6.1416,295.54
2013,6,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,0.0,7156.515,7156.515,17334.667,2013,6,2.1734,6.1342,298.41
2013,7,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,808.145,7819.225,7819.225,17189.232,2013,7,2.2518,6.1343,279.51
2013,8,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,4911.976,12676.445,13112.514,17570.545,2013,8,2.3408,6.1213,238.74
2013,9,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,4458.031,14589.279,17642.428,17642.428,2013,9,2.2641,6.1198,207.41
2013,10,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,0.0,10770.519,17642.428,17642.428,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,0.0,10485.913,17206.359,17642.428,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,0.0,10485.913,14589.279,17642.428,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,0.0,9823.203,10770.519,17642.428,2014,1,2.3858,6.0509,198.06
2014,2,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,436.069,4702.802,10658.801,17379.247,2014,2,2.3792,6.0816,209.32
2014,3,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,2617.08,2909.811,13395.724,17499.09,2014,3,2.3251,6.1729,222.33
2014,4,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,3818.76,5113.849,14937.052,15884.368,2014,4,2.2325,6.2246,222.36
2014,5,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,284.606,5425.371,9955.285,15911.284,2014,5,2.2195,6.2379999999999995,217.3
2014,6,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,0.0,5425.371,5425.371,15911.284,2014,6,2.2359999999999998,6.2306,202.39
2014,7,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,662.71,7155.091,7155.091,16978.294,2014,7,2.2242,6.1984,182.73
2014,8,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,5293.289000000001,11316.397,11489.285,16019.199,2014,8,2.2685,6.1541,176.42
2014,9,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,4529.914000000001,12761.95,15671.761,15671.761,2014,9,2.3379,6.1382,163.06
2014,10,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,0.0,10557.912,15671.761,15671.761,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,0.0,10246.39,15498.873,15671.761,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,0.0,10246.39,12761.95,15671.761,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,0.0,8516.67,10557.912,15671.761,2015,1,2.6346,6.2181,174.71
2015,2,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,172.888,4392.145,10456.059,15708.542,2015,2,2.8169999999999997,6.2518,173.7
2015,3,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,2736.923,1443.84,11690.23,14205.79,2015,3,3.1414,6.2386,174.23
2015,4,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,2204.038,3622.64,12139.31,14180.552,2015,4,3.0421,6.2010000000000005,172.05
2015,5,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,311.522,4683.402,8865.878,14929.792,2015,5,3.0562,6.2035,166.29
2015,6,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,0.0,4745.001,4745.001,14991.391,2015,6,3.1117,6.2052,166.72
2015,7,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,1729.72,6889.567,6889.567,15406.237,2015,7,3.2288,6.2085,179.6
2015,8,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,4334.194,9086.847,9296.516,13478.992,2015,8,3.5154,6.3383,162.59
2015,9,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,4182.476,13017.666,14461.506,14461.506,2015,9,3.9032,6.3676,165.62
2015,10,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,0.0,12240.274,15862.914,15862.914,2015,10,3.8752,6.3505,171.39
2015,11,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,0.0,11179.512,15653.245,15862.914,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,0.0,11117.913,14419.074,15862.914,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,0.0,8973.347,12240.274,15862.914,2016,1,4.0556,6.5726,161.03
2016,2,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,209.669,6781.563,11394.677,15868.41,2016,2,3.9644,6.5501,159.68
2016,3,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,1234.171,2901.746,12618.251,15919.412,2016,3,3.698,6.5027,159.14
2016,4,1561.651,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,2178.8,3061.989,12035.336,15302.263,2016,4,3.5634,6.4754,164.41
2016,5,231.34799999999998,1561.651,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,1060.762,3293.337,9859.735,14472.849,2016,5,3.5403,6.5259,168.96
2016,6,59.638000000000005,231.34799999999998,1561.651,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,61.599,3352.975,4754.383,14470.888,2016,6,3.4234,6.5892,179.87
2016,7,2811.8579999999997,59.638000000000005,231.34799999999998,1561.651,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,2144.5660000000003,6164.833,6164.833,15138.18,2016,7,3.2781,6.6771,161.76
2016,8,4536.946,2811.8579999999997,59.638000000000005,231.34799999999998,1561.651,1285.173,215.165,0.0,0.0,0.0,1401.408,5164.99,2406.949,10486.614,10701.779,17268.177,2016,8,3.2086,6.6466,150.15
