Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.668,51.668,51.668,2012,3,1.7953,6.3125,280.69
2012,4,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.336,103.336,103.336,2012,4,1.8522,6.3043,274.0
2012,5,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.004,155.004,155.004,2012,5,1.9809999999999999,6.3242,269.28
2012,6,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.437,268.437,268.437,2012,6,2.0482,6.3633,267.31
2012,7,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.202,330.202,330.202,2012,7,2.0296,6.3717,333.05
2012,8,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.967,391.967,391.967,2012,8,2.0279,6.3593,331.99
2012,9,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,0.0,402.064,453.732,453.732,2012,9,2.0269,6.32,320.85
2012,10,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,0.0,350.396,453.732,453.732,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,0.0,298.728,453.732,453.732,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,0.0,185.295,402.064,453.732,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,0.0,123.53,350.396,453.732,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,0.0,61.765,298.728,453.732,2013,2,1.9729,6.2323,302.74
2013,3,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,51.668,41.881,227.176,443.945,2013,3,1.9842,6.2154,309.04
2013,4,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,51.668,83.762,207.292,434.158,2013,4,2.0011,6.1861,279.91
2013,5,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,51.668,125.643,187.408,424.371,2013,5,2.0365,6.1416,295.54
2013,6,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,113.43299999999999,251.031,251.031,436.326,2013,6,2.1734,6.1342,298.41
2013,7,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,61.765,334.538,334.538,458.068,2013,7,2.2518,6.1343,279.51
2013,8,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,61.765,418.045,418.045,479.81,2013,8,2.3408,6.1213,238.74
2013,9,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,61.765,459.671,501.552,501.552,2013,9,2.2641,6.1198,207.41
2013,10,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,0.0,417.79,501.552,501.552,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,0.0,375.909,501.552,501.552,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,0.0,250.521,459.671,501.552,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,0.0,167.014,417.79,501.552,2014,1,2.3858,6.0509,198.06
2014,2,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,0.0,83.507,375.909,501.552,2014,2,2.3792,6.0816,209.32
2014,3,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,41.881,30.983,281.504,490.654,2014,3,2.3251,6.1729,222.33
2014,4,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,41.881,61.966,228.98,479.756,2014,4,2.2325,6.2246,222.36
2014,5,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,41.881,92.949,176.456,468.858,2014,5,2.2195,6.2379999999999995,217.3
2014,6,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,125.38799999999999,206.829,206.829,457.35,2014,6,2.2359999999999998,6.2306,202.39
2014,7,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,83.507,289.726,289.726,456.74,2014,7,2.2242,6.1984,182.73
2014,8,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,83.507,372.623,372.623,456.13,2014,8,2.2685,6.1541,176.42
2014,9,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,83.507,424.537,455.52,455.52,2014,9,2.3379,6.1382,163.06
2014,10,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,0.0,393.554,455.52,455.52,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,0.0,362.571,455.52,455.52,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,0.0,248.691,424.537,455.52,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,0.0,165.794,393.554,455.52,2015,1,2.6346,6.2181,174.71
2015,2,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,0.0,82.897,362.571,455.52,2015,2,2.8169999999999997,6.2518,173.7
2015,3,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,30.983,25.001,273.692,449.538,2015,3,3.1414,6.2386,174.23
2015,4,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,30.983,50.002,215.796,443.556,2015,4,3.0421,6.2010000000000005,172.05
2015,5,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,30.983,75.003,157.9,437.574,2015,5,3.0562,6.2035,166.29
2015,6,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,113.88,237.817,237.817,486.508,2015,6,3.1117,6.2052,166.72
2015,7,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,82.897,375.63,375.63,541.424,2015,7,3.2288,6.2085,179.6
2015,8,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,82.897,513.443,513.443,596.34,2015,8,3.5154,6.3383,162.59
2015,9,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,82.897,626.255,651.256,651.256,2015,9,3.9032,6.3676,165.62
2015,10,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,0.0,601.254,651.256,651.256,2015,10,3.8752,6.3505,171.39
2015,11,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,0.0,576.253,651.256,651.256,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,0.0,413.439,626.255,651.256,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,0.0,275.626,601.254,651.256,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,0.0,137.813,576.253,651.256,2016,2,3.9644,6.5501,159.68
2016,3,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,25.000999999999998,25.64,439.079,651.895,2016,3,3.698,6.5027,159.14
2016,4,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,25.000999999999998,51.28,326.906,652.534,2016,4,3.5634,6.4754,164.41
2016,5,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,25.000999999999998,76.92,214.733,653.173,2016,5,3.5403,6.5259,168.96
2016,6,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,162.814,240.373,240.373,653.812,2016,6,3.4234,6.5892,179.87
2016,7,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,137.813,378.186,378.186,653.812,2016,7,3.2781,6.6771,161.76
2016,8,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,137.813,515.999,515.999,653.812,2016,8,3.2086,6.6466,150.15
2016,9,137.813,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,137.813,628.172,653.812,653.812,2016,9,3.2532,6.6702,148.43
2016,10,0.0,137.813,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,0.0,602.532,653.812,653.812,2016,10,3.1854,6.7303,152.26
2016,11,0.0,0.0,137.813,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,0.0,576.892,653.812,653.812,2016,11,3.3369,6.8402,151.8
2016,12,0.0,0.0,0.0,137.813,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,0.0,413.439,628.172,653.812,2016,12,3.3539999999999996,6.9198,152.45
2017,1,0.0,0.0,0.0,0.0,137.813,137.813,137.813,163.453,25.64,25.64,25.64,0.0,0.0,275.626,602.532,653.812,2017,1,3.1901,6.8907,159.99
