Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.727,707.727,707.727,2012,3,1.7953,6.3125,280.69
2012,4,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897.04,2897.04,2897.04,2012,4,1.8522,6.3043,274.0
2012,5,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3397.09,3397.09,3397.09,2012,5,1.9809999999999999,6.3242,269.28
2012,6,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3773.128,3773.128,3773.128,2012,6,2.0482,6.3633,267.31
2012,7,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4149.166,4149.166,4149.166,2012,7,2.0296,6.3717,333.05
2012,8,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.204,4525.204,4525.204,2012,8,2.0279,6.3593,331.99
2012,9,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,0.0,4193.515,4901.242,4901.242,2012,9,2.0269,6.32,320.85
2012,10,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,0.0,2004.202,4901.242,4901.242,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,0.0,1504.152,4901.242,4901.242,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,0.0,1128.114,4193.515,4901.242,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,0.0,752.076,2004.202,4901.242,2013,1,2.0281,6.2215,303.13
2013,2,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,0.0,859.612,1987.726,5384.816,2013,2,1.9729,6.2323,302.74
2013,3,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,707.727,1677.78,2805.894,5871.295,2013,3,1.9842,6.2154,309.04
2013,4,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,2189.313,3728.4,4480.476,5732.602,2013,4,2.0011,6.1861,279.91
2013,5,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,500.05,3728.4,4104.438,5232.552,2013,5,2.0365,6.1416,295.54
2013,6,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,376.038,4084.01,4084.01,5212.124,2013,6,2.1734,6.1342,298.41
2013,7,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,376.038,4439.62,4439.62,5191.696,2013,7,2.2518,6.1343,279.51
2013,8,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,376.038,4311.656,4795.23,5171.268,2013,8,2.3408,6.1213,238.74
2013,9,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,376.038,3473.06,5150.84,5150.84,2013,9,2.2641,6.1198,207.41
2013,10,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,0.0,1422.44,5150.84,5150.84,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,0.0,1422.44,4667.266,5150.84,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,0.0,1066.83,3473.06,5150.84,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,0.0,711.22,1422.44,5150.84,2014,1,2.3858,6.0509,198.06
2014,2,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,483.574,475.594,1542.424,4787.25,2014,2,2.3792,6.0816,209.32
2014,3,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,1194.2060000000001,754.126,1820.956,4227.186,2014,3,2.3251,6.1729,222.33
2014,4,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2050.62,2172.903,2884.123,3595.343,2014,4,2.2325,6.2246,222.36
2014,5,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,0.0,2247.598,2603.208,3670.038,2014,5,2.2195,6.2379999999999995,217.3
2014,6,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,355.61,2614.339,2614.339,3681.169,2014,6,2.2359999999999998,6.2306,202.39
2014,7,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,355.61,2981.08,2981.08,3692.3,2014,7,2.2242,6.1984,182.73
2014,8,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,355.61,3227.837,3347.821,3703.431,2014,8,2.2685,6.1541,176.42
2014,9,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,355.61,2960.436,3714.562,3714.562,2014,9,2.3379,6.1382,163.06
2014,10,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,0.0,1541.659,3714.562,3714.562,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,0.0,1466.964,3594.578,3714.562,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,0.0,1100.223,2960.436,3714.562,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,0.0,733.482,1541.659,3714.562,2015,1,2.6346,6.2181,174.71
2015,2,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,119.984,504.173,1604.396,3732.01,2015,2,2.8169999999999997,6.2518,173.7
2015,3,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,634.1419999999999,1125.415,2225.638,4085.851,2015,3,3.1414,6.2386,174.23
2015,4,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,1418.777,1798.459,2531.941,3340.118,2015,4,3.0421,6.2010000000000005,172.05
2015,5,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,74.695,2312.021,2678.762,3778.985,2015,5,3.0562,6.2035,166.29
2015,6,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,366.741,2775.571,2775.571,3875.794,2015,6,3.1117,6.2052,166.72
2015,7,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,366.741,3239.121,3239.121,3972.603,2015,7,3.2288,6.2085,179.6
2015,8,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,366.741,3565.239,3702.671,4069.412,2015,8,3.5154,6.3383,162.59
2015,9,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,366.741,3040.806,4166.221,4166.221,2015,9,3.9032,6.3676,165.62
2015,10,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,0.0,2367.762,4166.221,4166.221,2015,10,3.8752,6.3505,171.39
2015,11,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,0.0,1854.2,4028.789,4166.221,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,0.0,1390.65,3040.806,4166.221,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,0.0,927.1,2367.762,4166.221,2016,1,4.0556,6.5726,161.03
2016,2,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,137.43200000000002,670.378,2061.028,4235.617,2016,2,3.9644,6.5501,159.68
2016,3,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,987.9830000000001,1360.124,2750.774,4400.93,2016,3,3.698,6.5027,159.14
2016,4,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,673.044,2357.093,3284.193,4724.855,2016,4,3.5634,6.4754,164.41
2016,5,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,513.562,2366.977,2830.527,4221.177,2016,5,3.5403,6.5259,168.96
2016,6,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,463.55,2732.367,2732.367,4123.017,2016,6,3.4234,6.5892,179.87
2016,7,365.39,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,463.55,3097.757,3097.757,4024.857,2016,7,3.2781,6.6771,161.76
2016,8,365.39,365.39,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,463.55,3256.319,3463.147,3926.697,2016,8,3.2086,6.6466,150.15
2016,9,365.39,365.39,365.39,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,463.55,2468.413,3828.537,3828.537,2016,9,3.2532,6.6702,148.43
2016,10,0.0,365.39,365.39,365.39,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,0.0,1471.444,3828.537,3828.537,2016,10,3.1854,6.7303,152.26
2016,11,0.0,0.0,365.39,365.39,365.39,365.39,9.884,996.9689999999999,1153.296,206.828,0.0,0.0,0.0,1461.56,3621.709,3828.537,2016,11,3.3369,6.8402,151.8
