"Date","Predicted Export"
"1/1/2015",109512.260141435
"2/1/2015",145650.519893301
"3/1/2015",353646.762181047
"4/1/2015",334502.974491278
"5/1/2015",300205.475991625
"6/1/2015",406011.155010659
"7/1/2015",426719.234110044
"8/1/2015",313138.937199039
"9/1/2015",248392.743666561
"10/1/2015",286677.343155288
"11/1/2015",130872.641133284
"12/1/2015",242334.459592316
"1/1/2016",197659.68391568
"2/1/2016",196834.664006301
"3/1/2016",343780.746947426
"4/1/2016",367627.525746173
"5/1/2016",396833.064090879
"6/1/2016",408595.853002511
"7/1/2016",437806.738457783
"8/1/2016",285133.056837839
"9/1/2016",226992.982915796
"10/1/2016",206834.520485792
"11/1/2016",217347.924520731
"12/1/2016",317579.241386952
"1/1/2017",218329.58966351
"2/1/2017",197316.232183917
"3/1/2017",337563.092209081
"4/1/2017",335661.686271853
"5/1/2017",328032.717105312
"6/1/2017",320514.232237195
"7/1/2017",348998.513519631
"8/1/2017",258626.824664283
"9/1/2017",227819.143364255
"10/1/2017",245892.960584989
"11/1/2017",175524.534963429
"12/1/2017",212621.362103037
"1/1/2018",180755.699448463
"2/1/2018",246934.504882929
"3/1/2018",338488.557993094
"4/1/2018",364058.558906568
"5/1/2018",320667.854273788
"6/1/2018",410566.205762993
"7/1/2018",369110.329762009
"8/1/2018",244539.542744783
"9/1/2018",146897.663440486
"10/1/2018",243669.939168543
"11/1/2018",169602.337103868
"12/1/2018",309457.904004553
"1/1/2019",215593.348687761
"2/1/2019",188287.001334111
"3/1/2019",365963.619197788
"4/1/2019",419757.696902508
"5/1/2019",349456.474602885
"6/1/2019",311044.106727589
"7/1/2019",391072.588070188
"8/1/2019",348982.486872269
"9/1/2019",258332.705674089
"10/1/2019",264325.229352798
"11/1/2019",240691.975434481
"12/1/2019",296267.107343623
