Ano,Mes,Estado,UF.1,Produção Med (Kt)
2012,1,ACRE,AC,0.0
2012,1,ALAGOAS,AL,0.0
2012,1,AMAZONAS,AM,0.0
2012,1,AMAPÁ,AP,0.0
2012,1,BAHIA,BA,0.0
2012,1,CEARÁ,CE,0.0
2012,1,DISTRITO FEDERAL,DF,0.0
2012,1,ESPÍRITO SANTO,ES,0.0
2012,1,GOIÁS,GO,768.42
2012,1,MARANHÃO,MA,0.0
2012,1,MINAS GERAIS,MG,0.0
2012,1,MATO GROSSO DO SUL,MS,0.0
2012,1,MATO GROSSO,MT,5493.633000000001
2012,1,PARÁ,PA,0.0
2012,1,PARAÍBA,PB,0.0
2012,1,PERNAMBUCO,PE,0.0
2012,1,PIAUÍ,PI,0.0
2012,1,PARANÁ,PR,1682.64
2012,1,RIO DE JANEIRO,RJ,0.0
2012,1,RIO GRANDE DO NORTE,RN,0.0
2012,1,RONDÔNIA,RO,18.489
2012,1,RORAIMA,RR,0.0
2012,1,RIO GRANDE DO SUL,RS,0.0
2012,1,SANTA CATARINA,SC,0.0
2012,1,SERGIPE,SE,0.0
2012,1,SÃO PAULO,SP,0.0
2012,1,TOCANTINS,TO,0.0
2012,2,ACRE,AC,0.0
2012,2,ALAGOAS,AL,0.0
2012,2,AMAZONAS,AM,0.0
2012,2,AMAPÁ,AP,0.0
2012,2,BAHIA,BA,0.0
2012,2,CEARÁ,CE,0.0
2012,2,DISTRITO FEDERAL,DF,0.0
2012,2,ESPÍRITO SANTO,ES,0.0
2012,2,GOIÁS,GO,3799.1169999999997
2012,2,MARANHÃO,MA,0.0
2012,2,MINAS GERAIS,MG,394.49
2012,2,MATO GROSSO DO SUL,MS,2998.544
2012,2,MATO GROSSO,MT,9954.486
2012,2,PARÁ,PA,0.0
2012,2,PARAÍBA,PB,0.0
2012,2,PERNAMBUCO,PE,0.0
2012,2,PIAUÍ,PI,0.0
2012,2,PARANÁ,PR,2470.212
2012,2,RIO DE JANEIRO,RJ,0.0
2012,2,RIO GRANDE DO NORTE,RN,0.0
2012,2,RONDÔNIA,RO,235.729
2012,2,RORAIMA,RR,0.0
2012,2,RIO GRANDE DO SUL,RS,59.201
2012,2,SANTA CATARINA,SC,16.885
2012,2,SERGIPE,SE,0.0
2012,2,SÃO PAULO,SP,194.782
2012,2,TOCANTINS,TO,0.0
2012,3,ACRE,AC,0.0
2012,3,ALAGOAS,AL,0.0
2012,3,AMAZONAS,AM,0.0
2012,3,AMAPÁ,AP,0.0
