Macrotrends Data Download

CBOT Soybean Meal Futures #1 (SM1)

All contracts are Front Month | Calendar-Weighted Adjusted Prices,
Roll on First of Month | Continuous Contract History.

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1963-03-15,62.0000
1963-03-18,60.5000
1963-03-19,60.3000
1963-03-20,59.9000
1963-03-21,60.2000
1963-03-22,60.2500
1963-03-25,60.1000
1963-03-26,59.6500
1963-03-27,59.4000
1963-03-28,60.0000
1963-03-29,59.9000
1963-04-01,59.4000
1963-04-02,59.2500
1963-04-03,59.5000
1963-04-04,59.4000
1963-04-05,59.5000
1963-04-08,59.5000
1963-04-09,59.5000
1963-04-10,59.6000
1963-04-11,60.0000
1963-04-15,60.1000
1963-04-16,60.2500
1963-04-17,60.1500
1963-04-18,60.5000
1963-04-19,60.7000
1963-04-22,60.6000
1963-04-23,61.1500
1963-04-24,61.2500
1963-04-25,62.2000
1963-04-26,61.7000
1963-04-29,61.7500
1963-04-30,61.5000
1963-05-01,61.4500
1963-05-02,61.4500
1963-05-03,61.9000
1963-05-06,62.2500
1963-05-07,62.6500
1963-05-08,62.6000
1963-05-09,63.3000
1963-05-10,63.2500
1963-05-13,62.9500
1963-05-14,62.4500
1963-05-15,62.2500
1963-05-16,62.0000
1963-05-17,61.7000
1963-05-20,61.9000
1963-05-21,61.8500
1963-05-22,62.4000
1963-05-23,62.6500
1963-05-24,62.7500
1963-05-27,62.3000
1963-05-28,62.7000
1963-05-29,62.6500
1963-05-31,62.9000
1963-06-03,63.5000
1963-06-04,63.3000
1963-06-05,63.1000
1963-06-06,63.5000
1963-06-07,63.5000
1963-06-10,63.6000
1963-06-11,63.9000
1963-06-12,65.2000
1963-06-13,65.2500
1963-06-14,65.7500
1963-06-17,65.4000
1963-06-18,64.9000
1963-06-19,64.3000
1963-06-20,64.7000
1963-06-21,64.1500
1963-06-24,65.0000
1963-06-25,65.3000
1963-06-26,65.8000
1963-06-27,66.2500
1963-06-28,66.5000
1963-07-01,70.7000
1963-07-02,69.2500
1963-07-03,68.1500
1963-07-05,69.6500
1963-07-08,67.9500
1963-07-09,68.1000
1963-07-10,68.2500
1963-07-11,68.3500
1963-07-12,67.5500
1963-07-15,65.3000
1963-07-16,65.7500
1963-07-17,65.5000
1963-07-18,65.9000
1963-07-19,65.2500
1963-07-22,65.2000
1963-07-23,65.6000
1963-07-24,66.6000
1963-07-25,67.5000
1963-07-26,66.9500
1963-07-29,67.4000
1963-07-30,66.8000
1963-07-31,66.7000
1963-08-01,66.7000
1963-08-02,67.5500
1963-08-05,68.5000
1963-08-06,68.1000
1963-08-07,67.3500
1963-08-08,67.0000
1963-08-09,66.7500
