Ano,Mes,Estado_Consumption,Biodiesel_Consumption (m3)
2012,1,AL,952.7110543
2012,1,AM,41.59597113
2012,1,BA,16362.90069
2012,1,CE,2517.532531
2012,1,DF,9055.63358
2012,1,ES,4940.462676
2012,1,GO,9336.177813
2012,1,MA,16452.83075
2012,1,MG,23264.12401
2012,1,MS,784.3898501
2012,1,MT,2850.519309
2012,1,PA,3691.473039
2012,1,PB,1258.950127
2012,1,PE,7300.175304
2012,1,PI,283.9379785
2012,1,PR,2631.975129
2012,1,RJ,3709.509002
2012,1,RN,3248.911808
2012,1,RO,313.6431846
2012,1,RR,0
2012,1,RS,40854.83675
2012,1,SC,3415.246224
2012,1,SE,1386.911225
2012,1,SP,37569.24245
2012,1,TO,52.24854394
2012,2,AL,706.4543221
2012,2,AM,0
2012,2,BA,16223.78
2012,2,CE,1916.128917
2012,2,DF,16251.61674
2012,2,ES,5032.254804
2012,2,GO,11466.55264
2012,2,MA,9406.883022
2012,2,MG,26546.93381
2012,2,MS,1162.786606
2012,2,MT,3341.953282
2012,2,PA,5792.207294
2012,2,PB,1327.037241
2012,2,PE,6832.036273
2012,2,PI,503.6551927
2012,2,PR,4341.304521
2012,2,RJ,4053.755749
2012,2,RN,2502.223365
2012,2,RO,0
2012,2,RR,0
2012,2,RS,41476.0876
2012,2,SC,3881.396872
2012,2,SE,150.9918983
2012,2,SP,50705.32746
2012,2,TO,273.7283928
2012,3,AL,1028.08905
2012,3,AM,105.2586482
2012,3,BA,18753.18652
2012,3,CE,3634.74646
2012,3,DF,17335.38083
2012,3,ES,4008.411743
2012,3,GO,9289.983456
2012,3,MA,7971.087504
2012,3,MG,25126.96258
2012,3,MS,767.8869003
2012,3,MT,1670.605117
2012,3,PA,7685.1511
2012,3,PB,1578.004058
2012,3,PE,7285.096864
2012,3,PI,105.5224574
2012,3,PR,4698.049355
2012,3,RJ,7789.878505
2012,3,RN,3225.56413
2012,3,RO,49.62193416
2012,3,RR,0
2012,3,RS,40563.55823
2012,3,SC,4845.082415
2012,3,SE,177.4974305
2012,3,SP,51857.10606
2012,3,TO,431.4856649
2012,4,AL,664.5315343
2012,4,AM,0
2012,4,BA,16027.79016
2012,4,CE,2768.44332
2012,4,DF,12485.79228
2012,4,ES,2578.311855
2012,4,GO,9706.644436
2012,4,MA,7362.664857
2012,4,MG,21696.61856
2012,4,MS,313.0399997
2012,4,MT,3227.681525
2012,4,PA,6581.721873
2012,4,PB,1218.815505
2012,4,PE,7003.250298
2012,4,PI,141.3753549
2012,4,PR,3566.291381
2012,4,RJ,4862.80561
2012,4,RN,2584.183623
2012,4,RO,0
2012,4,RR,0
2012,4,RS,35626.13011
2012,4,SC,4034.000641
2012,4,SE,163.1539491
2012,4,SP,39530.90013
2012,4,TO,0
2012,5,AL,984.3256864
2012,5,AM,0
2012,5,BA,21487.7505
2012,5,CE,2126.565728
2012,5,DF,11292.11403
2012,5,ES,2104.124706
2012,5,GO,10587.28652
2012,5,MA,10036.67047
2012,5,MG,24977.36793
2012,5,MS,555.7184875
2012,5,MT,5889.116919
2012,5,PA,6656.518734
2012,5,PB,1391.294876
2012,5,PE,7379.112508
2012,5,PI,578.7742978
2012,5,PR,2708.209487
2012,5,RJ,3082.928588
2012,5,RN,1981.520416
2012,5,RO,0
2012,5,RR,0
2012,5,RS,42851.54628
2012,5,SC,4329.950695
2012,5,SE,354.3141694
2012,5,SP,38267.16176
2012,5,TO,1642.181207
2012,6,AL,648.6537385
2012,6,AM,69.77778494
2012,6,BA,19696.05525
2012,6,CE,3296.021375
2012,6,DF,10837.05601
2012,6,ES,2943.390884
2012,6,GO,12637.93587
2012,6,MA,9885.161742
2012,6,MG,26733.87126
2012,6,MS,725.0593893
2012,6,MT,4873.952046
2012,6,PA,6949.433594
2012,6,PB,1289.014879
2012,6,PE,8857.856344
2012,6,PI,558.215423
2012,6,PR,4015.05097
2012,6,RJ,3231.170446
2012,6,RN,2705.196406
2012,6,RO,0
2012,6,RR,125.11725
2012,6,RS,39997.38775
2012,6,SC,4355.605977
2012,6,SE,139.063895
2012,6,SP,39110.9585
2012,6,TO,2736.946212
2012,7,AL,1278.969215
2012,7,AM,0
2012,7,BA,25623.79539
2012,7,CE,4921.250274
2012,7,DF,10415.9601
2012,7,ES,2283.5738
2012,7,GO,11132.4653
2012,7,MA,8570.302969
2012,7,MG,29451.81329
2012,7,MS,227.7951686
2012,7,MT,7086.210353
2012,7,PA,7442.258162
2012,7,PB,2436.369719
2012,7,PE,10220.33041
2012,7,PI,219.8256506
2012,7,PR,4356.445425
2012,7,RJ,4871.17972
2012,7,RN,3536.167042
2012,7,RO,142.4487308
2012,7,RR,0
2012,7,RS,36070.28457
2012,7,SC,2647.852287
2012,7,SE,161.9231222
2012,7,SP,47570.79835
2012,7,TO,1393.72596
2012,8,AL,1104.314868
2012,8,AM,0
2012,8,BA,28849.61714
2012,8,CE,3858.673111
2012,8,DF,16588.63501
2012,8,ES,3725.840775
2012,8,GO,15224.32607
2012,8,MA,9583.926014
2012,8,MG,32358.42183
2012,8,MS,823.3271958
2012,8,MT,9237.782355
2012,8,PA,10370.2532
2012,8,PB,2817.309336
2012,8,PE,9856.987196
2012,8,PI,241.2709315
2012,8,PR,4110.588316
2012,8,RJ,4227.357841
2012,8,RN,4064.0324
2012,8,RO,0
2012,8,RR,0
2012,8,RS,39863.40244
2012,8,SC,3111.069328
2012,8,SE,767.0102429
2012,8,SP,44587.62712
2012,8,TO,859.2902929
2012,9,AL,463.7549955
2012,9,AM,0
2012,9,BA,16243.72713
2012,9,CE,3782.354473
2012,9,DF,23313.50904
2012,9,ES,7177.655924
2012,9,GO,15195.68269
2012,9,MA,18776.66502
2012,9,MG,28222.32609
2012,9,MS,591.8039263
2012,9,MT,6298.670863
2012,9,PA,13690.15895
2012,9,PB,1884.59253
2012,9,PE,8129.770142
2012,9,PI,0
2012,9,PR,3484.90634
2012,9,RJ,7854.500759
2012,9,RN,3515.002012
2012,9,RO,0
2012,9,RR,0
2012,9,RS,37701.00634
2012,9,SC,3332.345437
2012,9,SE,176.8700621
2012,9,SP,50605.93477
2012,9,TO,1159.543511
2012,10,AL,940.9714402
2012,10,AM,27.96151813
2012,10,BA,16746.11581
2012,10,CE,5485.949579
2012,10,DF,16749.36454
2012,10,ES,4921.117837
2012,10,GO,15928.41076
2012,10,MA,12282.38668
2012,10,MG,28546.00325
2012,10,MS,296.5221458
2012,10,MT,6983.226586
2012,10,PA,8205.535483
2012,10,PB,2179.959273
2012,10,PE,8726.393583
2012,10,PI,52.01245908
2012,10,PR,3541.190358
2012,10,RJ,7873.670787
2012,10,RN,3473.079543
2012,10,RO,0
2012,10,RR,0
2012,10,RS,47555.43969
2012,10,SC,3561.115695
2012,10,SE,679.8641819
2012,10,SP,54879.08281
2012,10,TO,793.190001
2012,11,AL,1362.214296
2012,11,AM,0
2012,11,BA,19019.36929
2012,11,CE,4710.216474
2012,11,DF,11272.48519
2012,11,ES,3354.734706
2012,11,GO,12105.32696
2012,11,MA,15269.85306
2012,11,MG,30932.96848
2012,11,MS,166.5861744
2012,11,MT,10364.16168
2012,11,PA,9181.073608
2012,11,PB,2240.943206
2012,11,PE,9995.919912
2012,11,PI,147.4322603
2012,11,PR,3299.878633
2012,11,RJ,6159.655103
2012,11,RN,2991.455778
2012,11,RO,0
2012,11,RR,0
2012,11,RS,46206.87192
2012,11,SC,5214.242243
2012,11,SE,493.9701676
2012,11,SP,40304.80588
2012,11,TO,2113.322963
2012,12,AL,1686.750799
2012,12,AM,334.7275146
2012,12,BA,20620.94746
2012,12,CE,4877.333537
2012,12,DF,13298.08561
2012,12,ES,4396.731436
2012,12,GO,12904.24913
2012,12,MA,15241.23839
2012,12,MG,28794.18467
2012,12,MS,634.357387
2012,12,MT,11347.58772
2012,12,PA,10017.27998
2012,12,PB,2545.855881
2012,12,PE,10086.01275
2012,12,PI,62.28318574
2012,12,PR,2797.75691
2012,12,RJ,8095.209065
2012,12,RN,3337.528354
2012,12,RO,0
2012,12,RR,0
2012,12,RS,43335.09235
2012,12,SC,4767.917883
2012,12,SE,969.7852134
2012,12,SP,33447.52631
2012,12,TO,2510.048478
2013,1,AL,1108.169339
2013,1,AM,49.15201958
2013,1,BA,18442.28691
2013,1,CE,4835.235024
2013,1,DF,13255.70293
2013,1,ES,5356.738879
2013,1,GO,10447.85727
2013,1,MA,12300.83522
2013,1,MG,28459.38291
2013,1,MS,926.1914118
2013,1,MT,3368.325756
2013,1,PA,3805.991095
2013,1,PB,1764.586258
2013,1,PE,8469.293831
2013,1,PI,318.2388731
2013,1,PR,3643.110354
2013,1,RJ,6607.588111
2013,1,RN,4888.841501
2013,1,RO,370.617527
2013,1,RR,0
2013,1,RS,45125.23572
2013,1,SC,3821.589465
2013,1,SE,1613.219967
2013,1,SP,46456.129
2013,1,TO,57.78863554
2013,2,AL,753.6631336
2013,2,AM,0
2013,2,BA,16950.99253
2013,2,CE,3421.294535
2013,2,DF,14260.87969
2013,2,ES,4543.271222
2013,2,GO,10786.33567
2013,2,MA,6752.002036
2013,2,MG,28023.50011
2013,2,MS,832.9096878
2013,2,MT,2393.857351
2013,2,PA,4158.157919
2013,2,PB,1751.117728
2013,2,PE,7308.900158
2013,2,PI,476.3609323
2013,2,PR,4367.230356
2013,2,RJ,5873.595257
2013,2,RN,3546.209916
2013,2,RO,0
2013,2,RR,0
2013,2,RS,38091.05303
2013,2,SC,3580.255021
2013,2,SE,161.0819322
2013,2,SP,46546.8852
2013,2,TO,255.012571
2013,3,AL,1384.823063
2013,3,AM,119.9550779
2013,3,BA,22414.19229
2013,3,CE,6460.164989
2013,3,DF,19437.6125
2013,3,ES,3995.745446
2013,3,GO,10147.89705
2013,3,MA,6885.708719
2013,3,MG,28391.77161
2013,3,MS,875.1008543
2013,3,MT,1903.858451
2013,3,PA,8119.282508
2013,3,PB,2463.829978
2013,3,PE,9179.162315
2013,3,PI,112.3672594
2013,3,PR,5309.470356
2013,3,RJ,5312.743977
2013,3,RN,4775.315206
2013,3,RO,56.55025103
2013,3,RR,0
2013,3,RS,35486.53176
2013,3,SC,4276.989507
2013,3,SE,239.0868141
2013,3,SP,51894.71868
2013,3,TO,459.4743414
2013,4,AL,935.0442517
2013,4,AM,0
2013,4,BA,21176.99191
2013,4,CE,5941.870157
2013,4,DF,17916.30915
2013,4,ES,4360.090924
2013,4,GO,12541.58085
2013,4,MA,8405.250062
2013,4,MG,31155.00197
2013,4,MS,443.2750512
2013,4,MT,4570.504391
2013,4,PA,8889.755269
2013,4,PB,2110.413876
2013,4,PE,9602.548165
2013,4,PI,173.0885304
2013,4,PR,3892.166428
2013,4,RJ,7373.577514
2013,4,RN,4264.166187
2013,4,RO,0
2013,4,RR,0
2013,4,RS,38241.27253
2013,4,SC,4332.809863
2013,4,SE,229.5694852
2013,4,SP,65862.43144
2013,4,TO,0
2013,5,AL,805.2328204
2013,5,AM,0
2013,5,BA,19454.61417
2013,5,CE,3793.407617
2013,5,DF,10682.75674
2013,5,ES,2814.552212
2013,5,GO,9694.971433
2013,5,MA,9191.549715
2013,5,MG,31664.26523
2013,5,MS,463.471523
2013,5,MT,4911.547931
2013,5,PA,5593.299561
2013,5,PB,1575.45703
2013,5,PE,6487.875445
2013,5,PI,554.7293703
2013,5,PR,4717.498473
2013,5,RJ,6838.919363
2013,5,RN,3092.301392
2013,5,RO,0
2013,5,RR,0
2013,5,RS,52835.50389
2013,5,SC,5689.089046
2013,5,SE,289.8485754
2013,5,SP,58485.88785
2013,5,TO,1515.724614
2013,6,AL,535.4263388
2013,6,AM,65.48095499
2013,6,BA,18164.45212
2013,6,CE,3796.834685
2013,6,DF,11705.87208
2013,6,ES,3056.634071
2013,6,GO,12091.04822
2013,6,MA,9454.858865
2013,6,MG,30593.96697
2013,6,MS,680.4111263
2013,6,MT,4573.820089
2013,6,PA,6528.672675
2013,6,PB,1248.858548
2013,6,PE,7921.354573
2013,6,PI,539.1443189
2013,6,PR,6113.54875
2013,6,RJ,5680.71758
2013,6,RN,2890.668663
2013,6,RO,0
2013,6,RR,120.8426922
2013,6,RS,46656.09239
2013,6,SC,5402.488882
2013,6,SE,114.7892439
2013,6,SP,51485.1189
2013,6,TO,2625.188267
2013,7,AL,942.3976091
2013,7,AM,0
2013,7,BA,23414.92401
2013,7,CE,6130.25967
2013,7,DF,10181.10693
2013,7,ES,2044.489537
2013,7,GO,10722.88678
2013,7,MA,7580.905772
2013,7,MG,31569.43114
2013,7,MS,199.3571641
2013,7,MT,5654.051098
2013,7,PA,6007.531663
2013,7,PB,2098.152422
2013,7,PE,9467.5405
2013,7,PI,246.6077267
2013,7,PR,8780.01755
2013,7,RJ,7425.346858
2013,7,RN,3864.210991
2013,7,RO,113.6591157
2013,7,RR,0
2013,7,RS,50813.45748
2013,7,SC,4522.806193
2013,7,SE,117.1901073
2013,7,SP,64623.38261
2013,7,TO,1388.099068
2013,8,AL,781.1460698
2013,8,AM,0
2013,8,BA,23442.83413
2013,8,CE,5605.946428
2013,8,DF,13120.16869
2013,8,ES,3553.4188
2013,8,GO,11619.7512
2013,8,MA,7412.257619
2013,8,MG,26785.08437
2013,8,MS,611.3171644
2013,8,MT,6859.016614
2013,8,PA,7710.248459
2013,8,PB,2499.384521
2013,8,PE,7845.350731
2013,8,PI,187.0608541
2013,8,PR,8951.425295
2013,8,RJ,5810.031211
2013,8,RN,3907.405702
2013,8,RO,0
2013,8,RR,0
2013,8,RS,46398.09346
2013,8,SC,4606.618682
2013,8,SE,540.3280059
2013,8,SP,55414.56385
2013,8,TO,660.4001401
2013,9,AL,374.3335644
2013,9,AM,0
2013,9,BA,14676.64624
2013,9,CE,3735.101459
2013,9,DF,15251.92128
2013,9,ES,5787.852934
2013,9,GO,13231.74899
2013,9,MA,12566.96426
2013,9,MG,26540.63562
2013,9,MS,291.4747508
2013,9,MT,3102.21585
2013,9,PA,8669.087212
2013,9,PB,1606.235959
2013,9,PE,7193.711001
2013,9,PI,0
2013,9,PR,8282.161286
2013,9,RJ,12355.08324
2013,9,RN,3334.061701
2013,9,RO,0
2013,9,RR,0
2013,9,RS,44654.86609
2013,9,SC,5438.390714
2013,9,SE,142.7659032
2013,9,SP,63660.81077
2013,9,TO,876.7791684
2013,10,AL,714.3887345
2013,10,AM,23.97678873
2013,10,BA,15362.66693
2013,10,CE,4562.319832
2013,10,DF,17254.42897
2013,10,ES,5313.439858
2013,10,GO,15794.53416
2013,10,MA,16017.19211
2013,10,MG,31714.3576
2013,10,MS,254.2654805
2013,10,MT,5988.063586
2013,10,PA,7637.031222
2013,10,PB,1730.368452
2013,10,PE,7455.890388
2013,10,PI,53.17973147
2013,10,PR,8137.10102
2013,10,RJ,10083.84839
2013,10,RN,2887.2052
2013,10,RO,0
2013,10,RR,0
2013,10,RS,50773.94509
2013,10,SC,5509.511866
2013,10,SE,516.1552113
2013,10,SP,68201.51147
2013,10,TO,810.9909049
2013,11,AL,743.4276607
2013,11,AM,0
2013,11,BA,13513.19939
2013,11,CE,3224.32946
2013,11,DF,12221.75607
2013,11,ES,2702.404977
2013,11,GO,10716.49439
2013,11,MA,14249.87596
2013,11,MG,28330.68325
2013,11,MS,180.1382529
2013,11,MT,11207.30448
2013,11,PA,9362.223732
2013,11,PB,1293.592155
2013,11,PE,6773.504143
2013,11,PI,122.9520088
2013,11,PR,7040.839404
2013,11,RJ,8859.858652
2013,11,RN,1818.603516
2013,11,RO,0
2013,11,RR,0
2013,11,RS,50893.99541
2013,11,SC,8194.100986
2013,11,SE,269.583932
2013,11,SP,56649.91226
2013,11,TO,1830.777903
2013,12,AL,620.9064654
2013,12,AM,252.7970244
2013,12,BA,11753.41818
2013,12,CE,2479.867427
2013,12,DF,11068.807
2013,12,ES,3449.403689
2013,12,GO,9020.055388
2013,12,MA,10900.79255
2013,12,MG,23607.80369
2013,12,MS,479.0871763
2013,12,MT,8570.06456
2013,12,PA,7562.103506
2013,12,PB,1002.12749
2013,12,PE,5246.853366
2013,12,PI,42.22720732
2013,12,PR,6693.846585
2013,12,RJ,9436.313257
2013,12,RN,1431.223709
2013,12,RO,0
2013,12,RR,0
2013,12,RS,35533.37815
2013,12,SC,6495.982268
2013,12,SE,356.9856967
2013,12,SP,44933.50396
2013,12,TO,1742.19666
2014,1,AL,328.2413907
2014,1,AM,78.96355813
2014,1,BA,9790.823885
2014,1,CE,2502.134443
2014,1,DF,18113.31074
2014,1,ES,4945.141919
2014,1,GO,10734.89329
2014,1,MA,17574.99798
2014,1,MG,27360.06582
2014,1,MS,1431.402246
2014,1,MT,5411.272799
2014,1,PA,5826.247297
2014,1,PB,678.5859268
2014,1,PE,4316.496879
2014,1,PI,333.7558026
2014,1,PR,9453.67077
2014,1,RJ,12258.75014
2014,1,RN,2364.525766
2014,1,RO,595.4033808
2014,1,RR,0
2014,1,RS,45529.38393
2014,1,SC,5674.427882
2014,1,SE,477.8381307
2014,1,SP,58391.49276
2014,1,TO,52.24725754
2014,2,AL,244.4848511
2014,2,AM,0
2014,2,BA,9347.162811
2014,2,CE,2082.754872
2014,2,DF,20733.99521
2014,2,ES,4070.593557
2014,2,GO,11638.22222
2014,2,MA,8338.90091
2014,2,MG,26701.87073
2014,2,MS,1714.891226
2014,2,MT,4928.751613
2014,2,PA,8050.580913
2014,2,PB,798.418434
2014,2,PE,4041.121172
2014,2,PI,487.3831925
2014,2,PR,9557.820125
2014,2,RJ,8438.284822
2014,2,RN,2108.137158
2014,2,RO,0
2014,2,RR,0
2014,2,RS,48196.15044
2014,2,SC,5674.424669
2014,2,SE,52.25423729
2014,2,SP,62177.57754
2014,2,TO,273.4623008
2014,3,AL,863.5013688
2014,3,AM,153.4479902
2014,3,BA,19465.40514
2014,3,CE,5407.290613
2014,3,DF,23958.18699
2014,3,ES,3957.451699
2014,3,GO,11503.03394
2014,3,MA,7071.467738
2014,3,MG,31132.91809
2014,3,MS,1119.439624
2014,3,MT,2435.438816
2014,3,PA,9912.063109
2014,3,PB,1829.545454
2014,3,PE,6850.685084
2014,3,PI,116.2578109
2014,3,PR,11587.02615
2014,3,RJ,7634.803965
2014,3,RN,3350.389289
2014,3,RO,72.3397668
2014,3,RR,0
2014,3,RS,46920.63059
2014,3,SC,5775.766595
2014,3,SE,149.0817106
2014,3,SP,69359.2295
2014,3,TO,475.3829667
2014,4,AL,452.7920194
2014,4,AM,0
2014,4,BA,16807.59631
2014,4,CE,4451.20143
2014,4,DF,17666.39744
2014,4,ES,4155.1715
2014,4,GO,12416.34336
2014,4,MA,8080.131046
2014,4,MG,31976.75679
2014,4,MS,408.0920585
2014,4,MT,4207.74086
2014,4,PA,8302.128515
2014,4,PB,1222.337402
2014,4,PE,6176.606856
2014,4,PI,178.950237
2014,4,PR,9070.816695
2014,4,RJ,10022.63256
2014,4,RN,2625.325014
2014,4,RO,0
2014,4,RR,0
2014,4,RS,35301.06878
2014,4,SC,4319.788597
2014,4,SE,111.1682475
2014,4,SP,74646.47328
2014,4,TO,0
2014,5,AL,519.0219341
2014,5,AM,0
2014,5,BA,16465.28897
2014,5,CE,3053.236757
2014,5,DF,14466.84347
2014,5,ES,3556.968215
2014,5,GO,11910.1221
2014,5,MA,11289.7487
2014,5,MG,34344.92739
2014,5,MS,680.5288964
2014,5,MT,7211.770579
2014,5,PA,8100.630733
2014,5,PB,1125.077318
2014,5,PE,5476.184994
2014,5,PI,620.9260297
2014,5,PR,9840.24058
