State,Zones,2012,2013,2014,2015,2016,2017,2018,2019,2020
RS,RS,408.9354525,408.9354525,408.9354525,408.9354525,127.2267717,318.4925775,334.4172064,351.1380667,368.6949701
SC,SC,210.5108113,210.5108113,210.5108113,210.5108113,109.5667899,149.7246352,151.2218816,152.7341004,154.2614414
PR,PR,4250.276577,4250.276577,4250.276577,4250.276577,1203.759451,3157.848324,1600,3250,3060.255022
SP,SP,1743.895801,1743.895801,1743.895801,1743.895801,464.7057291,962.937735,914.7908483,940,825.5987406
RJ,RJ,0,0,0,0,0,0.000745914,0.000745914,0.000745914,0.000745914
MG,MG_Triângulo,411.1570758,411.1570758,411.1570758,411.1570758,52.68786803,70.97126431,115.4606058,132.2381934,156.3255459
MG,MG_Noroeste,181,181,181,181,38,147.2712159,151.89522,195.035914,244.0488652
MG,MG_Sul,5,5,5,5,5,5,5,5,5
MG,MG_Outros,0,0,0,0,0,0,0,0,0
ES,ES,0.058426088,0.058426088,0.058426088,0.058426088,0,0,0,0,0
MS,MS_Sul,3245.070239,3245.070239,3245.070239,3245.070239,1206.429534,1902.891775,973,2549.830371,3162.452351
MS,MS_Norte,107.6342359,107.6342359,107.6342359,107.6342359,24.94000432,412.4983319,227,400,748.4730789
MT,MT_Médio Norte,6328.926298,6328.926298,6328.926298,6328.926298,1562.794265,5530.225149,5620.866865,7791.332417,9297.428163
MT,MT_Oeste,2286.753978,2286.753978,2286.753978,2286.753978,1319.919401,2434.588038,3384.673025,3651.407753,4105.428418
MT,MT_Sudeste,5399.059417,5399.059417,5399.059417,5399.059417,4816.177363,7502.647839,5711.629267,5528.113093,9384.37635
MT,MT_Nordeste,327.5425739,327.5425739,327.5425739,327.5425739,480.5493043,944.1266601,1533.171482,2020.679539,2664.006416
MT,MT_Nordeste_Sul,789.3279072,789.3279072,789.3279072,789.3279072,61.26633257,714.3205255,592.5577741,642.121544,1157.972313
MT,MT_Norte,1778.358682,1778.358682,1778.358682,1778.358682,1117.633007,2264.801645,2197.101587,2466.345654,3675.084777
GO,GO_Sudoeste,2897.082546,2897.082546,2897.082546,2897.082546,290.3081556,2067.240063,1924.878807,2336.304406,2756.959452
GO,GO_Leste,1454.839785,1454.839785,1454.839785,1454.839785,1171.284215,1268.361564,1077.162657,1116.043277,1213.240383
GO,GO_Noroeste,0,0,0,0,0,0,0,0,0
DF,DF,20.73643176,20.73643176,20.73643176,20.73643176,2.515634737,22.31800727,22.31800727,22.31800727,22.31800727
BA,BA_Oeste Norte,79.46855578,79.46855578,79.46855578,79.46855578,10.04932881,14.9680309,14.9680309,14.9680309,14.9680309
BA,BA_Oeste Sul,42.7907608,42.7907608,42.7907608,42.7907608,5.411177052,8.059708948,8.059708948,8.059708948,8.059708948
BA,BA_Outros,0,0,0,0,0,0,0,0,0
SE,SE,0,0,0,0,0,0,0,0,0
PB,PB,0,0,0,0,0,0,0,0,0
AL,AL,0,0,0,0,0,0,0,0,0
PE,PE,0,0,0,0,0.000209032,1.92290949,1.92290949,1.92290949,1.92290949
RN,RN,0,0,0,0,0,0,0,0,0
CE,CE,0.031550088,0.031550088,0.031550088,0.031550088,0,0,0,0,0
PI,PI_Sul,162.4492939,162.4492939,162.4492939,162.4492939,17.96173898,13.22156036,36.35929099,99.98805021,274.9671381
PI,PI_Outros,0,0,0,0,0,0,0,0,0
MA,MA_Sul,866.2729775,866.2729775,866.2729775,866.2729775,85.823877,379.1657302,470,691.0295433,932.8898835
MA,MA_Outros,0,0,0,0,0,0,0,0,0
TO,TO_Centro,344.3752318,344.3752318,344.3752318,344.3752318,37.14882777,285.997846,333.0740717,397.5175899,478.8576967
TO,TO_Leste,175.9070899,175.9070899,175.9070899,175.9070899,21.34720157,79.61169702,131.2500479,192.174042,270.0506758
TO,TO_Norte,0,0,0,0,0,0,0,0,0
TO,TO_Sul,0,0,0,0,0,0,0,0,0
PA,PA_Nordeste,84.89956319,84.89956319,84.89956319,84.89956319,3.008685843,115.6934324,148.0875934,189.5521196,242.626713
PA,PA_Noroeste,0,0,0,0,0,0,0,0,0
PA,PA_Sudeste,0,0,0,0,0,0,0,0,0
PA,PA_Outros,0,0,0,0,0,0,0,0,0
AP,AP,0,0,0,0,0,0,0,0,0
RO,RO,185.0726371,185.0726371,185.0726371,185.0726371,51.82354377,269.8469899,321.1179179,401.3973974,501.7467468
AC,AC,0.261748874,0.261748874,0.261748874,0.261748874,0.613657713,0,0,0,0
AM,AM,0,0,0,0,0,0,0,0,0
RR,RR,0.48435227,0.48435227,0.48435227,0.48435227,0.205896034,0,0,0,0
