State,Zones,2012,2013,2014,2015,2016,2017,2018,2019,2020
RS,RS,10613.41,10613.41,10613.41,10613.41,9404.26,12432.96,11438.32,11552.70,11783.76
SC,SC,1503.57,1503.57,1503.57,1503.57,1544.90,1858.16,1895.32,1933.23,1971.89
PR,PR,7749.49,7749.49,7749.49,7749.49,7867.72,11001.66,10121.52,10323.95,10530.43
SP,SP,2644.92,2644.92,2644.92,2644.92,3111.36,3432.66,3501.31,3571.34,3642.77
RJ,RJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MG,MG_Triângulo,1220.98,1220.98,1220.98,1220.98,1088.21,1560.35,1477.75,1575.26,1762.08
MG,MG_Noroeste,466.06,466.06,466.06,466.06,765.20,650.94,859.55,838.82,933.85
MG,MG_Sul,262.81,262.81,262.81,262.81,398.72,433.06,439.26,501.31,569.31
MG,MG_Outros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ES,ES,1.06,1.06,1.06,1.06,0.00,107.01,107.01,107.01,107.01
MS,MS_Sul,2641.99,2641.99,2641.99,2641.99,2155.30,2882.65,3216.62,3561.54,4009.64
MS,MS_Norte,792.09,792.09,792.09,792.09,699.34,784.12,890.16,1038.06,1141.91
MT,MT_Médio Norte,2859.27,2859.27,2859.27,2859.27,3358.11,4648.10,7486.63,4594.05,5465.11
MT,MT_Oeste,4019.25,4019.25,4019.25,4019.25,4244.28,4348.83,5191.43,4504.20,4845.52
MT,MT_Sudeste,600.00,600.00,600.00,600.00,630.00,661.50,694.58,729.30,765.77
MT,MT_Nordeste,2483.54,2483.54,2483.54,2483.54,2572.65,2997.00,3559.45,3296.45,3799.69
MT,MT_Nordeste_Sul,2248.96,2248.96,2248.96,2248.96,1895.80,2699.48,3229.25,2786.22,3023.80
MT,MT_Norte,2247.44,2247.44,2247.44,2247.44,2321.08,2784.25,3334.33,2881.66,3131.94
GO,GO_Sudoeste,1425.96,1425.96,1425.96,1425.96,1878.79,2608.60,2476.90,2378.19,2506.69
GO,GO_Leste,1131.48,1131.48,1131.48,1131.48,1051.38,1471.45,1464.08,1587.77,1718.70
GO,GO_Noroeste,655.26,655.26,655.26,655.26,572.57,757.83,848.52,919.32,1001.87
DF,DF,226.20,226.20,226.20,226.20,44.07,265.80,268.46,271.14,273.85
BA,BA_Oeste Norte,1741.31,1741.31,1741.31,1741.31,746.80,2195.90,2152.27,2223.21,2399.45
BA,BA_Oeste Sul,858.42,858.42,858.42,858.42,636.81,921.85,996.66,957.21,1003.60
BA,BA_Outros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SE,SE,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00
PB,PB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,AL,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00
PE,PE,0.00,0.00,0.00,0.00,0.00,28.38,0.00,0.00,0.00
RN,RN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CE,CE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PI,PI_Sul,734.13,734.13,734.13,734.13,257.22,826.56,892.69,964.10,1041.23
PI,PI_Outros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,MA_Sul,1500.22,1500.22,1500.22,1500.22,565.12,1547.87,1504.37,1558.30,1595.83
MA,MA_Outros,274.05,274.05,274.05,274.05,364.08,352.97,453.50,458.31,481.27
TO,TO_Centro,665.24,665.24,665.24,665.24,477.33,1099.88,1135.64,1175.16,1218.46
TO,TO_Leste,351.03,351.03,351.03,351.03,276.17,392.27,428.58,466.38,505.86
TO,TO_Norte,68.73,68.73,68.73,68.73,77.37,107.03,116.93,127.25,138.02
TO,TO_Sul,479.39,479.39,479.39,479.39,235.97,429.39,469.13,510.51,553.72
PA,PA_Nordeste,505.72,505.72,505.72,505.72,460.99,609.73,670.60,737.94,884.56
PA,PA_Noroeste,70.91,70.91,70.91,70.91,53.53,80.11,87.95,96.54,115.67
PA,PA_Sudeste,144.58,144.58,144.58,144.58,129.36,232.38,255.62,281.21,337.40
PA,PA_Outros,106.07,106.07,106.07,106.07,170.55,258.27,284.38,312.70,376.44
AP,AP,17.76,17.76,17.76,17.76,25.36,58.41,58.41,58.41,58.41
RO,RO,759.67,759.67,759.67,759.67,756.03,884.01,971.16,1017.52,1160.29
AC,AC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AM,AM,0.30,0.30,0.30,0.30,32.26,0.00,0.00,0.00,0.00
RR,RR,21.27,21.27,21.27,21.27,24.33,54.61,54.61,54.61,54.61
