Ano,Mes,Estado_Production,Biodiesel_Production (m3)
2012,1,BA,17896.635
2012,1,CE,4200.9
2012,1,GO,41712.935
2012,1,MA,0
2012,1,MG,7548.99
2012,1,MS,2370.445
2012,1,MT,24758.687
2012,1,PA,0
2012,1,PI,0
2012,1,PR,8263.727
2012,1,RJ,1488.827
2012,1,RN,0
2012,1,RO,730.424
2012,1,RS,60287.533
2012,1,SC,0
2012,1,SP,15666.212
2012,1,TO,8081.048
2012,2,BA,17817.044
2012,2,CE,3698.42
2012,2,GO,47193.337
2012,2,MA,0
2012,2,MG,6147.38
2012,2,MS,4941.85
2012,2,MT,33763.14
2012,2,PA,0
2012,2,PI,0
2012,2,PR,10102.701
2012,2,RJ,2069.897
2012,2,RN,0
2012,2,RO,711.881
2012,2,RS,60924.038
2012,2,SC,0
2012,2,SP,21476.615
2012,2,TO,5760.674
2012,3,BA,15010.499
2012,3,CE,3586.86
2012,3,GO,44913.538
2012,3,MA,0
2012,3,MG,6208.09
2012,3,MS,5271.355
2012,3,MT,36174.39
2012,3,PA,0
2012,3,PI,0
2012,3,PR,9550.31
2012,3,RJ,2812.204
2012,3,RN,0
2012,3,RO,888.6
2012,3,RS,66771.719
2012,3,SC,0
2012,3,SP,21400.889
2012,3,TO,8283.363
2012,4,BA,14227.391
2012,4,CE,3149.03
2012,4,GO,41180.033
2012,4,MA,0
2012,4,MG,5197.61
2012,4,MS,3183.363
2012,4,MT,32761.049
2012,4,PA,0
2012,4,PI,0
2012,4,PR,8297.158
2012,4,RJ,0
2012,4,RN,0
2012,4,RO,228.097
2012,4,RS,63000.651
2012,4,SC,0
2012,4,SP,2926.325
2012,4,TO,8221.537
2012,5,BA,19192.197
2012,5,CE,3622.09
2012,5,GO,49702.504
2012,5,MA,0
2012,5,MG,5014.48
2012,5,MS,4829.604
2012,5,MT,39992.993
2012,5,PA,0
2012,5,PI,0
2012,5,PR,6890.439
2012,5,RJ,0
2012,5,RN,0
2012,5,RO,514.275
2012,5,RS,70120.78
2012,5,SC,0
2012,5,SP,1899.467
2012,5,TO,11242.032
2012,6,BA,19132.952
2012,6,CE,5387.96
2012,6,GO,49756.243
2012,6,MA,0
2012,6,MG,7053.05
2012,6,MS,5726.289
2012,6,MT,38500.024
2012,6,PA,0
2012,6,PI,0
2012,6,PR,9515.51
2012,6,RJ,567.029
2012,6,RN,0
2012,6,RO,464.465
2012,6,RS,67087.859
2012,6,SC,0
2012,6,SP,3691.037
2012,6,TO,8015.397
2012,7,BA,22493.707
2012,7,CE,5084.3
2012,7,GO,44886.527
2012,7,MA,0
2012,7,MG,6832.73
2012,7,MS,4916.984
2012,7,MT,47561.912
2012,7,PA,0
2012,7,PI,0
2012,7,PR,11131.506
2012,7,RJ,1820.841
2012,7,RN,0
2012,7,RO,771.595
2012,7,RS,62823.509
2012,7,SC,0
2012,7,SP,14509.729
2012,7,TO,7506.945
2012,8,BA,22000.887
2012,8,CE,2808.32
2012,8,GO,60417.987
2012,8,MA,0
2012,8,MG,6472.86
2012,8,MS,8097.563
2012,8,MT,53287.708
2012,8,PA,0
2012,8,PI,0
2012,8,PR,11346.083
2012,8,RJ,1939.519
2012,8,RN,0
2012,8,RO,661.593
2012,8,RS,67304.192
2012,8,SC,0
2012,8,SP,12555.944
2012,8,TO,7533.396
2012,9,BA,19938.926
2012,9,CE,6239.41
2012,9,GO,49592.958
2012,9,MA,0
2012,9,MG,5817.66
2012,9,MS,11662.82
2012,9,MT,54001.022
2012,9,PA,0
2012,9,PI,0
2012,9,PR,11362.352
2012,9,RJ,1015.086
2012,9,RN,0
2012,9,RO,641.762
2012,9,RS,68797.882
2012,9,SC,0
2012,9,SP,17569.587
2012,9,TO,5603.078
2012,10,BA,19713.598
2012,10,CE,9131.05
2012,10,GO,55137.541
2012,10,MA,0
2012,10,MG,6736.11
2012,10,MS,9137.06
2012,10,MT,43682.394
2012,10,PA,0
2012,10,PI,0
2012,10,PR,10908.705
2012,10,RJ,1494.71
2012,10,RN,0
2012,10,RO,987.615
2012,10,RS,79092.605
2012,10,SC,0
2012,10,SP,15394.791
2012,10,TO,0
2012,11,BA,20697.618
2012,11,CE,7509.79
2012,11,GO,57785.583
2012,11,MA,0
2012,11,MG,8867.13
2012,11,MS,11907.207
2012,11,MT,33929.567
2012,11,PA,0
2012,11,PI,0
2012,11,PR,11733.28
2012,11,RJ,1950.368
2012,11,RN,0
2012,11,RO,903.314
2012,11,RS,73517.022
2012,11,SC,0
2012,11,SP,16519.713
2012,11,TO,0
2012,12,BA,23082.818
2012,12,CE,7950.73
2012,12,GO,58866.953
