%Confiança,Ano,Estado,Microrregião,Mês,Produto,Produção,Produção Max,Produção Mín,Tipo,Tipo Ajustado,UF
0,2015,bahia,BA_Oeste Norte,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,2,Soja,101.05693740186676,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,3,Soja,986.2082384398442,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,4,Soja,1607.5864882080696,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,5,Soja,673.7129160124452,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Norte,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,2,Soja,51.70287586465954,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,3,Soja,934.6018832269642,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,4,Soja,1482.5075634458685,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,5,Soja,116.33147069548404,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Norte,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,2,Soja,223.49891446518916,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,3,Soja,1389.8555266639075,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,4,Soja,2248.8849328064284,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,5,Soja,328.17836459564904,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Norte,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,2,Soja,92.21779010282144,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,3,Soja,1589.1908822572098,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,4,Soja,3167.6716621223677,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,5,Soja,252.8375436268661,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Norte,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2019,bahia,BA_Oeste Norte,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,2,Soja,23.91731424216369,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,3,Soja,233.40755175646888,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,4,Soja,380.47018045906594,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,5,Soja,159.44876161442463,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Oeste Sul,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,2,Soja,12.211225151502907,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,3,Soja,220.7349945673712,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,4,Soja,350.1397812653896,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,5,Soja,27.475256590881568,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Oeste Sul,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,2,Soja,49.121529005877846,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,3,Soja,305.468278136243,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,4,Soja,494.26936467263494,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,5,Soja,72.12841768901559,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Oeste Sul,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,2,Soja,21.980084840904755,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,3,Soja,378.78320854857526,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,4,Soja,755.0136671454371,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,5,Soja,60.26375880063997,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Oeste Sul,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2019,bahia,BA_Oeste Sul,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,2,Soja,0.4461483559695705,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,3,Soja,4.353933490720005,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,4,Soja,7.097207645832308,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,5,Soja,2.9743223731304713,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,bahia,BA_Outros,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,2,Soja,0.3073129838375571,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,3,Soja,5.555112527715286,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,4,Soja,8.811769466690505,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,5,Soja,0.6914542136345041,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2016,bahia,BA_Outros,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,2,Soja,0.6361495447600429,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,3,Soja,3.9559742949319134,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,4,Soja,6.401047314461813,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,5,Soja,0.9341008109018551,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2017,bahia,BA_Outros,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,2,Soja,0.2759963201035901,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,3,Soja,4.756249688439978,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,4,Soja,9.480445379003374,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,5,Soja,0.7567111676308862,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,9,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,10,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,11,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2018,bahia,BA_Outros,12,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2019,bahia,BA_Outros,1,Soja,0.0,0.0,0.0,Real,Real/Calculada,BA
0,2015,goiás,GO_Leste,1,Soja,278.40651409096625,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,2,Soja,1240.7904409567266,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,3,Soja,1110.077531284832,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,4,Soja,592.9362046001337,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,5,Soja,75.01154754397412,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,6,Soja,0.0,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,7,Soja,0.0,0.0,0.0,Real,Real/Calculada,GO
0,2015,goiás,GO_Leste,8,Soja,0.0,0.0,0.0,Real,Real/Calculada,GO
