Produto,Mês,Ano,Estado,UF,Microrregião,Produção Mín (Kt),Produção Med (Kt),Produção Max (Kt),Tipo,Tipo Ajustado,%Confiança
Soja,1,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2015,BAHIA,BA,BA_Oeste Norte,0.0,101.057,0.0,Real,Real/Calculada,0
Soja,3,2015,BAHIA,BA,BA_Oeste Norte,0.0,986.208,0.0,Real,Real/Calculada,0
Soja,4,2015,BAHIA,BA,BA_Oeste Norte,0.0,1607.586,0.0,Real,Real/Calculada,0
Soja,5,2015,BAHIA,BA,BA_Oeste Norte,0.0,673.713,0.0,Real,Real/Calculada,0
Soja,6,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2015,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2016,BAHIA,BA,BA_Oeste Norte,0.0,51.703,0.0,Real,Real/Calculada,0
Soja,3,2016,BAHIA,BA,BA_Oeste Norte,0.0,934.602,0.0,Real,Real/Calculada,0
Soja,4,2016,BAHIA,BA,BA_Oeste Norte,0.0,1482.508,0.0,Real,Real/Calculada,0
Soja,5,2016,BAHIA,BA,BA_Oeste Norte,0.0,116.331,0.0,Real,Real/Calculada,0
Soja,6,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2016,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2017,BAHIA,BA,BA_Oeste Norte,0.0,223.499,0.0,Real,Real/Calculada,0
Soja,3,2017,BAHIA,BA,BA_Oeste Norte,0.0,1389.856,0.0,Real,Real/Calculada,0
Soja,4,2017,BAHIA,BA,BA_Oeste Norte,0.0,2248.885,0.0,Real,Real/Calculada,0
Soja,5,2017,BAHIA,BA,BA_Oeste Norte,0.0,328.178,0.0,Real,Real/Calculada,0
Soja,6,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2017,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2018,BAHIA,BA,BA_Oeste Norte,0.0,92.218,0.0,Real,Real/Calculada,0
Soja,3,2018,BAHIA,BA,BA_Oeste Norte,0.0,1589.191,0.0,Real,Real/Calculada,0
Soja,4,2018,BAHIA,BA,BA_Oeste Norte,0.0,3167.672,0.0,Real,Real/Calculada,0
Soja,5,2018,BAHIA,BA,BA_Oeste Norte,0.0,252.838,0.0,Real,Real/Calculada,0
Soja,6,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2018,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2019,BAHIA,BA,BA_Oeste Norte,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2019,BAHIA,BA,BA_Oeste Norte,0.0,472.926,0.0,Real,Real/Calculada,0
Soja,1,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2015,BAHIA,BA,BA_Oeste Sul,0.0,23.917,0.0,Real,Real/Calculada,0
Soja,3,2015,BAHIA,BA,BA_Oeste Sul,0.0,233.408,0.0,Real,Real/Calculada,0
Soja,4,2015,BAHIA,BA,BA_Oeste Sul,0.0,380.47,0.0,Real,Real/Calculada,0
Soja,5,2015,BAHIA,BA,BA_Oeste Sul,0.0,159.449,0.0,Real,Real/Calculada,0
Soja,6,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2015,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2016,BAHIA,BA,BA_Oeste Sul,0.0,12.211,0.0,Real,Real/Calculada,0
Soja,3,2016,BAHIA,BA,BA_Oeste Sul,0.0,220.735,0.0,Real,Real/Calculada,0
Soja,4,2016,BAHIA,BA,BA_Oeste Sul,0.0,350.14,0.0,Real,Real/Calculada,0
Soja,5,2016,BAHIA,BA,BA_Oeste Sul,0.0,27.475,0.0,Real,Real/Calculada,0
Soja,6,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2016,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2017,BAHIA,BA,BA_Oeste Sul,0.0,49.122,0.0,Real,Real/Calculada,0
Soja,3,2017,BAHIA,BA,BA_Oeste Sul,0.0,305.468,0.0,Real,Real/Calculada,0
Soja,4,2017,BAHIA,BA,BA_Oeste Sul,0.0,494.269,0.0,Real,Real/Calculada,0
Soja,5,2017,BAHIA,BA,BA_Oeste Sul,0.0,72.128,0.0,Real,Real/Calculada,0
Soja,6,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2017,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2018,BAHIA,BA,BA_Oeste Sul,0.0,21.98,0.0,Real,Real/Calculada,0
Soja,3,2018,BAHIA,BA,BA_Oeste Sul,0.0,378.783,0.0,Real,Real/Calculada,0
Soja,4,2018,BAHIA,BA,BA_Oeste Sul,0.0,755.014,0.0,Real,Real/Calculada,0
Soja,5,2018,BAHIA,BA,BA_Oeste Sul,0.0,60.264,0.0,Real,Real/Calculada,0
Soja,6,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,9,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,10,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,11,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,12,2018,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,1,2019,BAHIA,BA,BA_Oeste Sul,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2019,BAHIA,BA,BA_Oeste Sul,0.0,105.795,0.0,Real,Real/Calculada,0
Soja,1,2015,BAHIA,BA,BA_Outros,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,2,2015,BAHIA,BA,BA_Outros,0.0,0.446,0.0,Real,Real/Calculada,0
Soja,3,2015,BAHIA,BA,BA_Outros,0.0,4.354,0.0,Real,Real/Calculada,0
Soja,4,2015,BAHIA,BA,BA_Outros,0.0,7.097,0.0,Real,Real/Calculada,0
Soja,5,2015,BAHIA,BA,BA_Outros,0.0,2.974,0.0,Real,Real/Calculada,0
Soja,6,2015,BAHIA,BA,BA_Outros,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,7,2015,BAHIA,BA,BA_Outros,0.0,0.0,0.0,Real,Real/Calculada,0
Soja,8,2015,BAHIA,BA,BA_Outros,0.0,0.0,0.0,Real,Real/Calculada,0
