"Year","Predicted Production"
"1/1/2012",0
"2/1/2012",30.9111859260446
"3/1/2012",87.461303238002
"4/1/2012",410.011510835953
"5/1/2012",0
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0
"10/1/2012",0
"11/1/2012",0
"12/1/2012",0
"1/1/2013",0.567673641311018
"2/1/2013",39.4030112549354
"3/1/2013",172.725876244766
"4/1/2013",533.203352632312
"5/1/2013",0
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0
"10/1/2013",0.0968143116526115
"11/1/2013",0.00327191502314847
"12/1/2013",0
"1/1/2014",0
"2/1/2014",0
"3/1/2014",709.617753951936
"4/1/2014",149.19311768143
"5/1/2014",0
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0
"11/1/2014",0.00312836663412158
"12/1/2014",0
"1/1/2015",0.457330510474597
"2/1/2015",0
"3/1/2015",408.427054809208
"4/1/2015",541.345297733864
"5/1/2015",0
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0.00105696684082431
"11/1/2015",0.01203576135111
"12/1/2015",0.00722421826105676
"1/1/2016",0
"2/1/2016",0
"3/1/2016",62.1810353722072
"4/1/2016",394.167863964881
"5/1/2016",258.587774451179
"6/1/2016",6.23103070966694
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0
"10/1/2016",0.00496315877315495
"11/1/2016",0.0181323432931799
"12/1/2016",0
"1/1/2017",0
"2/1/2017",0
"3/1/2017",119.583700017907
"4/1/2017",660.803403346313
"5/1/2017",389.502946650392
"6/1/2017",71.4441546165801
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0
"10/1/2017",0.104168262769153
"11/1/2017",0.0336271060383441
"12/1/2017",0
"1/1/2018",0
"2/1/2018",7.50883498579463
"3/1/2018",115.853657858772
"4/1/2018",602.635372455767
"5/1/2018",683.933669237069
"6/1/2018",99.6624654625963
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0
"10/1/2018",0
"11/1/2018",0
"12/1/2018",0
"1/1/2019",0.169012429455394
"2/1/2019",0.0871084465259468
"3/1/2019",34.5109380004114
"4/1/2019",95.9320592522253
"5/1/2019",694.829536977043
"6/1/2019",463.844497855002
"7/1/2019",0.0112858593663597
"8/1/2019",0.00418852643866766
"9/1/2019",0
"10/1/2019",0
"11/1/2019",0
"12/1/2019",0.0113726535324278
