"Year","Predicted Production"
"1/1/2012",0
"2/1/2012",1831.51963256888
"3/1/2012",2964.38427806076
"4/1/2012",1783.03810989217
"5/1/2012",0
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0.000498101271632877
"10/1/2012",0.000438463926119978
"11/1/2012",0.000342912993851593
"12/1/2012",0
"1/1/2013",0
"2/1/2013",1991.8919566199
"3/1/2013",3225.50209749146
"4/1/2013",1939.11341668435
"5/1/2013",0
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0
"10/1/2013",0.000253206795275453
"11/1/2013",0.00727599749463024
"12/1/2013",0
"1/1/2014",330.58403136836
"2/1/2014",1984.00850082625
"3/1/2014",2895.00271430767
"4/1/2014",215.759931878367
"5/1/2014",0
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0.0160216193545899
"10/1/2014",0
"11/1/2014",0
"12/1/2014",0
"1/1/2015",149.2426496809
"2/1/2015",2362.60567985187
"3/1/2015",1902.60118412264
"4/1/2015",268.916252432846
"5/1/2015",0
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0.0228891246128788
"11/1/2015",0.013844787130523
"12/1/2015",0
"1/1/2016",204.374934455355
"2/1/2016",852.104318827923
"3/1/2016",1504.30197991596
"4/1/2016",732.378564576477
"5/1/2016",0
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0.169098515422436
"9/1/2016",0
"10/1/2016",0.00840370886573993
"11/1/2016",0
"12/1/2016",0
"1/1/2017",221.265180269891
"2/1/2017",1866.82753964479
"3/1/2017",2268.43670501755
"4/1/2017",336.053953834942
"5/1/2017",0
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0
"10/1/2017",0.0362270066905498
"11/1/2017",0.0514942261373237
"12/1/2017",0
"1/1/2018",51.0166109064022
"2/1/2018",723.233517764345
"3/1/2018",1716.91271155508
"4/1/2018",371.817228129008
"5/1/2018",23.7876651896609
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.0532786811671707
"10/1/2018",0
"11/1/2018",0.0189877743392716
"12/1/2018",0
"1/1/2019",90.1907634134284
"2/1/2019",338.105613665937
"3/1/2019",1329.54470608408
"4/1/2019",1156.47666271684
"5/1/2019",147.98429248423
"6/1/2019",0
"7/1/2019",0
"8/1/2019",0.0680859021975473
"9/1/2019",0
"10/1/2019",0.0298757332893668
"11/1/2019",0
"12/1/2019",0
