"Year","Predicted Production"
"1/1/2012",2.80110317544728e-06
"2/1/2012",3.83998428956885e-06
"3/1/2012",0
"4/1/2012",3.11779776925928e-05
"5/1/2012",4.2741578029132e-05
"6/1/2012",923.872252997218
"7/1/2012",2014.15780356167
"8/1/2012",1259.43766288047
"9/1/2012",0
"10/1/2012",0
"11/1/2012",0
"12/1/2012",0
"1/1/2013",8.29874994317103e-05
"2/1/2013",6.76418598094636e-05
"3/1/2013",0.00145127162987923
"4/1/2013",0.000924042314133912
"5/1/2013",0.000753119579034269
"6/1/2013",988.820178373869
"7/1/2013",2384.52567718497
"8/1/2013",1443.56926537828
"9/1/2013",0
"10/1/2013",0
"11/1/2013",0
"12/1/2013",0
"1/1/2014",0
"2/1/2014",3.65175907303225e-06
"3/1/2014",0.00237583552558105
"4/1/2014",0
"5/1/2014",2.64943987295952
"6/1/2014",1242.66474441507
"7/1/2014",3040.53765345876
"8/1/2014",1551.74478276592
"9/1/2014",0
"10/1/2014",0
"11/1/2014",0
"12/1/2014",0
"1/1/2015",0
"2/1/2015",0.000322446454885692
"3/1/2015",0.0033764299801864
"4/1/2015",0
"5/1/2015",2.20483450794781
"6/1/2015",1593.82382607782
"7/1/2015",3719.38984659751
"8/1/2015",2001.28719394029
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0
"12/1/2015",0
"1/1/2016",0
"2/1/2016",4.23291104171215e-05
"3/1/2016",0.00109743077570749
"4/1/2016",0
"5/1/2016",2.7043146472236
"6/1/2016",855.723191237791
"7/1/2016",2415.53186189782
"8/1/2016",1233.61539158651
"9/1/2016",1.03800087076988
"10/1/2016",0
"11/1/2016",0
"12/1/2016",0
"1/1/2017",0.000935412276575892
"2/1/2017",5.719269688696e-05
"3/1/2017",0.000252816929621623
"4/1/2017",0.0102347435036815
"5/1/2017",76.6045388240733
"6/1/2017",1798.01538990553
"7/1/2017",3908.36312991482
"8/1/2017",1773.41344430404
"9/1/2017",7.79201688612814
"10/1/2017",0
"11/1/2017",0
"12/1/2017",0
"1/1/2018",0
"2/1/2018",3.61291248429235e-06
"3/1/2018",0.000250182014939624
"4/1/2018",0
"5/1/2018",4.20685078641693
"6/1/2018",1080.79990309769
"7/1/2018",2810.2805396562
"8/1/2018",2441.02965465335
"9/1/2018",61.7627980114063
"10/1/2018",0
"11/1/2018",0
"12/1/2018",0
"1/1/2019",0.00300867081900258
"2/1/2019",0
"3/1/2019",0
"4/1/2019",0.0327407027093947
"5/1/2019",53.5923135617195
"6/1/2019",1611.29741605636
"7/1/2019",3893.67651642471
"8/1/2019",2947.62380622301
"9/1/2019",34.942108856156
"10/1/2019",2.24913866223553e-05
"11/1/2019",2.89548852298073e-05
"12/1/2019",3.80582303650814e-05
