"Year","Predicted Production"
"1/1/2012",769.430903493155
"2/1/2012",3797.83567203328
"3/1/2012",3214.07892193602
"4/1/2012",470.118217162277
"5/1/2012",0
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",5.67181352117819e-05
"10/1/2012",7.92971510810627e-05
"11/1/2012",8.30841344312169e-05
"12/1/2012",6.62758423221501e-05
"1/1/2013",696.157800782866
"2/1/2013",3764.29503875578
"3/1/2013",3551.01184831487
"4/1/2013",551.449381146689
"5/1/2013",0
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0
"10/1/2013",0.00420689555532193
"11/1/2013",0.00172410424190667
"12/1/2013",0
"1/1/2014",609.274524012407
"2/1/2014",3492.13521301612
"3/1/2014",4139.28113134525
"4/1/2014",754.222345498778
"5/1/2014",0
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0
"10/1/2014",0
"11/1/2014",0.00491285238359699
"12/1/2014",0.0118732750634957
"1/1/2015",609.771632878775
"2/1/2015",3449.72249156641
"3/1/2015",3664.99355691988
"4/1/2015",900.553254777149
"5/1/2015",4.55061462169809e-12
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0
"10/1/2015",0
"11/1/2015",0.00283275381423924
"12/1/2015",0.00623110397182399
"1/1/2016",794.890541316743
"2/1/2016",3987.03900360447
"3/1/2016",3956.08196884913
"4/1/2016",1503.50347615514
"5/1/2016",7.96114966256631
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0.0261749592606488
"10/1/2016",0.00968545270176675
"11/1/2016",0
"12/1/2016",0
"1/1/2017",630.881553622023
"2/1/2017",4637.2861829195
"3/1/2017",3872.39710381691
"4/1/2017",1671.15564507662
"5/1/2017",7.29178436205297
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0.0354161373299008
"10/1/2017",0
"11/1/2017",0.000826020735706589
"12/1/2017",0.00148804483188937
"1/1/2018",727.443116155181
"2/1/2018",5495.51391215788
"3/1/2018",4021.39492798807
"4/1/2018",1538.2149040912
"5/1/2018",3.11036762155648
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.0301338578632632
"10/1/2018",0.00863812825064451
"11/1/2018",0
"12/1/2018",0
"1/1/2019",528.308672555966
"2/1/2019",4829.44413030128
"3/1/2019",4683.83822008709
"4/1/2019",1485.42949821176
"5/1/2019",0
"6/1/2019",0.00120753953790434
"7/1/2019",0.00130606089957408
"8/1/2019",0.00122311574217467
"9/1/2019",0.00564016880185572
"10/1/2019",0
"11/1/2019",0
"12/1/2019",0.000301958926886424
