"Year","Predicted Production"
"1/1/2012",1684.01480667381
"2/1/2012",2470.78059049829
"3/1/2012",5555.7390983639
"4/1/2012",1231.31638713457
"5/1/2012",0
"6/1/2012",0
"7/1/2012",0
"8/1/2012",0
"9/1/2012",0.000222427454612671
"10/1/2012",0.000287136609501707
"11/1/2012",0.000275425026365739
"12/1/2012",0.000132340340395851
"1/1/2013",2035.00097989728
"2/1/2013",3675.47855831289
"3/1/2013",8274.02814475046
"4/1/2013",1927.83995164083
"5/1/2013",0
"6/1/2013",0
"7/1/2013",0
"8/1/2013",0
"9/1/2013",0.0137952502691587
"10/1/2013",0.00991570259960967
"11/1/2013",0.00305444567567077
"12/1/2013",0
"1/1/2014",1196.61522854673
"2/1/2014",4842.20990371947
"3/1/2014",6533.04023677084
"4/1/2014",2208.74080150611
"5/1/2014",0
"6/1/2014",0
"7/1/2014",0
"8/1/2014",0
"9/1/2014",0.0155948549149927
"10/1/2014",0
"11/1/2014",0.00859470405662391
"12/1/2014",0.0496398978714055
"1/1/2015",1107.6477509857
"2/1/2015",7535.95178926579
"3/1/2015",5948.18617472673
"4/1/2015",2618.63166898466
"5/1/2015",0
"6/1/2015",0
"7/1/2015",0
"8/1/2015",0
"9/1/2015",0.00363873450712832
"10/1/2015",0.0149620912653279
"11/1/2015",0
"12/1/2015",0.0552152113516582
"1/1/2016",2108.270244323
"2/1/2016",3968.79923114478
"3/1/2016",6370.69510996325
"4/1/2016",4364.00143788011
"5/1/2016",32.728623945332
"6/1/2016",0
"7/1/2016",0
"8/1/2016",0
"9/1/2016",0.00229751954055871
"10/1/2016",0
"11/1/2016",0.0200552239865707
"12/1/2016",0
"1/1/2017",4278.24554676659
"2/1/2017",6728.02991541439
"3/1/2017",5436.55912762542
"4/1/2017",3066.39507185391
"5/1/2017",77.0181193182475
"6/1/2017",0
"7/1/2017",0
"8/1/2017",0
"9/1/2017",0
"10/1/2017",0.0098190214470726
"11/1/2017",0
"12/1/2017",0
"1/1/2018",932.50786833016
"2/1/2018",7085.39395102443
"3/1/2018",8396.99359507621
"4/1/2018",2532.09638890066
"5/1/2018",223.491668814134
"6/1/2018",0
"7/1/2018",0
"8/1/2018",0
"9/1/2018",0.0261913007247187
"10/1/2018",0
"11/1/2018",0.00873655367951303
"12/1/2018",0
"1/1/2019",103.943315656013
"2/1/2019",4936.47327623067
"3/1/2019",9389.13491441659
"4/1/2019",2876.52011748102
"5/1/2019",62.1187656586993
"6/1/2019",0
"7/1/2019",0
"8/1/2019",0
"9/1/2019",0
"10/1/2019",0
"11/1/2019",0
"12/1/2019",0.0120105570104102
