Date,Plantation,Interest_Rate,Exchange_Rate,Lag3_Milho_Price
1/1/2011,0.0,12.6842,1.674525,235.81
2/1/2011,0.0,12.765,1.6663947368421053,238.18
3/1/2011,0.0,12.0713,1.6573521739130437,250.38
4/1/2011,0.0,12.2288,1.5833,264.95
5/1/2011,0.0,12.2923,1.6136095238095238,292.9
6/1/2011,0.0,12.341,1.5854090909090908,290.54
7/1/2011,0.0,12.524000000000001,1.56251,319.27
8/1/2011,0.0,11.908,1.5966391304347827,307.86
9/1/2011,0.0,10.6175,1.749204761904762,310.61
10/1/2011,0.0,10.4899,1.77027,300.77
11/1/2011,384.0,9.9505,1.78642,310.22
12/1/2011,0.0,10.0767,1.8391047619047616,295.26
1/1/2012,0.0,9.8589,1.785035,274.79
2/1/2012,0.0,9.3174,1.7168,274.39
3/1/2012,0.0,8.9862,1.7953,258.65
4/1/2012,0.0,8.4999,1.8522476190476191,272.84
5/1/2012,0.0,7.9716,1.9810227272727277,279.46
6/1/2012,0.0,7.6076,2.048195238095238,280.69
7/1/2012,0.0,7.2953,2.029552380952381,274.0
8/1/2012,0.0,8.277000000000001,2.0279434782608696,269.28
9/1/2012,0.0,7.5788,2.026857894736842,267.31
10/1/2012,12.433333333333335,7.2399,2.0297318181818182,333.05
11/1/2012,341.9166666666667,7.1409,2.06622,331.99
12/1/2012,18.649999999999977,7.0357,2.07746,320.85
1/1/2013,0.0,7.3737,2.028109523809524,321.24
2/1/2013,0.0,7.8862,1.9729315789473685,321.64
3/1/2013,0.0,8.0275,1.9842142857142857,308.65
4/1/2013,0.0,7.7476,2.001109090909091,303.13
5/1/2013,0.0,8.0224,2.0364727272727277,302.74
6/1/2013,0.0,8.6295,2.17336,309.04
7/1/2013,0.0,9.01,2.2518318181818184,279.91
8/1/2013,0.0,10.2779,2.340790909090909,295.54
9/1/2013,0.0,10.1777,2.264105,298.41
10/1/2013,0.0,9.9838,2.1882227272727275,279.51
11/1/2013,312.11764705882354,10.1783,2.295936842105263,238.74
12/1/2013,66.88235294117646,10.5595,2.347095238095238,207.41
1/1/2014,0.0,11.9399,2.3857809523809523,201.73
2/1/2014,0.0,11.2757,2.3792,199.13
3/1/2014,0.0,11.5092,2.3250523809523806,197.39
4/1/2014,0.0,11.3251,2.2324727272727274,198.06
5/1/2014,0.0,11.1667,2.219509523809524,209.32
6/1/2014,0.0,10.9004,2.236019047619048,222.33
7/1/2014,0.0,10.9307,2.2242136363636362,222.36
8/1/2014,0.0,11.3251,2.268519047619048,217.3
9/1/2014,0.0,11.6598,2.3378809523809525,202.39
10/1/2014,11.402999999999999,11.6777,2.449531818181818,182.73
11/1/2014,278.67331578947363,11.8799,2.5527277777777777,176.42
12/1/2014,90.02368421052637,12.8928,2.6418857142857144,163.06
1/1/2015,0.0,12.6768,2.63462,163.12
2/1/2015,0.0,13.2199,2.8169894736842105,178.74
3/1/2015,0.0,13.674000000000001,3.1413727272727274,178.73
4/1/2015,0.0,13.6275,3.0420909090909087,174.71
5/1/2015,0.0,13.79,3.056205,173.7
6/1/2015,0.0,14.0799,3.1116909090909086,174.23
7/1/2015,0.0,14.165,3.228809090909091,172.05
8/1/2015,0.0,14.2725,3.515433333333333,166.29
9/1/2015,0.0,15.2022,3.903219047619048,166.72
10/1/2015,10.974577777777775,15.2552,3.875238095238095,179.6
11/1/2015,186.7938432748537,15.3218,3.785768421052632,162.59
12/1/2015,70.63157894736844,14.6346,3.880836363636364,165.62
1/1/2016,124.96637351267465,14.634,4.05558947368421,171.39
2/1/2016,0.0,13.554,3.964385,166.16
3/1/2016,0.0,13.8614,3.6980217391304344,163.95
4/1/2016,0.0,13.935,3.5634476190476194,161.03
5/1/2016,0.0,13.9821,3.5403047619047614,159.68
6/1/2016,0.0,13.614,3.4234454545454542,159.14
7/1/2016,0.0,13.690999999999999,3.27814,164.41
8/1/2016,0.0,13.6674,3.2085521739130436,168.96
9/1/2016,0.0,13.3671,3.2531809523809523,179.87
10/1/2016,7.690238370010744,12.5727,3.185395,161.76
11/1/2016,58.00636941950962,12.3966,3.33689,150.15
12/1/2016,102.13701869780502,12.27,3.353966666666667,148.43
1/1/2017,149.2085913920324,10.7447,3.190084210526316,152.26
2/1/2017,0.0,10.0616,3.1057263157894734,151.8
3/1/2017,0.0,10.2771,3.1275304347826087,152.45
4/1/2017,0.0,9.8839,3.138995,159.99
5/1/2017,0.0,11.0799,3.2042772727272726,162.86
6/1/2017,0.0,11.7515,3.2953954545454542,158.96
7/1/2017,0.0,9.5267,3.19941,156.44
8/1/2017,0.0,7.6146,3.147791304347826,158.59
9/1/2017,0.0,7.1322,3.132515,157.93
10/1/2017,0.0,7.0838,3.192266666666667,157.51
11/1/2017,27.94578875955805,6.8020000000000005,3.26293,148.5
12/1/2017,133.84561984840954,6.7314,3.29496,147.29
1/1/2018,0.0,9.2838,3.211523809523809,148.62
2/1/2018,0.0,6.6976,3.2506526315789475,148.7
3/1/2018,0.0,6.1764,3.2789681818181817,148.98
4/1/2018,0.0,6.14,3.4088857142857143,155.84
5/1/2018,0.0,6.4489,3.6316,163.36
6/1/2018,0.0,10.074,3.771047619047619,172.0
7/1/2018,0.0,6.9472,3.822095238095238,175.6
8/1/2018,0.0,8.1955,3.9333217391304345,179.09
9/1/2018,0.0,7.8964,4.108747368421053,165.07
10/1/2018,3.289285714285714,7.1172,3.761113636363637,156.46
11/1/2018,59.20714285714285,6.4022,3.78595,162.37
12/1/2018,244.50357142857143,6.3324,3.883355555555556,154.8
1/1/2019,0.0,6.4995,3.735565,160.26
2/1/2019,0.0,6.5843,3.724433333333333,160.69
3/1/2019,0.0,5.910311887362631,3.73586320775015,167.44
4/1/2019,0.0,6.411489078073469,3.6957914372487797,166.74
5/1/2019,0.0,5.983559877051059,3.72510284512667,169.52
