Date,Plantation,Milho_Price,Lag3_Milho_Price,Interest_Rate
1/1/2012,323.53242,272.84,274.79,9.8589
2/1/2012,2321.86758,279.46,274.39,9.3174
3/1/2012,0.0,280.69,258.65,8.9862
4/1/2012,0.0,274.0,272.84,8.4999
5/1/2012,0.0,269.28,279.46,7.9716
6/1/2012,0.0,267.31,280.69,7.6076
7/1/2012,0.0,333.05,274.0,7.2953
8/1/2012,0.0,331.99,269.28,8.277000000000001
9/1/2012,0.0,320.85,267.31,7.5788
10/1/2012,0.0,321.24,333.05,7.2399
11/1/2012,0.0,321.64,331.99,7.1409
12/1/2012,0.0,308.65,320.85,7.0357
1/1/2013,325.86742999999996,303.13,321.24,7.3737
2/1/2013,2678.27527,302.74,321.64,7.8862
3/1/2013,344.9573000000001,309.04,308.65,8.0275
4/1/2013,0.0,279.91,303.13,7.7476
5/1/2013,0.0,295.54,302.74,8.0224
6/1/2013,0.0,298.41,309.04,8.6295
7/1/2013,0.0,279.51,279.91,9.01
8/1/2013,0.0,238.74,295.54,10.2779
9/1/2013,0.0,207.41,298.41,10.1777
10/1/2013,0.0,201.73,279.51,9.9838
11/1/2013,0.0,199.13,238.74,10.1783
12/1/2013,0.0,197.39,207.41,10.5595
1/1/2014,291.4111140975725,198.06,201.73,11.9399
2/1/2014,2276.192655580072,209.32,199.13,11.2757
3/1/2014,662.5962303223547,222.33,197.39,11.5092
4/1/2014,0.0,222.36,198.06,11.3251
5/1/2014,0.0,217.3,209.32,11.1667
6/1/2014,0.0,202.39,222.33,10.9004
7/1/2014,0.0,182.73,222.36,10.9307
8/1/2014,0.0,176.42,217.3,11.3251
9/1/2014,0.0,163.06,202.39,11.6598
10/1/2014,0.0,163.12,182.73,11.6777
11/1/2014,0.0,178.74,176.42,11.8799
12/1/2014,0.0,178.73,163.06,12.8928
1/1/2015,244.8590937619049,174.71,163.12,12.6768
2/1/2015,1940.8964162380958,173.7,178.74,13.2199
3/1/2015,1167.1444900000001,174.23,178.73,13.674000000000001
4/1/2015,0.0,172.05,174.71,13.6275
5/1/2015,0.0,166.29,173.7,13.79
6/1/2015,0.0,166.72,174.23,14.0799
7/1/2015,0.0,179.6,172.05,14.165
8/1/2015,0.0,162.59,166.29,14.2725
9/1/2015,0.0,165.62,166.72,15.2022
10/1/2015,0.0,171.39,179.6,15.2552
11/1/2015,0.0,166.16,162.59,15.3218
12/1/2015,0.0,163.95,165.62,14.6346
1/1/2016,328.2896546219452,161.03,171.39,14.634
2/1/2016,2660.6226985495346,159.68,166.16,13.554
3/1/2016,1035.5301207161592,159.14,163.95,13.8614
4/1/2016,1.8775261123610107,164.41,161.03,13.935
5/1/2016,0.0,168.96,159.68,13.9821
6/1/2016,0.0,179.87,159.14,13.614
7/1/2016,0.0,161.76,164.41,13.690999999999999
8/1/2016,0.0,150.15,168.96,13.6674
9/1/2016,0.0,148.43,179.87,13.3671
10/1/2016,0.0,152.26,161.76,12.5727
11/1/2016,0.0,151.8,150.15,12.3966
12/1/2016,0.0,152.45,148.43,12.27
1/1/2017,973.8306225953089,159.99,152.26,10.7447
2/1/2017,2852.4250349266813,162.86,151.8,10.0616
3/1/2017,700.0643424780111,158.96,152.45,10.2771
4/1/2017,0.0,156.44,159.99,9.8839
5/1/2017,0.0,158.59,162.86,11.0799
6/1/2017,0.0,157.93,158.96,11.7515
7/1/2017,0.0,157.51,156.44,9.5267
8/1/2017,0.0,148.5,158.59,7.6146
9/1/2017,0.0,147.29,157.93,7.1322
10/1/2017,0.0,148.62,157.51,7.0838
11/1/2017,0.0,148.7,148.5,6.8020000000000005
12/1/2017,0.0,148.98,147.29,6.7314
1/1/2018,778.6032402535913,155.84,148.62,9.2838
2/1/2018,2800.9280277738562,163.36,148.7,6.6976
3/1/2018,840.4687319725531,172.0,148.98,6.1764
4/1/2018,0.0,175.6,155.84,6.14
5/1/2018,0.0,179.09,163.36,6.4489
6/1/2018,0.0,165.07,172.0,10.074
7/1/2018,0.0,156.46,175.6,6.9472
8/1/2018,0.0,162.37,179.09,8.1955
9/1/2018,0.0,154.8,165.07,7.8964
10/1/2018,0.0,160.26,156.46,7.1172
11/1/2018,0.0,160.69,162.37,6.4022
12/1/2018,0.0,167.44,154.8,6.3324
1/1/2019,1356.776466905056,166.74,160.26,6.4995
2/1/2019,3150.872933245577,169.52,160.69,6.5843
3/1/2019,212.35059984936746,170.79959271010298,167.44,5.910311887362631
4/1/2019,0.0,169.77749508851102,166.74,6.411489078073469
5/1/2019,0.0,169.929585606075,169.52,5.983559877051059
6/1/2019,0.0,168.576985187654,170.79959271010298,6.74214324047129
7/1/2019,0.0,171.254936037046,169.77749508851102,5.840935944235441
8/1/2019,0.0,163.019992693414,169.929585606075,5.96477314473763
9/1/2019,0.0,157.524338264814,168.576985187654,5.55932386833838
10/1/2019,0.0,159.0916792597,171.254936037046,5.4527880737359
11/1/2019,0.0,160.296268169499,163.019992693414,5.78982606652536
12/1/2019,0.0,157.71875686535,157.524338264814,5.56342277491543
