Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2019,4,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,5,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,6,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,7,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,8,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,9,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,10,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,11,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,12,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,4,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,5,AL,AL,6.425,70,0,0,Prevista,Prevista
2019,6,AL,AL,6.425,70,0,0,Prevista,Prevista
2019,7,AL,AL,6.425,70,0,0,Prevista,Prevista
2019,8,AL,AL,6.425,70,0,0,Prevista,Prevista
2019,9,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,10,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,11,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,12,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,4,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,5,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,6,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,7,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,8,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,9,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,10,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,11,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,12,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,4,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,5,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,6,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,7,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,8,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,9,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,10,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,11,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,12,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,4,BA,BA_OESTE NORTE,0.0,70,0,0,Prevista,Prevista
2019,4,BA,BA_OESTE SUL,0.0,70,0,0,Prevista,Prevista
2019,4,BA,BA_OUTROS,0.0,70,0,0,Prevista,Prevista
