Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
RS,RS,RS,6172.96,5892.68,6036.75,4828.0,5028.0,6172.96,5892.68,6036.75,4828.0,5028.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC,SC,SC,3189.125,2712.1,3263.2456,2551.0,2656.0,3189.125,2712.1,3263.2456,2551.0,2656.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PR,PR,PR,15862.9145,14484.8826,17837.8119,11358.0,16156.0,15862.9145,14484.8826,17837.8119,11358.0,16156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SP,SP,SP,4166.222400000001,3828.5361000000003,4883.3019,4019.0,5363.0,4166.222400000001,3828.5361000000003,4883.3019,4019.0,5363.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RJ,RJ,RJ,6.224399999999999,5.2,6.296399999999999,6.758412174230251,7.021101945525238,6.224399999999999,5.2,6.296399999999999,6.758412174230251,7.021101945525238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MG_Triângulo,MG,Triângulo,2623.577673106189,2164.959476327868,3093.1591657240106,2927.071927625236,3181.323411247813,6864.492,5921.001,7520.8628,6722.0,7290.0,0.3821954593444335,0.3821954593444335,0.3821954593444335,0.3821954593444335,0.36564078883416296,0.41127716965186634,0.43544658250896107,0.4363955296636232
MG_Noroeste,MG,Noroeste,1229.1908789173963,755.6178091863466,1242.2313468968428,1227.6432025121378,1468.219206502897,6864.492,5921.001,7520.8628,6722.0,7290.0,0.17906509016506922,0.17906509016506922,0.17906509016506922,0.17906509016506922,0.12761656503458563,0.16517138790204267,0.18263064601489704,0.20140181159161824
MG_Sul,MG,Sul,2066.580867785129,2131.7002293383007,2161.6559648821253,1641.2573213810088,1700.679610780375,6864.492,5921.001,7520.8628,6722.0,7290.0,0.30105372222520316,0.30105372222520316,0.30105372222520316,0.30105372222520316,0.36002362258312415,0.28742127364457776,0.24416205316587455,0.23328938419483883
MG_Outros,MG,Outros,945.142580191286,868.723485147485,1023.8163224970201,926.0275484816168,939.7777714689149,6864.492,5921.001,7520.8628,6722.0,7290.0,0.1376857282652942,0.1376857282652942,0.1376857282652942,0.1376857282652942,0.14671902354812724,0.13613016880151305,0.1377607183102673,0.12891327454991974
ES,ES,ES,24.261400000000002,39.576,37.382400000000004,40.243647736983036,41.80786050583627,24.261400000000002,39.576,37.382400000000004,40.243647736983036,41.80786050583627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MS_Sul,MS,Sul,7786.425651038808,4936.946843976317,8037.033426594081,5453.52977326956,8109.800003598974,9282.85,6269.535,9870.574,6619.0,9869.0,0.8387968836121242,0.8387968836121242,0.8387968836121242,0.8387968836121242,0.7874502405643029,0.8142417479058544,0.8239204975479015,0.8217448579996934
MS_Norte,MS,Norte,1496.4243489611922,1332.588156023683,1833.5405734059193,1165.4702267304403,1759.199996401025,9282.85,6269.535,9870.574,6619.0,9869.0,0.1612031163878757,0.1612031163878757,0.1612031163878757,0.1612031163878757,0.21254975943569707,0.18575825209414562,0.17607950245209855,0.1782551420003065
MT_Médio Norte,MT,Médio Norte,9547.699718343818,7892.586167702713,14312.665999315821,12276.001833852015,11931.520515032662,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.459833145554705,0.459833145554705,0.459833145554705,0.459833145554705,0.44985330557586906,0.481099965117298,0.45787183744925647,0.43013520729055343
MT_Oeste,MT,Oeste,3288.881902350501,3020.1066952900956,4307.275182099578,4183.729000026688,4202.223440439586,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.1583980388082533,0.1583980388082533,0.1583980388082533,0.1583980388082533,0.1721368574508083,0.1447829453965996,0.1560452426252914,0.15149152602615762
