Produto,UF,Type,Years,Month,Percentage,Yearly_value,Cumulative_Prod,Monthly_Value
Milho 1 Safra,BA,Area Plantada,2011,1,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,2,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,3,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,4,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,5,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,6,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,7,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,8,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,9,0.0,428.8,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2011,10,0.4500000000000001,428.8,192.96,192.96
Milho 1 Safra,BA,Area Plantada,2011,11,1.0,428.8,428.79999999999995,235.83999999999997
Milho 1 Safra,BA,Area Plantada,2011,12,1.0,428.8,428.79999999999995,0.0
Milho 1 Safra,BA,Area Plantada,2012,1,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,2,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,3,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,4,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,5,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,6,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,7,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,8,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,9,0.0,387.0,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2012,10,0.13333333333333336,387.0,51.60000000000001,51.60000000000001
Milho 1 Safra,BA,Area Plantada,2012,11,1.0,387.0,387.0,335.4
Milho 1 Safra,BA,Area Plantada,2012,12,1.0,387.0,387.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,1,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,2,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,3,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,4,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,5,0.0,544.5,0.0,0.0
Milho 1 Safra,BA,Area Plantada,2013,6,0.0,544.5,0.0,0.0
