Date,Production,Plantation,Milho_Price
1/1/2012,768.4192057345606,224.39574617570992,272.84
2/1/2012,3799.1169524485335,0.0,279.46
3/1/2012,3214.627447551463,0.0,280.69
4/1/2012,469.30039426543954,0.0,274.0
5/1/2012,0.0,0.0,269.28
6/1/2012,0.0,0.0,267.31
7/1/2012,0.0,0.0,333.05
8/1/2012,0.0,0.0,331.99
9/1/2012,0.0,132.29264401608404,320.85
10/1/2012,0.0,933.6316951885624,321.24
11/1/2012,0.0,1294.6960535326716,321.64
12/1/2012,0.0,302.9838610869721,308.65
1/1/2013,425.2926558709925,0.0,303.13
2/1/2013,2661.3400639125684,0.0,302.74
3/1/2013,4502.258739732661,0.0,309.04
4/1/2013,974.0285404837775,0.0,279.91
5/1/2013,0.0,0.0,295.54
6/1/2013,0.0,0.0,298.41
7/1/2013,0.0,0.0,279.51
8/1/2013,0.0,0.0,238.74
9/1/2013,0.0,0.0,207.41
10/1/2013,0.0,1411.9206832533077,201.73
11/1/2013,0.0,1534.1246784690313,199.13
12/1/2013,0.0,155.65463827766098,197.39
1/1/2014,738.3349925738369,0.0,198.06
2/1/2014,3965.2695952953472,0.0,209.32
3/1/2014,3097.6272861392445,0.0,222.33
4/1/2014,1193.698125991572,0.0,222.36
5/1/2014,0.0,0.0,217.3
6/1/2014,0.0,0.0,202.39
7/1/2014,0.0,0.0,182.73
8/1/2014,0.0,0.0,176.42
9/1/2014,0.0,0.0,163.06
10/1/2014,0.0,644.4970492712619,163.12
11/1/2014,0.0,2108.7431905944295,178.74
12/1/2014,0.0,571.7597601343086,178.73
1/1/2015,728.2706262073835,0.0,174.71
2/1/2015,3245.7258925070955,0.0,173.7
3/1/2015,2903.800083439869,0.0,174.23
4/1/2015,1551.034186233433,0.0,172.05
5/1/2015,196.21921161221698,0.0,166.29
6/1/2015,0.0,0.0,166.72
7/1/2015,0.0,0.0,179.6
8/1/2015,0.0,0.0,162.59
9/1/2015,0.0,0.0,165.62
10/1/2015,0.0,652.9499306228267,171.39
11/1/2015,0.0,2118.5788006066628,166.16
12/1/2015,0.0,513.57126877051,163.95
1/1/2016,290.40284000000014,17.20610040741624,161.03
2/1/2016,4694.2191785936575,0.0,159.68
3/1/2016,3823.676335845756,0.0,159.14
4/1/2016,1441.2136455605887,0.0,164.41
5/1/2016,0.0,0.0,168.96
6/1/2016,0.0,0.0,179.87
7/1/2016,0.0,0.0,161.76
8/1/2016,0.0,0.0,150.15
9/1/2016,0.0,5.568198070691064,148.43
10/1/2016,0.0,1579.920242920484,152.26
11/1/2016,0.0,1461.7653355999994,151.8
12/1/2016,0.0,214.04012300140906,152.45
1/1/2017,1043.9919783702085,104.85019313857318,159.99
2/1/2017,5540.350242389069,0.0,162.86
3/1/2017,3221.3004218055053,0.0,158.96
4/1/2017,1013.4073574352167,0.0,156.44
5/1/2017,0.0,0.0,158.59
6/1/2017,0.0,0.0,157.93
7/1/2017,0.0,0.0,157.51
8/1/2017,0.0,0.0,148.5
9/1/2017,0.0,25.96329597808848,147.29
10/1/2017,0.0,886.4855139317464,148.62
11/1/2017,0.0,1949.3889345107534,148.7
12/1/2017,0.0,420.01206244083835,148.98
1/1/2018,318.04922852523464,97.2119218222879,155.84
2/1/2018,3490.7394042691685,0.0,163.36
3/1/2018,6199.209822197326,0.0,172.0
4/1/2018,1777.7175450082725,0.0,175.6
5/1/2018,0.0,0.0,179.09
6/1/2018,0.0,0.0,165.07
7/1/2018,0.0,0.0,156.46
8/1/2018,0.0,0.0,162.37
9/1/2018,0.0,60.92352084990798,154.8
10/1/2018,0.0,1905.5674811895776,160.26
11/1/2018,0.0,1271.4185551481173,160.69
12/1/2018,0.0,151.57852099010896,167.44
1/1/2019,1750.2620163520908,104.375226208792,166.74
2/1/2019,5678.318761184913,0.0,169.52
3/1/2019,3824.1818393512303,0.0,170.79959271010298
4/1/2019,181.74357917044654,0.0,169.77749508851102
5/1/2019,0.0,0.0,169.929585606075
6/1/2019,0.0,0.101639616800541,168.576985187654
7/1/2019,0.0,0.11036924843903,171.254936037046
8/1/2019,0.0,0.103015240619858,163.019992693414
9/1/2019,0.0,40.4441336382441,157.524338264814
10/1/2019,0.0,1281.42857370523,159.0916792597
11/1/2019,0.0,1530.2719766383402,160.296268169499
12/1/2019,0.0,246.99368437191,157.71875686535
