Date,Production,Plantation,Lag3_Milho_Price,Interest_Rate
1/1/2012,0.0,27.834206248871183,274.79,9.8589
2/1/2012,0.0,0.0,274.39,9.3174
3/1/2012,742.7498850000001,0.0,258.65,8.9862
4/1/2012,907.8054149999999,0.0,272.84,8.4999
5/1/2012,0.0,0.0,279.46,7.9716
6/1/2012,0.0,0.0,280.69,7.6076
7/1/2012,0.0,0.0,274.0,7.2953
8/1/2012,0.0,0.0,269.28,8.277000000000001
9/1/2012,0.0,0.0,267.31,7.5788
10/1/2012,0.0,8.269122870387093,333.05,7.2399
11/1/2012,0.0,301.82298476912894,331.99,7.1409
12/1/2012,0.0,248.07368611161283,320.85,7.0357
1/1/2013,0.0,0.0,321.24,7.3737
2/1/2013,8.42961,0.0,321.64,7.8862
3/1/2013,497.34699,0.0,308.65,8.0275
4/1/2013,1011.5532,0.0,303.13,7.7476
5/1/2013,168.59220000000005,0.0,302.74,8.0224
6/1/2013,0.0,0.0,309.04,8.6295
7/1/2013,0.0,0.0,279.91,9.01
8/1/2013,0.0,0.0,295.54,10.2779
9/1/2013,0.0,0.0,298.41,10.1777
10/1/2013,0.0,33.11000000000001,279.51,9.9838
11/1/2013,0.0,336.94294117647064,238.74,10.1783
12/1/2013,0.0,292.14705882352945,207.41,10.5595
1/1/2014,0.0,0.0,201.73,11.9399
2/1/2014,28.49529375,0.0,199.13,11.2757
3/1/2014,883.35410625,0.0,197.39,11.5092
4/1/2014,911.8494,0.0,198.06,11.3251
5/1/2014,0.0,0.0,209.32,11.1667
6/1/2014,0.0,0.0,222.33,10.9004
7/1/2014,0.0,0.0,222.36,10.9307
8/1/2014,0.0,0.0,217.3,11.3251
9/1/2014,0.0,0.0,202.39,11.6598
10/1/2014,0.0,37.48,182.73,11.6777
11/1/2014,0.0,475.40421052631575,176.42,11.8799
12/1/2014,0.0,236.71578947368423,163.06,12.8928
1/1/2015,0.0,39.27277805693975,163.12,12.6768
2/1/2015,41.39291200000002,0.0,178.74,13.2199
3/1/2015,880.092152761905,0.0,178.73,13.674000000000001
4/1/2015,941.1959752380958,0.0,174.71,13.6275
5/1/2015,206.96455999999998,0.0,173.7,13.79
6/1/2015,0.0,0.0,174.23,14.0799
7/1/2015,0.0,0.0,172.05,14.165
8/1/2015,0.0,0.0,166.29,14.2725
9/1/2015,0.0,0.0,166.72,15.2022
10/1/2015,0.0,36.275395962667126,179.6,15.2552
11/1/2015,0.0,453.9763871188734,162.59,15.3218
12/1/2015,0.0,256.7754388615198,165.62,14.6346
1/1/2016,0.0,154.77867228331246,171.39,14.634
2/1/2016,37.50650999999999,0.0,166.16,13.554
3/1/2016,565.2766864285711,0.0,163.95,13.8614
4/1/2016,472.40342357142873,0.0,161.03,13.935
5/1/2016,170.2218530769228,0.0,159.68,13.9821
6/1/2016,4.808526923077124,0.0,159.14,13.614
7/1/2016,0.0,0.0,164.41,13.690999999999999
8/1/2016,0.0,0.0,168.96,13.6674
9/1/2016,0.0,0.0,179.87,13.3671
10/1/2016,0.0,92.64546888523257,161.76,12.5727
11/1/2016,0.0,349.78391313812295,150.15,12.3966
12/1/2016,0.0,224.49194569333216,148.43,12.27
1/1/2017,21.199860000000005,143.86419778373602,152.26,10.7447
2/1/2017,621.8625599999999,0.0,151.8,10.0616
3/1/2017,616.6803720000004,0.0,152.45,10.2771
4/1/2017,1061.8774319999998,0.0,159.99,9.8839
5/1/2017,151.69677600000026,0.0,162.86,11.0799
6/1/2017,0.0,0.0,158.96,11.7515
7/1/2017,0.0,0.0,156.44,9.5267
8/1/2017,0.0,0.0,158.59,7.6146
9/1/2017,0.0,0.0,157.93,7.1322
10/1/2017,0.0,81.8825177951162,157.51,7.0838
11/1/2017,0.0,555.4268689598794,148.5,6.8020000000000005
12/1/2017,0.0,170.32641546126843,147.29,6.7314
1/1/2018,0.0,98.94501619274907,148.62,9.2838
2/1/2018,743.359375,0.0,148.7,6.6976
3/1/2018,1261.5870535714284,0.0,148.98,6.1764
4/1/2018,819.8191964285717,0.0,155.84,6.14
5/1/2018,148.671875,0.0,163.36,6.4489
6/1/2018,0.0,0.0,172.0,10.074
7/1/2018,0.0,0.0,175.6,6.9472
8/1/2018,0.0,0.0,179.09,8.1955
9/1/2018,0.0,0.0,165.07,7.8964
10/1/2018,0.0,242.702620546994,156.46,7.1172
11/1/2018,0.0,581.2254964787752,162.37,6.4022
12/1/2018,0.0,58.626866781481674,154.8,6.3324
1/1/2019,86.5683,85.14092839258791,160.26,6.4995
2/1/2019,1029.8020687500002,0.0,160.69,6.5843
3/1/2019,965.3911312500003,0.0,167.44,5.910311887362631
4/1/2019,226.72649999999973,0.005550543078868929,166.74,6.411489078073469
5/1/2019,0.0,0.0419859418506423,169.52,5.983559877051059
6/1/2019,0.0,0.0606371004343629,170.79959271010298,6.74214324047129
7/1/2019,0.0,0.0,169.77749508851102,5.840935944235441
8/1/2019,0.0,0.0,169.929585606075,5.96477314473763
9/1/2019,0.0,0.0169973427753998,168.576985187654,5.55932386833838
10/1/2019,0.0,242.264684745188,171.254936037046,5.4527880737359
11/1/2019,0.0,584.031888902841,163.019992693414,5.78982606652536
12/1/2019,0.0,59.00679521928679,157.524338264814,5.56342277491543
