Date,Production,Plantation,Interest_Rate,Lag3_Milho_Price
1/1/2012,18.48854,21.14820218863991,9.8589,274.79
2/1/2012,235.72888500000002,0.0,9.3174,274.39
3/1/2012,184.8854,0.0,8.9862,258.65
4/1/2012,23.11067499999996,0.0,8.4999,272.84
5/1/2012,0.0,0.0,7.9716,279.46
6/1/2012,0.0,0.0,7.6076,280.69
7/1/2012,0.0,0.0,7.2953,274.0
8/1/2012,0.0,0.0,8.277000000000001,269.28
9/1/2012,0.0,14.655179781136008,7.5788,267.31
10/1/2012,0.0,80.60348879624804,7.2399,333.05
11/1/2012,0.0,51.293129233976025,7.1409,331.99
12/1/2012,0.0,0.0,7.0357,320.85
1/1/2013,80.89847999999998,0.0,7.3737,321.24
2/1/2013,227.2862057142857,0.0,7.8862,321.64
3/1/2013,225.74528228571427,0.0,8.0275,308.65
4/1/2013,5.393231999999899,0.0,7.7476,303.13
5/1/2013,0.0,0.0,8.0224,302.74
6/1/2013,0.0,0.0,8.6295,309.04
7/1/2013,0.0,0.0,9.01,279.91
8/1/2013,0.0,0.0,10.2779,295.54
9/1/2013,0.0,5.7330000000000005,10.1777,298.41
10/1/2013,0.0,55.41900000000001,9.9838,279.51
11/1/2013,0.0,104.65535294117652,10.1783,238.74
12/1/2013,0.0,25.292647058823498,10.5595,207.41
1/1/2014,0.0,0.0,11.9399,201.73
2/1/2014,201.2999625,0.0,11.2757,199.13
3/1/2014,315.24333750000005,0.0,11.5092,197.39
4/1/2014,91.15469999999992,0.0,11.3251,198.06
5/1/2014,0.0,0.0,11.1667,209.32
6/1/2014,0.0,0.0,10.9004,222.33
7/1/2014,0.0,0.0,10.9307,222.36
8/1/2014,0.0,0.0,11.3251,217.3
9/1/2014,0.0,4.63,11.6598,202.39
10/1/2014,0.0,87.97000000000001,11.6777,182.73
11/1/2014,0.0,138.89999999999998,11.8799,176.42
12/1/2014,0.0,0.0,12.8928,163.06
1/1/2015,83.76331428571429,19.47336499817318,12.6768,163.12
2/1/2015,355.99408571428563,0.0,13.2199,178.74
3/1/2015,254.08205333333333,0.0,13.674000000000001,178.73
4/1/2015,39.08954666666671,0.0,13.6275,174.71
5/1/2015,0.0,0.0,13.79,173.7
6/1/2015,0.0,0.0,14.0799,174.23
7/1/2015,0.0,0.0,14.165,172.05
8/1/2015,0.0,0.0,14.2725,166.29
9/1/2015,0.0,4.662532700036537,15.2022,166.72
10/1/2015,0.0,114.23205115089517,15.2552,179.6
11/1/2015,0.0,110.55110428244527,15.3218,162.59
12/1/2015,0.0,3.680946868449912,14.6346,165.62
1/1/2016,72.67251480000003,37.85032410135534,14.634,171.39
2/1/2016,309.8144052,0.0,13.554,166.16
3/1/2016,338.77412914285736,0.0,13.8614,163.95
4/1/2016,43.712790857142764,0.0,13.935,161.03
5/1/2016,0.0,0.0,13.9821,159.68
6/1/2016,0.0,0.0,13.614,159.14
7/1/2016,0.0,0.0,13.690999999999999,164.41
8/1/2016,0.0,0.0,13.6674,168.96
9/1/2016,0.0,12.907483794932233,13.3671,179.87
10/1/2016,0.0,118.15312089207197,12.5727,161.76
11/1/2016,0.0,119.71336618596487,12.3966,150.15
12/1/2016,0.0,7.375705025675559,12.27,148.43
1/1/2017,166.13,33.791379310344844,10.7447,152.26
2/1/2017,485.09959999999995,0.0,10.0616,151.8
3/1/2017,262.9727146666666,0.0,10.2771,152.45
4/1/2017,16.125685333333426,0.0,9.8839,159.99
5/1/2017,0.0,0.0,11.0799,162.86
6/1/2017,0.0,0.0,11.7515,158.96
7/1/2017,0.0,0.0,9.5267,156.44
8/1/2017,0.0,0.0,7.6146,158.59
9/1/2017,0.0,17.066029177718836,7.1322,157.93
10/1/2017,0.0,179.95106441834028,7.0838,157.51
11/1/2017,0.0,83.7127966860726,6.8020000000000005,148.5
12/1/2017,0.0,19.078730407523476,6.7314,147.29
1/1/2018,187.69289142857147,27.713414634146343,9.2838,148.62
2/1/2018,469.2322285714288,0.0,6.6976,148.7
3/1/2018,428.5654354285716,0.0,6.1764,148.98
4/1/2018,9.384644571428453,0.0,6.14,155.84
5/1/2018,0.0,0.0,6.4489,163.36
6/1/2018,0.0,0.0,10.074,172.0
7/1/2018,0.0,0.0,6.9472,175.6
8/1/2018,0.0,0.0,8.1955,179.09
9/1/2018,0.0,47.98379790940767,7.8964,165.07
10/1/2018,0.0,221.92506533101047,7.1172,156.46
11/1/2018,0.0,65.97772212543555,6.4022,162.37
12/1/2018,0.0,0.0,6.3324,154.8
1/1/2019,259.17407999999995,8.44609970441207,6.4995,160.26
2/1/2019,658.97955,0.0356934410679075,6.5843,160.69
3/1/2019,232.14171857142867,0.0411689920791327,5.910311887362631,167.44
4/1/2019,27.76865142857127,0.0518133191473049,6.411489078073469,166.74
5/1/2019,0.0,0.0716123530761266,5.983559877051059,169.52
6/1/2019,0.0,0.072679692921255,6.74214324047129,170.79959271010298
7/1/2019,0.0,0.0868940014556563,5.840935944235441,169.77749508851102
8/1/2019,0.0,0.0279117307293602,5.96477314473763,169.929585606075
9/1/2019,0.0,13.772350374853499,5.55932386833838,168.576985187654
10/1/2019,0.0,155.026213185566,5.4527880737359,171.254936037046
11/1/2019,0.0,128.414587528522,5.78982606652536,163.019992693414
12/1/2019,0.0,2.5620395057454703,5.56342277491543,157.524338264814
