Date,Plantation,Lag3_Milho_Price,Interest_Rate,Milho_Price,Soya_Price
1/1/2011,0.0,235.81,12.6842,264.95,572.0
2/1/2011,0.0,238.18,12.765,292.9,570.0
3/1/2011,0.0,250.38,12.0713,290.54,553.0
4/1/2011,0.0,264.95,12.2288,319.27,556.0
5/1/2011,0.0,292.9,12.2923,307.86,556.0
6/1/2011,0.0,290.54,12.341,310.61,558.0
7/1/2011,0.0,319.27,12.524000000000001,300.77,559.0
8/1/2011,0.0,307.86,11.908,310.22,558.0
9/1/2011,0.0,310.61,10.6175,295.26,543.0
10/1/2011,264.1378588177129,300.77,10.4899,274.79,503.0
11/1/2011,546.9242823645743,310.22,9.9505,274.39,486.0
12/1/2011,212.93785881771282,295.26,10.0767,258.65,474.0
1/1/2012,89.44569927774133,274.79,9.8589,272.84,498.0
2/1/2012,0.0,274.39,9.3174,279.46,512.0
3/1/2012,0.0,258.65,8.9862,280.69,543.0
4/1/2012,0.0,272.84,8.4999,274.0,575.0
5/1/2012,0.0,279.46,7.9716,269.28,573.0
6/1/2012,0.0,280.69,7.6076,267.31,567.0
7/1/2012,0.0,274.0,7.2953,333.05,662.0
8/1/2012,0.0,269.28,8.277000000000001,331.99,684.0
9/1/2012,0.0,267.31,7.5788,320.85,670.0
10/1/2012,184.3037188130317,333.05,7.2399,321.24,617.0
11/1/2012,404.85527408638694,331.99,7.1409,321.64,589.0
12/1/2012,442.59530782284014,320.85,7.0357,308.65,607.0
1/1/2013,0.0,321.24,7.3737,303.13,592.0
2/1/2013,0.0,321.64,7.8862,302.74,596.0
3/1/2013,0.0,308.65,8.0275,309.04,511.0
4/1/2013,0.0,303.13,7.7476,279.91,495.0
5/1/2013,0.0,302.74,8.0224,295.54,497.0
6/1/2013,0.0,309.04,8.6295,298.41,524.0
7/1/2013,0.0,279.91,9.01,279.51,509.0
8/1/2013,0.0,295.54,10.2779,238.74,516.0
9/1/2013,0.0,298.41,10.1777,207.41,556.0
10/1/2013,273.67494756903193,279.51,9.9838,201.73,544.0
11/1/2013,677.1031323952955,238.74,10.1783,199.13,553.0
12/1/2013,287.4219200356726,207.41,10.5595,197.39,568.0
1/1/2014,0.0,201.73,11.9399,198.06,566.0
2/1/2014,0.0,199.13,11.2757,209.32,591.0
3/1/2014,0.0,197.39,11.5092,222.33,500.0
4/1/2014,0.0,198.06,11.3251,222.36,516.0
5/1/2014,0.0,209.32,11.1667,217.3,521.25
6/1/2014,0.0,222.33,10.9004,202.39,516.0
7/1/2014,0.0,222.36,10.9307,182.73,480.0
8/1/2014,0.0,217.3,11.3251,176.42,460.0
