Date,Plantation,Interest_Rate,Lag3_Soya_Price,Soya_Price
1/1/2011,0.0,12.6842,493.0,572.0
2/1/2011,0.0,12.765,525.8,570.0
3/1/2011,0.0,12.0713,547.0,553.0
4/1/2011,0.0,12.2288,572.0,556.0
5/1/2011,0.0,12.2923,570.0,556.0
6/1/2011,0.0,12.341,553.0,558.0
7/1/2011,0.0,12.524000000000001,556.0,559.0
8/1/2011,0.0,11.908,556.0,558.0
9/1/2011,82.95651000000002,10.6175,558.0,543.0
10/1/2011,4805.58104,10.4899,559.0,503.0
11/1/2011,1964.0727100000006,9.9505,558.0,486.0
12/1/2011,127.88973999999962,10.0767,543.0,474.0
1/1/2012,756.6291361961204,9.8589,503.0,498.0
2/1/2012,0.0,9.3174,486.0,512.0
3/1/2012,0.0,8.9862,474.0,543.0
4/1/2012,0.0,8.4999,498.0,575.0
5/1/2012,0.0,7.9716,512.0,573.0
6/1/2012,0.0,7.6076,543.0,567.0
7/1/2012,0.0,7.2953,575.0,662.0
8/1/2012,0.0,8.277000000000001,573.0,684.0
9/1/2012,238.36763761386842,7.5788,567.0,670.0
10/1/2012,3814.335155593986,7.2399,662.0,617.0
11/1/2012,2853.8184140372423,7.1409,684.0,589.0
12/1/2012,155.04965655878337,7.0357,670.0,607.0
1/1/2013,0.0,7.3737,617.0,592.0
2/1/2013,0.0,7.8862,589.0,596.0
3/1/2013,0.0,8.0275,607.0,511.0
4/1/2013,0.0,7.7476,592.0,495.0
5/1/2013,0.0,8.0224,596.0,497.0
6/1/2013,0.0,8.6295,511.0,524.0
7/1/2013,0.0,9.01,495.0,509.0
8/1/2013,0.0,10.2779,497.0,516.0
9/1/2013,175.89676,10.1777,524.0,556.0
10/1/2013,5472.45198,9.9838,509.0,544.0
11/1/2013,2904.9622011764714,10.1783,516.0,553.0
12/1/2013,62.38905882352992,10.5595,556.0,568.0
1/1/2014,0.0,11.9399,544.0,566.0
2/1/2014,0.0,11.2757,553.0,591.0
3/1/2014,0.0,11.5092,568.0,500.0
4/1/2014,0.0,11.3251,566.0,516.0
5/1/2014,0.0,11.1667,591.0,521.25
6/1/2014,0.0,10.9004,500.0,516.0
7/1/2014,0.0,10.9307,516.0,480.0
8/1/2014,0.0,11.3251,521.25,460.0
9/1/2014,277.1757792463229,11.6598,516.0,432.0
10/1/2014,2990.1228233399115,11.6777,480.0,424.0
11/1/2014,5362.738146088086,11.8799,460.0,449.0
12/1/2014,304.4632513256802,12.8928,432.0,446.0
1/1/2015,201.3106308796106,12.6768,424.0,433.21
2/1/2015,0.0,13.2199,449.0,423.55
3/1/2015,0.0,13.674000000000001,446.0,409.79
4/1/2015,0.0,13.6275,433.21,394.73
5/1/2015,0.0,13.79,423.55,388.2
6/1/2015,0.0,14.0799,409.79,391.48
7/1/2015,0.0,14.165,394.73,405.87
8/1/2015,0.0,14.2725,388.2,378.78
9/1/2015,83.57537201200758,15.2022,391.48,367.49
10/1/2015,3365.4054275240187,15.2552,405.87,375.95
11/1/2015,4730.005717436828,15.3218,378.78,368.0
12/1/2015,759.7028521475348,14.6346,367.49,368.42
1/1/2016,193.9707708357088,14.634,375.95,373.08
2/1/2016,0.0,13.554,368.0,373.75
3/1/2016,0.0,13.8614,368.42,380.97
4/1/2016,0.0,13.935,373.08,395.14
5/1/2016,0.0,13.9821,373.75,422.55
6/1/2016,0.0,13.614,380.97,457.4
7/1/2016,0.0,13.690999999999999,395.14,431.08
8/1/2016,0.0,13.6674,422.55,412.17
9/1/2016,830.914956304969,13.3671,457.4,403.53
10/1/2016,5844.502808510927,12.5727,431.08,401.87
11/1/2016,2276.487492745102,12.3966,412.17,397.76
12/1/2016,176.92397160328827,12.27,403.53,416.07
1/1/2017,191.8535246644185,10.7447,401.87,412.0
2/1/2017,0.0,10.0616,397.76,394.53
3/1/2017,0.0,10.2771,416.07,383.68
4/1/2017,0.0,9.8839,412.0,387.44
5/1/2017,0.0,11.0799,394.53,389.72
6/1/2017,0.0,11.7515,383.68,378.59
7/1/2017,0.0,9.5267,387.44,410.23
