Ano,Mes,Value
2009,2,390.0
2009,3,379.0
2009,4,414.0
2009,5,465.0
2009,6,503.0
2009,7,462.0
2009,8,470.0
2009,9,430.0
2009,10,427.0
2009,11,440.0
2009,12,450.0
2010,1,436.0
2010,2,406.0
2010,3,408.0
2010,4,411.0
2010,5,407.0
2010,6,408.0
2010,7,429.0
2010,8,456.75
2010,9,470.0
2010,10,493.0
2010,11,525.8
2010,12,547.0
2011,1,572.0
2011,2,570.0
2011,3,553.0
2011,4,556.0
2011,5,556.0
2011,6,558.0
2011,7,559.0
2011,8,558.0
2011,9,543.0
2011,10,503.0
2011,11,486.0
2011,12,474.0
2012,1,498.0
2012,2,512.0
2012,3,543.0
2012,4,575.0
2012,5,573.0
2012,6,567.0
2012,7,662.0
2012,8,684.0
2012,9,670.0
2012,10,617.0
2012,11,589.0
2012,12,607.0
2013,1,592.0
2013,2,596.0
2013,3,511.0
2013,4,495.0
2013,5,497.0
2013,6,524.0
2013,7,509.0
2013,8,516.0
2013,9,556.0
2013,10,544.0
2013,11,553.0
2013,12,568.0
2014,1,566.0
2014,2,591.0
2014,3,500.0
2014,4,516.0
2014,5,521.25
2014,6,516.0
2014,7,480.0
2014,8,460.0
2014,9,432.0
2014,10,424.0
2014,11,449.0
2014,12,446.0
2015,1,433.21
2015,2,423.55
2015,3,409.79
2015,4,394.73
2015,5,388.2
2015,6,391.48
2015,7,405.87
2015,8,378.78
2015,9,367.49
2015,10,375.95
2015,11,368.0
2015,12,368.42
2016,1,373.08
2016,2,373.75
2016,3,380.97
2016,4,395.14
2016,5,422.55
2016,6,457.4
2016,7,431.08
2016,8,412.17
2016,9,403.53
2016,10,401.87
2016,11,397.76
2016,12,416.07
2017,1,412.0
2017,2,394.53
2017,3,383.68
2017,4,387.44
2017,5,389.72
2017,6,378.59
2017,7,410.23
2017,8,392.87
2017,9,393.95
2017,10,396.52
2017,11,393.85
2017,12,387.15
2018,1,389.53
2018,2,416.28
2018,3,430.11
2018,4,439.07
2018,5,430.32
2018,6,394.44
2018,7,377.17
2018,8,376.77
2018,9,356.87
2018,10,367.96
2018,11,374.04
2018,12,380.53
2019,1,382.35
2019,2,380.75
