Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2019,4,AC,AC,0.2625,70,0,0,Prevista,Prevista
2019,5,AC,AC,0.2625,70,0,0,Prevista,Prevista
2019,6,AC,AC,0.2625,70,0,0,Prevista,Prevista
2019,7,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,8,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,9,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,10,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,11,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,12,AC,AC,0.0,70,0,0,Prevista,Prevista
2019,4,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,5,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,6,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,7,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,8,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,9,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,10,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,11,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,12,AL,AL,0.0,70,0,0,Prevista,Prevista
2019,4,AM,AM,0.8579249999999999,70,0,0,Prevista,Prevista
2019,5,AM,AM,0.8579249999999999,70,0,0,Prevista,Prevista
2019,6,AM,AM,0.8579249999999999,70,0,0,Prevista,Prevista
2019,7,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,8,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,9,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,10,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,11,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,12,AM,AM,0.0,70,0,0,Prevista,Prevista
2019,4,AP,AP,16.65,70,0,0,Prevista,Prevista
2019,5,AP,AP,16.65,70,0,0,Prevista,Prevista
2019,6,AP,AP,16.65,70,0,0,Prevista,Prevista
2019,7,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,8,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,9,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,10,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,11,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,12,AP,AP,0.0,70,0,0,Prevista,Prevista
2019,4,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,5,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,6,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,7,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,8,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,9,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,10,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,11,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,12,CE,CE,0.0,70,0,0,Prevista,Prevista
2019,4,DF,DF,59.8125,70,0,0,Prevista,Prevista
2019,5,DF,DF,59.8125,70,0,0,Prevista,Prevista
2019,6,DF,DF,59.8125,70,0,0,Prevista,Prevista
2019,7,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,8,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,9,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,10,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,11,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,12,DF,DF,0.0,70,0,0,Prevista,Prevista
2019,4,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,5,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,6,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,7,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,8,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,9,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,10,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,11,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,12,ES,ES,0.0,70,0,0,Prevista,Prevista
2019,4,PA,PA_NORDESTE,249.80181376617003,70,0,0,Prevista,Prevista
2019,4,PA,PA_NOROESTE,33.63990797063245,70,0,0,Prevista,Prevista
2019,4,PA,PA_SUDESTE,96.84395706428919,70,0,0,Prevista,Prevista
2019,4,PA,PA_OUTROS,113.49032119890833,70,0,0,Prevista,Prevista
2019,5,PA,PA_NORDESTE,249.80181376617003,70,0,0,Prevista,Prevista
2019,5,PA,PA_NOROESTE,33.63990797063245,70,0,0,Prevista,Prevista
2019,5,PA,PA_SUDESTE,96.84395706428919,70,0,0,Prevista,Prevista
2019,5,PA,PA_OUTROS,113.49032119890833,70,0,0,Prevista,Prevista
2019,6,PA,PA_NORDESTE,249.80181376617003,70,0,0,Prevista,Prevista
2019,6,PA,PA_NOROESTE,33.63990797063245,70,0,0,Prevista,Prevista
2019,6,PA,PA_SUDESTE,96.84395706428919,70,0,0,Prevista,Prevista
2019,6,PA,PA_OUTROS,113.49032119890833,70,0,0,Prevista,Prevista
2019,7,PA,PA_NORDESTE,0.0,70,0,0,Prevista,Prevista
2019,7,PA,PA_NOROESTE,0.0,70,0,0,Prevista,Prevista
2019,7,PA,PA_SUDESTE,0.0,70,0,0,Prevista,Prevista
2019,7,PA,PA_OUTROS,0.0,70,0,0,Prevista,Prevista
2019,8,PA,PA_NORDESTE,0.0,70,0,0,Prevista,Prevista
2019,8,PA,PA_NOROESTE,0.0,70,0,0,Prevista,Prevista
2019,8,PA,PA_SUDESTE,0.0,70,0,0,Prevista,Prevista
2019,8,PA,PA_OUTROS,0.0,70,0,0,Prevista,Prevista
2019,9,PA,PA_NORDESTE,0.0,70,0,0,Prevista,Prevista
2019,9,PA,PA_NOROESTE,0.0,70,0,0,Prevista,Prevista
2019,9,PA,PA_SUDESTE,0.0,70,0,0,Prevista,Prevista
2019,9,PA,PA_OUTROS,0.0,70,0,0,Prevista,Prevista
