Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019
RS,RS,RS,15457.844159999999,16201.35,18713.856,18339.9462,18598.72,15457.844159999999,16201.35,18713.856,18339.9462,18598.72
SC,SC,SC,1920.32,2135.2331,2292.632,2337.864,2408.7,1920.32,2135.2331,2292.632,2337.864,2408.7
PR,PR,PR,17210.4912,16844.517,19586.2576,18893.952,19441.8,17210.4912,16844.517,19586.2576,18893.952,19441.8
SP,SP,SP,2366.496,2843.8016000000002,3084.3085,3346.368,3302.3100000000004,2366.496,2843.8016000000002,3084.3085,3346.368,3302.3100000000004
RJ,RJ,RJ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MG_Triângulo,MG,Triângulo,1828.4030052049702,2538.0290952772134,2948.981305909184,3035.438008705881,2778.851914185327,3506.9652000000006,4731.146,5067.228,5362.56,5110.05
MG_Noroeste,MG,Noroeste,1366.0550739481648,1665.2030580179776,1550.9389182401796,1759.5539929737995,1737.5807648280338,3506.9652000000006,4731.146,5067.228,5362.56,5110.05
MG_Sul,MG,Sul,209.75683350310933,401.27244335938076,423.49282291250097,437.1387349924396,457.3378806376428,3506.9652000000006,4731.146,5067.228,5362.56,5110.05
MG_Outros,MG,Outros,102.75028734375599,126.64140334542815,143.81495293813543,130.4292633278798,136.27944034899605,3506.9652000000006,4731.146,5067.228,5362.56,5110.05
ES,ES,ES,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MS_Sul,MS,Sul,5425.248320824222,5557.902547527127,6763.316828791617,7343.339432971034,7056.822238147788,7177.56,7241.4,8575.82,9306.624,9210.629999999997
MS_Norte,MS,Norte,1752.3116791757786,1683.497452472872,1812.503171208383,1963.284567028966,2153.8077618522098,7177.56,7241.4,8575.82,9306.624,9210.629999999997
MT_Médio Norte,MT,Médio Norte,9727.432713484182,9484.580729723373,11485.180523805804,12152.632538733591,11887.40357316659,28411.71,26844.18,31044.924,32382.277199999997,32990.496
MT_Oeste,MT,Oeste,5079.690798819315,4924.589098321849,5035.495700985124,5224.436382358246,5408.277226480824,28411.71,26844.18,31044.924,32382.277199999997,32990.496
MT_Sudeste,MT,Sudeste,5096.936167058765,4820.570504938806,5065.990209913653,5090.753130565033,5214.146065716787,28411.71,26844.18,31044.924,32382.277199999997,32990.496
MT_Nordeste,MT,Nordeste,3069.3403345460342,2922.973545709886,3384.9563507064126,3515.6735115969154,3867.061473175873,28411.71,26844.18,31044.924,32382.277199999997,32990.496
MT_Nordeste_Sul,MT,Nordeste,2720.0720921550396,2109.1595939901817,2989.710816997765,3149.5851909510525,3254.812160361386,28411.71,26844.18,31044.924,32382.277199999997,32990.496
MT_Norte,MT,Norte,2718.237893936663,2582.3065273159036,3083.5903975912397,3249.1964457951594,3358.7955010985406,28411.71,26844.18,31044.924,32382.277199999997,32990.496
GO_Sudoeste,GO,Sudoeste,4675.985920469057,5898.750597728613,6193.189283412357,6456.231380427693,6331.405289263267,8625.050000000001,10249.512,10819.05,11460.5928,11506.11
GO_Leste,GO,Leste,3297.222238476634,3705.975859807629,3857.4330720544804,4105.968528808834,4223.324795308324,8625.050000000001,10249.512,10819.05,11460.5928,11506.11
GO_Noroeste,GO,Noroeste,651.8418410543084,644.7855424637578,768.4276445331615,898.3928907634737,951.3799154284125,8625.050000000001,10249.512,10819.05,11460.5928,11506.11
DF,DF,DF,147.3186,231,241.5,235.95,263.970058069258,147.3186,231.0,241.5,235.95,263.970058069258
BA_Oeste Norte,BA,Oeste Norte,3368.5645800622246,2585.143793232977,4190.417738531173,4786.011535867237,4606.545636850401,4180.679999999999,3211.0706999999998,5123.3326,5941.08,5652.160000000001
BA_Oeste Sul,BA,Oeste Sul,797.243808072123,610.5612575751454,920.9875895037712,1140.744529776931,1030.5026095096048,4180.679999999999,3211.0706999999998,5123.3326,5941.08,5652.160000000001
BA_Outros,BA,Outros,14.87161186565235,15.365649191877855,11.927271965055622,14.323934355831796,15.11175363999485,4180.679999999999,3211.0706999999998,5123.3326,5941.08,5652.160000000001
SE,SE,SE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PB,PB,PB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AL,AL,AL,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PE,PE,PE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RN,RN,RN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
CE,CE,CE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PI_Sul,PI,Sul,1813.0570131766851,628.1190679194676,2018.0000101327958,2417.742546949966,2355.4395761500336,1833.8113999999998,645.795,2048.0976,2454.54,2395.575
