Estado/UF,Zona/UF
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
RS,RS
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
SC,SC
